#  Arizona Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,57.9
199402,56.3
199403,66.8
199404,73.1
199405,80.6
199406,95.7
199407,96.5
199408,95.1
199409,88.0
199410,74.0
199411,58.2
199412,54.6
199501,52.1
199502,64.0
199503,64.3
199504,69.4
199505,76.1
199506,88.6
199507,96.0
199508,95.2
199509,88.9
199510,80.0
199511,69.9
199512,58.1
199601,58.6
199602,62.8
199603,66.6
199604,76.2
199605,86.4
199606,94.8
199607,96.2
199608,94.1
199609,83.6
199610,75.2
199611,64.6
199612,57.3
199701,52.7
199702,58.2
199703,71.2
199704,70.1
199705,86.4
199706,89.9
199707,94.9
199708,92.3
199709,87.9
199710,75.0
199711,64.7
199712,50.8
199801,56.5
199802,52.4
199803,62.3
199804,67.0
199805,78.6
199806,88.5
199807,95.5
199808,94.3
199809,87.4
199810,75.1
199811,64.9
199812,55.9
199901,59.8
199902,63.2
199903,68.8
199904,67.3
199905,81.2
199906,90.5
199907,90.6
199908,91.2
199909,86.7
199910,81.3
199911,71.6
199912,56.0
200001,59.8
200002,62.3
200003,64.1
200004,78.3
200005,88.2
200006,93.2
200007,96.4
200008,92.7
200009,90.2
200010,72.5
200011,56.3
200012,58.7
200101,51.9
200102,57.0
200103,65.8
200104,72.2
200105,87.6
200106,94.3
200107,93.6
200108,93.0
200109,91.4
200110,79.8
200111,66.1
200112,52.9
200201,55.6
200202,62.0
200203,65.7
200204,77.9
200205,84.3
200206,96.3
200207,96.6
200208,94.8
200209,87.5
200210,73.8
200211,65.0
200212,52.7
200301,63.0
200302,56.9
200303,64.1
200304,70.6
200305,84.6
200306,93.0
200307,98.9
200308,93.3
200309,89.6
200310,82.4
200311,61.2
200312,56.3
200401,54.7
200402,54.4
200403,72.8
200404,71.8
200405,84.7
200406,92.8
200407,95.1
200408,91.8
200409,86.4
200410,73.0
200411,58.5
200412,54.4
200501,55.4
200502,55.4
200503,62.5
200504,72.6
200505,83.9
200506,90.7
200507,98.6
200508,90.8
200509,88.3
200510,76.9
200511,67.6
200512,58.6
200601,59.0
200602,63.6
200603,61.0
200604,74.6
200605,87.0
200606,96.0
200607,95.7
200608,90.7
200609,83.7
200610,73.9
200611,67.7
200612,55.3
200701,51.6
200702,60.0
200703,69.6
200704,74.5
200705,84.3
200706,94.3
200707,95.9
200708,93.5
200709,87.7
200710,77.6
200711,70.1
200712,51.4
200801,51.4
200802,58.0
200803,67.0
200804,74.3
200805,79.4
200806,94.4
200807,93.8
200808,92.6
200809,88.1
200810,78.9
200811,67.3
200812,54.0
200901,58.2
200902,60.4
200903,67.6
200904,72.4
200905,86.2
200906,87.5
200907,97.2
200908,95.0
200909,88.6
200910,74.0
200911,67.9
200912,50.8
201001,53.9
201002,55.5
201003,62.8
201004,70.9
201005,79.2
201006,92.6
201007,95.1
201008,92.1
201009,91.2
201010,76.1
201011,62.4
201012,58.9
201101,55.4
201102,55.6
201103,68.3
201104,73.9
201105,78.8
201106,93.1
201107,94.7
201108,96.3
201109,89.0
201110,78.0
201111,62.3
201112,51.6
201201,59.4
201202,59.3
201203,67.1
201204,76.4
201205,86.1
201206,95.8
201207,93.0
201208,93.8
201209,87.5
201210,79.5
201211,68.9
201212,54.6
201301,51.7
201302,55.6
201303,69.9
201304,74.8
201305,83.1
201306,96.6
201307,93.8
201308,91.5
201309,85.6
201310,74.0
201311,64.0
201312,54.1
201401,61.4
201402,64.3
201403,68.3
201404,74.4
201405,82.5
201406,94.4
201407,95.2
201408,89.4
201409,87.2
201410,79.4
201411,66.1
201412,55.2
201501,57.1
201502,66.1
201503,70.6
201504,73.7
201505,77.2
201506,94.1
201507,91.8
201508,94.2
201509,88.4
201510,77.0
201511,61.7
201512,53.7
201601,54.1
201602,66.6
201603,70.4
201604,73.1
201605,79.7
201606,96.5
201607,96.8
201608,90.6
201609,85.4
201610,81.0
201611,66.4
201612,56.6
