#  California Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,56.9
199402,53.7
199403,65.2
199404,68.3
199405,73.9
199406,86.1
199407,91.5
199408,91.3
199409,84.3
199410,71.8
199411,52.9
199412,51.1
199501,51.1
199502,62.0
199503,58.5
199504,64.6
199505,69.8
199506,79.7
199507,88.8
199508,90.3
199509,85.9
199510,76.9
199511,68.6
199512,55.6
199601,55.2
199602,58.0
199603,63.5
199604,69.8
199605,75.8
199606,85.4
199607,93.0
199608,92.2
199609,82.8
199610,72.3
199611,61.5
199612,53.9
199701,52.9
199702,57.7
199703,67.7
199704,68.1
199705,81.8
199706,81.8
199707,88.8
199708,89.3
199709,84.3
199710,72.1
199711,61.4
199712,51.7
199801,53.4
199802,51.0
199803,59.9
199804,63.1
199805,65.4
199806,78.0
199807,90.7
199808,92.7
199809,82.3
199810,70.8
199811,58.9
199812,52.8
199901,55.4
199902,55.1
199903,58.6
199904,63.2
199905,74.1
199906,82.3
199907,88.1
199908,87.1
199909,85.6
199910,79.0
199911,64.6
199912,57.0
200001,54.9
200002,56.0
200003,61.7
200004,71.1
200005,77.3
200006,87.0
200007,88.5
200008,89.8
200009,83.6
200010,70.2
200011,57.2
200012,57.7
200101,52.6
200102,52.6
200103,64.3
200104,64.4
200105,83.8
200106,86.3
200107,88.8
200108,91.4
200109,86.1
200110,77.5
200111,61.7
200112,51.2
200201,52.5
200202,60.7
200203,61.0
200204,68.7
200205,75.5
200206,86.5
200207,92.6
200208,90.0
200209,86.0
200210,73.2
200211,64.0
200212,52.9
200301,60.1
200302,56.2
200303,63.0
200304,60.7
200305,75.4
200306,86.1
200307,93.8
200308,89.2
200309,88.0
200310,80.2
200311,56.7
200312,52.8
200401,53.0
200402,53.6
200403,70.2
200404,70.7
200405,77.2
200406,85.2
200407,91.0
200408,89.7
200409,84.5
200410,69.9
200411,57.9
200412,54.1
200501,52.4
200502,56.1
200503,62.2
200504,65.6
200505,74.8
200506,79.9
200507,93.5
200508,91.0
200509,81.7
200510,73.0
200511,64.0
200512,55.5
200601,54.2
200602,60.1
200603,53.7
200604,63.9
200605,78.5
200606,87.8
200607,94.2
200608,89.2
200609,84.8
200610,72.2
200611,62.2
200612,54.7
200701,53.6
200702,57.0
200703,68.0
200704,69.4
200705,78.6
200706,85.9
200707,91.8
200708,91.1
200709,81.5
200710,71.1
200711,65.6
200712,50.7
200801,49.7
200802,56.9
200803,63.1
200804,68.4
200805,75.1
200806,86.7
200807,91.4
200808,91.6
200809,87.3
200810,76.1
200811,64.9
200812,51.7
200901,58.2
200902,55.1
200903,61.4
200904,67.9
200905,80.6
200906,80.7
200907,93.0
200908,90.2
200909,88.4
200910,70.8
200911,63.2
200912,51.3
201001,53.7
201002,56.1
201003,60.9
201004,62.8
201005,69.8
201006,83.2
201007,91.0
201008,88.6
201009,86.0
201010,71.9
201011,59.6
201012,53.8
201101,55.7
201102,54.6
201103,58.9
201104,65.7
201105,70.3
201106,80.5
201107,88.4
201108,90.5
201109,87.2
201110,74.3
201111,58.9
201112,55.0
201201,58.6
201202,58.0
201203,60.4
201204,68.4
201205,78.6
201206,84.3
201207,89.6
201208,92.8
201209,88.3
201210,75.4
201211,63.6
201212,51.8
201301,53.2
201302,57.6
201303,66.5
201304,71.7
201305,77.5
201306,87.2
201307,92.7
201308,89.0
201309,83.1
201310,72.5
201311,63.7
201312,56.2
201401,63.0
201402,60.6
201403,65.3
201404,71.0
201405,78.8
201406,87.1
201407,92.7
201408,89.0
201409,86.2
201410,78.1
201411,64.2
201412,54.6
201501,59.4
201502,65.0
201503,70.2
201504,70.3
201505,73.2
201506,89.1
201507,88.5
201508,91.0
201509,86.2
201510,77.5
201511,59.0
201512,51.7
201601,52.9
201602,64.2
201603,63.7
201604,70.4
201605,74.8
201606,88.3
201607,91.9
201608,91.2
201609,84.2
201610,72.0
201611,63.7
201612,53.0
