#  Colorado Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,39.8
199402,39.2
199403,52.8
199404,56.8
199405,69.5
199406,82.2
199407,83.5
199408,82.4
199409,74.2
199410,59.0
199411,43.9
199412,41.9
199501,38.8
199502,47.9
199503,49.0
199504,52.6
199505,58.4
199506,72.4
199507,80.5
199508,84.0
199509,71.5
199510,61.3
199511,51.9
199512,42.2
199601,37.9
199602,45.0
199603,48.0
199604,58.2
199605,70.0
199606,78.5
199607,82.6
199608,80.8
199609,69.1
199610,60.4
199611,46.9
199612,39.5
199701,36.6
199702,39.5
199703,54.0
199704,51.3
199705,66.6
199706,76.5
199707,82.3
199708,78.1
199709,73.0
199710,60.1
199711,43.9
199712,35.3
199801,40.2
199802,40.4
199803,46.8
199804,54.3
199805,69.4
199806,74.6
199807,82.8
199808,80.5
199809,77.6
199810,59.9
199811,49.5
199812,39.6
199901,41.7
199902,47.7
199903,53.7
199904,52.6
199905,63.9
199906,75.3
199907,82.1
199908,78.6
199909,69.5
199910,64.8
199911,57.3
199912,40.7
200001,41.0
200002,47.5
200003,49.1
200004,61.9
200005,71.5
200006,78.7
200007,85.4
200008,84.2
200009,74.9
200010,60.6
200011,39.2
200012,38.2
200101,37.6
200102,39.7
200103,47.9
200104,59.6
200105,68.0
200106,79.8
200107,85.1
200108,81.6
200109,76.2
200110,63.0
200111,51.3
200112,39.2
200201,38.4
200202,41.9
200203,46.9
200204,62.6
200205,69.2
200206,83.7
200207,87.1
200208,82.3
200209,72.0
200210,56.3
200211,46.2
200212,39.8
200301,44.6
200302,38.2
200303,49.4
200304,59.3
200305,68.0
200306,74.4
200307,89.3
200308,83.3
200309,72.1
200310,67.3
200311,44.7
200312,41.5
200401,39.3
200402,38.8
200403,56.7
200404,57.4
200405,69.9
200406,75.7
200407,80.5
200408,77.8
200409,72.1
200410,59.6
200411,44.9
200412,40.9
200501,41.4
200502,43.5
200503,48.3
200504,57.5
200505,67.6
200506,75.9
200507,86.8
200508,79.4
200509,75.3
200510,61.9
200511,51.0
200512,38.6
200601,43.5
200602,42.6
200603,48.0
200604,62.8
200605,71.3
200606,82.1
200607,83.8
200608,79.1
200609,67.5
200610,57.6
200611,50.0
200612,38.4
200701,31.9
200702,39.1
200703,54.2
200704,56.6
200705,67.4
200706,78.5
200707,84.8
200708,83.2
200709,74.4
200710,63.4
200711,53.1
200712,33.6
200801,33.4
200802,40.2
200803,47.8
200804,55.8
200805,65.7
200806,77.6
200807,84.9
200808,79.4
200809,72.2
200810,62.2
200811,51.4
200812,37.4
200901,41.1
200902,45.8
200903,51.4
200904,55.4
200905,67.9
200906,73.3
200907,81.9
200908,80.3
200909,71.9
200910,53.1
200911,51.5
200912,32.2
201001,38.9
201002,36.3
201003,48.3
201004,57.2
201005,64.2
201006,79.1
201007,83.4
201008,80.9
201009,78.0
201010,63.6
201011,47.2
201012,42.8
201101,37.1
201102,37.8
201103,51.3
201104,56.9
201105,62.8
201106,78.9
201107,84.7
201108,84.4
201109,73.0
201110,61.3
201111,48.4
201112,37.0
201201,43.0
201202,39.3
201203,57.2
201204,62.8
201205,71.0
201206,84.8
201207,85.6
201208,83.2
201209,74.8
201210,61.0
201211,54.3
201212,38.4
201301,36.7
201302,38.8
201303,48.8
201304,53.5
201305,67.2
201306,82.3
201307,82.8
201308,81.1
201309,73.7
201310,57.5
201311,47.9
201312,36.6
201401,39.8
201402,39.4
201403,50.5
201404,57.1
201405,66.3
201406,78.0
201407,82.6
201408,78.4
201409,74.3
201410,64.0
201411,46.7
201412,39.4
201501,41.1
201502,44.9
201503,54.9
201504,58.6
201505,61.1
201506,79.2
201507,80.2
201508,81.8
201509,77.9
201510,64.6
201511,47.5
201512,37.4
201601,38.1
201602,45.7
201603,52.0
201604,56.8
201605,64.1
201606,82.3
201607,84.4
201608,78.7
201609,74.6
201610,67.3
201611,54.0
201612,37.6
