#  Delaware Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,36.4
199402,42.6
199403,52.6
199404,69.6
199405,71.2
199406,85.2
199407,87.8
199408,82.2
199409,76.8
199410,66.7
199411,61.7
199412,51.4
199501,45.7
199502,41.8
199503,56.9
199504,66.0
199505,72.4
199506,80.7
199507,88.3
199508,87.2
199509,78.6
199510,71.5
199511,52.3
199512,40.6
199601,41.3
199602,43.7
199603,49.4
199604,63.8
199605,70.3
199606,82.2
199607,83.3
199608,83.2
199609,77.8
199610,67.5
199611,50.7
199612,49.2
199701,42.8
199702,50.0
199703,55.7
199704,61.7
199705,71.0
199706,80.2
199707,86.9
199708,84.5
199709,77.5
199710,68.1
199711,52.8
199712,47.6
199801,50.0
199802,49.3
199803,54.8
199804,66.4
199805,75.0
199806,81.0
199807,86.7
199808,85.8
199809,82.2
199810,68.3
199811,58.6
199812,51.6
199901,48.4
199902,48.0
199903,52.6
199904,65.3
199905,74.3
199906,81.7
199907,89.9
199908,86.5
199909,77.4
199910,67.3
199911,61.7
199912,49.6
200001,42.8
200002,49.6
200003,59.9
200004,62.2
200005,75.3
200006,83.0
200007,82.0
200008,82.0
200009,76.1
200010,69.7
200011,54.8
200012,40.2
200101,41.4
200102,48.3
200103,50.7
200104,65.6
200105,74.2
200106,83.4
200107,83.2
200108,86.3
200109,77.3
200110,70.0
200111,63.8
200112,53.8
200201,48.7
200202,52.3
200203,56.9
200204,68.4
200205,74.3
200206,83.9
200207,89.4
200208,88.8
200209,80.6
200210,66.3
200211,54.7
200212,44.7
200301,37.4
200302,40.1
200303,56.0
200304,62.2
200305,67.8
200306,79.2
200307,85.6
200308,85.6
200309,78.6
200310,66.7
200311,61.7
200312,46.8
200401,36.9
200402,45.4
200403,55.7
200404,65.0
200405,80.0
200406,81.2
200407,85.3
200408,82.9
200409,78.9
200410,65.5
200411,58.3
200412,48.7
200501,42.8
200502,45.8
200503,48.9
200504,66.1
200505,69.4
200506,82.3
200507,87.1
200508,87.4
200509,83.7
200510,67.7
200511,61.0
200512,44.2
200601,51.6
200602,46.7
200603,55.6
200604,68.3
200605,74.6
200606,81.4
200607,88.0
200608,87.3
200609,75.7
200610,66.5
200611,59.7
200612,54.2
200701,49.1
200702,37.7
200703,56.9
200704,61.2
200705,76.5
200706,83.2
200707,86.7
200708,86.7
200709,81.3
200710,74.4
200711,56.0
200712,47.1
200801,45.6
200802,49.8
200803,56.4
200804,65.8
200805,72.0
200806,86.4
200807,87.9
200808,84.6
200809,79.5
200810,67.3
200811,53.6
200812,50.6
200901,38.9
200902,48.8
200903,53.4
200904,65.9
200905,73.7
200906,79.8
200907,84.7
200908,86.6
200909,75.6
200910,66.6
200911,58.8
200912,45.2
201001,41.2
201002,38.3
201003,57.9
201004,69.8
201005,77.2
201006,88.1
201007,90.3
201008,86.9
201009,82.5
201010,68.7
201011,57.5
201012,39.1
201101,37.8
201102,49.8
201103,53.5
201104,67.7
201105,77.0
201106,85.2
201107,91.6
201108,85.5
201109,78.8
201110,67.3
201111,61.2
201112,53.7
201201,49.4
201202,51.0
201203,63.1
201204,66.8
201205,77.9
201206,84.2
201207,91.1
201208,85.9
201209,79.1
201210,68.8
201211,53.0
201212,52.5
201301,45.9
201302,43.9
201303,49.1
201304,65.6
201305,73.6
201306,83.0
201307,87.8
201308,82.3
201309,77.7
201310,69.2
201311,55.1
201312,49.5
201401,40.3
201402,42.8
201403,50.1
201404,63.9
201405,75.5
201406,83.2
201407,85.8
201408,82.7
201409,78.7
201410,69.1
201411,54.2
201412,48.5
201501,40.1
201502,36.0
201503,50.3
201504,65.3
201505,79.1
201506,82.5
201507,85.9
201508,85.6
201509,81.7
201510,67.0
201511,61.9
201512,59.4
201601,43.7
201602,47.4
201603,60.2
201604,64.4
201605,70.7
201606,82.6
201607,89.0
201608,88.8
201609,80.9
201610,70.4
201611,59.9
201612,48.1
