#  Florida Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,67.5
199402,74.3
199403,77.7
199404,83.3
199405,87.2
199406,89.8
199407,89.9
199408,89.3
199409,87.0
199410,82.4
199411,79.0
199412,71.1
199501,67.8
199502,70.7
199503,77.0
199504,81.7
199505,89.3
199506,88.8
199507,91.9
199508,91.0
199509,89.0
199510,84.0
199511,74.5
199512,68.2
199601,68.8
199602,71.5
199603,72.0
199604,79.8
199605,87.9
199606,89.1
199607,91.5
199608,90.0
199609,88.8
199610,81.8
199611,75.9
199612,71.6
199701,70.8
199702,75.2
199703,81.5
199704,79.6
199705,85.5
199706,88.1
199707,91.7
199708,91.1
199709,89.7
199710,82.8
199711,74.2
199712,68.6
199801,70.6
199802,70.4
199803,73.2
199804,80.9
199805,89.4
199806,95.7
199807,93.3
199808,92.3
199809,87.8
199810,85.3
199811,79.6
199812,75.0
199901,72.8
199902,74.1
199903,76.2
199904,85.2
199905,86.4
199906,88.4
199907,91.7
199908,92.6
199909,88.5
199910,82.6
199911,77.0
199912,70.3
200001,70.4
200002,73.4
200003,80.0
200004,81.1
200005,89.7
200006,91.4
200007,92.5
200008,91.8
200009,88.3
200010,82.6
200011,75.4
200012,68.4
200101,66.3
200102,76.7
200103,75.3
200104,82.6
200105,87.2
200106,90.3
200107,90.2
200108,90.8
200109,86.3
200110,81.8
200111,78.6
200112,74.5
200201,70.4
200202,71.3
200203,79.1
200204,84.7
200205,88.3
200206,88.7
200207,90.7
200208,90.4
200209,89.4
200210,85.6
200211,74.5
200212,68.7
200301,65.0
200302,73.1
200303,79.6
200304,80.9
200305,88.4
200306,88.7
200307,90.3
200308,89.5
200309,87.8
200310,83.4
200311,79.4
200312,68.4
200401,69.2
200402,69.5
200403,77.8
200404,80.3
200405,87.7
200406,91.4
200407,91.5
200408,90.2
200409,87.6
200410,84.1
200411,78.0
200412,69.0
200501,70.9
200502,71.9
200503,74.0
200504,79.1
200505,85.2
200506,88.0
200507,91.9
200508,92.0
200509,90.0
200510,82.9
200511,77.9
200512,68.1
200601,72.5
200602,70.6
200603,77.4
200604,84.7
200605,87.9
200606,90.9
200607,91.8
200608,92.3
200609,88.9
200610,83.8
200611,74.5
200612,74.1
200701,71.3
200702,70.0
200703,78.7
200704,80.9
200705,86.8
200706,90.2
200707,91.9
200708,93.3
200709,89.6
200710,84.6
200711,76.6
200712,75.2
200801,69.2
200802,75.1
200803,76.5
200804,81.1
200805,87.7
200806,91.4
200807,90.4
200808,89.4
200809,88.5
200810,81.5
200811,73.5
200812,73.1
200901,69.5
200902,70.4
200903,77.5
200904,81.7
200905,86.6
200906,91.8
200907,91.0
200908,91.0
200909,89.2
200910,85.2
200911,76.4
200912,69.9
201001,64.1
201002,63.4
201003,70.5
201004,81.5
201005,88.6
201006,93.2
201007,92.4
201008,91.8
201009,90.6
201010,84.6
201011,77.0
201012,63.1
201101,66.4
201102,73.4
201103,79.1
201104,85.7
201105,88.8
201106,93.4
201107,91.9
201108,93.3
201109,89.4
201110,81.2
201111,77.2
201112,73.5
201201,72.1
201202,74.4
201203,81.8
201204,83.4
201205,88.6
201206,88.3
201207,91.8
201208,90.1
201209,88.5
201210,82.8
201211,73.7
201212,73.4
201301,74.7
201302,73.4
201303,71.9
201304,82.5
201305,85.0
201306,89.9
201307,88.9
201308,90.9
201309,88.9
201310,83.9
201311,76.6
201312,74.9
201401,65.4
201402,73.8
201403,74.8
201404,81.6
201405,86.9
201406,90.2
201407,91.1
201408,92.5
201409,88.2
201410,84.1
201411,72.6
201412,72.4
201501,69.1
201502,67.8
201503,80.2
201504,84.9
201505,88.6
201506,91.7
201507,92.2
201508,91.6
201509,88.4
201510,83.8
201511,81.2
201512,78.3
201601,66.6
201602,70.8
201603,79.4
201604,82.3
201605,87.4
201606,91.6
201607,93.8
201608,91.8
201609,90.1
201610,84.9
201611,78.6
201612,76.3
