#  Georgia Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,53.2
199402,63.4
199403,70.7
199404,78.9
199405,81.1
199406,87.6
199407,87.1
199408,86.8
199409,82.8
199410,73.4
199411,70.4
199412,60.0
199501,57.4
199502,59.1
199503,70.6
199504,77.6
199505,85.2
199506,86.1
199507,92.6
199508,90.3
199509,83.0
199510,76.9
199511,63.3
199512,56.4
199601,56.6
199602,61.7
199603,62.7
199604,74.7
199605,85.8
199606,88.1
199607,90.8
199608,87.6
199609,83.9
199610,75.1
199611,64.5
199612,61.4
199701,58.5
199702,62.7
199703,75.2
199704,73.2
199705,79.4
199706,82.9
199707,91.0
199708,88.4
199709,86.7
199710,75.2
199711,62.3
199712,57.3
199801,59.7
199802,60.8
199803,64.9
199804,74.0
199805,86.0
199806,93.6
199807,93.1
199808,90.7
199809,86.4
199810,79.5
199811,71.1
199812,63.3
199901,62.4
199902,63.9
199903,67.2
199904,79.7
199905,82.1
199906,86.4
199907,90.7
199908,94.1
199909,85.9
199910,75.8
199911,71.0
199912,60.5
200001,57.2
200002,65.8
200003,72.3
200004,74.1
200005,87.0
200006,90.5
200007,92.9
200008,90.8
200009,82.1
200010,78.0
200011,65.4
200012,51.2
200101,55.6
200102,65.5
200103,64.9
200104,77.2
200105,84.1
200106,86.6
200107,89.4
200108,89.5
200109,82.9
200110,75.7
200111,74.1
200112,64.8
200201,60.0
200202,61.6
200203,70.7
200204,79.8
200205,83.0
200206,88.4
200207,91.7
200208,90.8
200209,85.8
200210,76.7
200211,63.9
200212,56.7
200301,53.9
200302,60.2
200303,69.3
200304,74.6
200305,82.1
200306,86.3
200307,87.9
200308,88.2
200309,83.9
200310,76.2
200311,72.1
200312,57.1
200401,57.4
200402,55.6
200403,72.6
200404,76.7
200405,85.7
200406,88.0
200407,90.5
200408,87.7
200409,82.3
200410,77.4
200411,68.7
200412,58.8
200501,60.9
200502,61.5
200503,65.4
200504,73.7
200505,80.8
200506,85.8
200507,90.1
200508,89.3
200509,88.4
200510,76.7
200511,70.0
200512,56.5
200601,63.8
200602,58.9
200603,69.1
200604,80.6
200605,82.8
200606,90.0
200607,92.8
200608,92.3
200609,84.2
200610,75.5
200611,66.8
200612,64.2
200701,59.5
200702,59.5
200703,74.0
200704,74.9
200705,84.6
200706,89.6
200707,89.3
200708,94.7
200709,86.6
200710,78.7
200711,67.9
200712,64.4
200801,55.8
200802,64.5
200803,69.2
200804,74.8
200805,82.8
200806,91.8
200807,90.9
200808,88.5
200809,84.8
200810,74.2
200811,64.0
200812,62.7
200901,57.6
200902,61.4
200903,68.1
200904,74.2
200905,80.7
200906,90.9
200907,89.3
200908,88.8
200909,83.6
200910,74.0
200911,67.1
200912,56.0
201001,52.7
201002,52.5
201003,63.7
201004,79.1
201005,84.8
201006,92.1
201007,93.0
201008,91.8
201009,89.4
201010,79.3
201011,68.3
201012,51.5
201101,52.8
201102,63.2
201103,70.0
201104,79.7
201105,85.2
201106,94.1
201107,92.6
201108,94.4
201109,85.0
201110,74.4
201111,68.9
201112,62.8
201201,62.6
201202,64.2
201203,76.8
201204,78.6
201205,85.3
201206,86.9
201207,93.2
201208,87.6
201209,85.0
201210,76.0
201211,65.8
201212,62.8
201301,63.5
201302,60.0
201303,62.4
201304,75.2
201305,79.8
201306,87.4
201307,86.5
201308,86.8
201309,84.5
201310,76.4
201311,64.7
201312,61.6
201401,51.6
201402,61.6
201403,65.4
201404,75.6
201405,83.4
201406,89.1
201407,89.4
201408,90.5
201409,84.8
201410,78.7
201411,63.1
201412,62.3
201501,55.8
201502,54.6
201503,70.1
201504,77.3
201505,84.9
201506,90.4
201507,92.2
201508,89.6
201509,83.0
201510,75.5
201511,69.7
201512,68.9
201601,55.0
201602,61.7
201603,73.4
201604,76.3
201605,82.9
201606,91.5
201607,94.2
201608,92.0
201609,88.9
201610,81.2
201611,72.3
201612,62.6
