#  Illinois Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,27.6
199402,36.2
199403,51.8
199404,65.0
199405,73.1
199406,85.3
199407,84.5
199408,81.9
199409,76.8
199410,67.6
199411,55.4
199412,43.4
199501,32.6
199502,39.2
199503,53.8
199504,61.5
199505,69.8
199506,83.3
199507,87.1
199508,89.0
199509,75.4
199510,68.0
199511,45.2
199512,36.6
199601,33.1
199602,40.2
199603,44.9
199604,60.5
199605,71.4
199606,81.5
199607,83.6
199608,84.4
199609,75.6
199610,66.7
199611,42.4
199612,38.1
199701,30.5
199702,40.4
199703,53.4
199704,59.1
199705,69.0
199706,80.6
199707,86.2
199708,81.2
199709,78.0
199710,66.4
199711,45.8
199712,37.8
199801,38.4
199802,46.9
199803,48.4
199804,62.7
199805,77.8
199806,81.5
199807,85.0
199808,84.9
199809,82.8
199810,67.7
199811,55.0
199812,44.1
199901,33.3
199902,45.8
199903,48.4
199904,64.1
199905,75.3
199906,82.4
199907,89.2
199908,83.3
199909,79.7
199910,67.8
199911,60.7
199912,41.2
200001,36.0
200002,46.4
200003,57.5
200004,63.7
200005,75.8
200006,80.4
200007,82.9
200008,85.0
200009,78.6
200010,69.6
200011,47.1
200012,25.9
200101,33.3
200102,39.6
200103,46.8
200104,69.8
200105,75.9
200106,80.4
200107,86.6
200108,85.6
200109,76.4
200110,64.6
200111,61.1
200112,43.8
200201,42.6
200202,43.7
200203,47.7
200204,64.3
200205,69.9
200206,84.7
200207,89.1
200208,85.5
200209,82.1
200210,62.0
200211,48.4
200212,40.8
200301,31.2
200302,34.9
200303,52.8
200304,65.3
200305,71.7
200306,78.9
200307,85.4
200308,86.5
200309,75.9
200310,66.9
200311,53.9
200312,41.3
200401,32.7
200402,38.9
200403,55.0
200404,66.0
200405,76.1
200406,80.4
200407,82.6
200408,79.5
200409,80.8
200410,65.9
200411,53.4
200412,39.6
200501,36.5
200502,43.9
200503,48.9
200504,67.4
200505,73.4
200506,86.6
200507,87.6
200508,86.5
200509,82.9
200510,67.1
200511,54.6
200512,32.9
200601,45.6
200602,41.1
200603,51.2
200604,69.7
200605,72.6
200606,82.6
200607,87.6
200608,84.7
200609,74.6
200610,62.2
200611,53.6
200612,43.6
200701,37.9
200702,29.9
200703,58.5
200704,61.6
200705,79.4
200706,83.8
200707,84.4
200708,89.4
200709,83.1
200710,71.3
200711,52.3
200712,37.4
200801,36.6
200802,33.7
200803,48.4
200804,62.0
200805,70.2
200806,83.8
200807,84.9
200808,83.0
200809,77.8
200810,65.7
200811,50.1
200812,36.6
200901,29.3
200902,42.2
200903,54.3
200904,62.1
200905,73.5
200906,83.2
200907,79.9
200908,81.0
200909,76.5
200910,58.4
200911,56.5
200912,36.0
201001,28.4
201002,33.5
201003,53.6
201004,71.4
201005,74.7
201006,85.0
201007,87.7
201008,87.9
201009,78.9
201010,70.6
201011,54.7
201012,31.1
201101,30.3
201102,38.5
201103,50.6
201104,63.7
201105,72.5
201106,82.9
201107,90.2
201108,86.3
201109,74.4
201110,67.8
201111,54.3
201112,43.4
201201,41.0
201202,44.4
201203,66.8
201204,66.7
201205,80.5
201206,85.4
201207,94.4
201208,86.9
201209,76.9
201210,63.0
201211,51.6
201212,44.6
201301,38.4
201302,38.0
201303,42.3
201304,61.0
201305,74.6
201306,81.6
201307,83.0
201308,83.8
201309,81.1
201310,65.7
201311,48.4
201312,35.2
201401,29.3
201402,29.0
201403,45.3
201404,64.1
201405,74.4
201406,82.8
201407,80.9
201408,83.3
201409,76.4
201410,64.7
201411,43.6
201412,39.8
201501,33.8
201502,28.9
201503,48.9
201504,66.3
201505,75.3
201506,81.0
201507,83.6
201508,82.4
201509,82.0
201510,67.5
201511,56.4
201512,48.3
201601,34.8
201602,42.3
201603,57.0
201604,64.4
201605,72.6
201606,86.2
201607,84.9
201608,84.8
201609,81.6
201610,70.6
201611,58.4
201612,36.1
