#  Iowa Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,19.6
199402,27.0
199403,49.5
199404,62.2
199405,73.5
199406,81.4
199407,80.8
199408,79.7
199409,75.8
199410,64.1
199411,48.7
199412,34.7
199501,25.6
199502,35.0
199503,46.5
199504,55.3
199505,66.7
199506,80.0
199507,85.0
199508,86.3
199509,72.1
199510,61.9
199511,39.8
199512,31.3
199601,25.3
199602,32.8
199603,41.5
199604,58.5
199605,65.5
199606,79.5
199607,81.2
199608,80.5
199609,71.5
199610,63.7
199611,36.4
199612,27.1
199701,23.9
199702,32.5
199703,47.9
199704,55.5
199705,66.2
199706,82.2
199707,83.7
199708,79.8
199709,75.8
199710,63.8
199711,40.2
199712,33.3
199801,30.2
199802,41.2
199803,40.0
199804,59.8
199805,76.3
199806,76.8
199807,83.9
199808,82.4
199809,80.8
199810,63.5
199811,49.6
199812,39.5
199901,25.0
199902,41.1
199903,47.0
199904,59.6
199905,70.8
199906,78.7
199907,87.2
199908,80.6
199909,74.6
199910,64.9
199911,57.0
199912,37.0
200001,31.5
200002,42.0
200003,54.6
200004,62.2
200005,74.9
200006,78.7
200007,81.8
200008,83.0
200009,78.0
200010,66.2
200011,40.4
200012,18.6
200101,29.1
200102,26.9
200103,38.4
200104,65.1
200105,71.1
200106,78.9
200107,85.4
200108,83.5
200109,72.3
200110,61.7
200111,59.0
200112,39.7
200201,38.8
200202,39.7
200203,41.6
200204,60.3
200205,69.1
200206,83.3
200207,87.4
200208,81.6
200209,77.8
200210,56.0
200211,44.6
200212,39.1
200301,28.7
200302,31.2
200303,46.0
200304,62.3
200305,69.2
200306,78.4
200307,84.0
200308,86.4
200309,74.0
200310,65.8
200311,44.7
200312,35.7
200401,26.7
200402,30.9
200403,50.0
200404,64.5
200405,71.9
200406,77.4
200407,80.5
200408,77.1
200409,79.1
200410,62.7
200411,49.7
200412,36.1
200501,26.2
200502,39.6
200503,47.0
200504,65.3
200505,69.4
200506,83.4
200507,86.0
200508,82.9
200509,80.2
200510,64.9
200511,50.3
200512,26.4
200601,39.9
200602,36.2
200603,45.8
200604,65.9
200605,71.7
200606,81.8
200607,87.3
200608,81.8
200609,70.7
200610,58.6
200611,50.0
200612,40.1
200701,30.3
200702,23.3
200703,51.3
200704,57.9
200705,76.2
200706,81.6
200707,85.1
200708,83.9
200709,77.3
200710,66.1
200711,47.7
200712,27.6
200801,25.4
200802,25.8
200803,41.9
200804,56.1
200805,69.3
200806,80.1
200807,83.6
200808,81.4
200809,74.4
200810,62.0
200811,46.1
200812,27.6
200901,23.2
200902,36.9
200903,47.6
200904,58.4
200905,71.3
200906,79.2
200907,78.2
200908,78.6
200909,75.1
200910,53.2
200911,53.2
200912,27.5
201001,20.2
201002,26.2
201003,47.7
201004,67.7
201005,71.2
201006,81.1
201007,84.1
201008,84.8
201009,74.2
201010,68.1
201011,48.0
201012,26.9
201101,23.1
201102,31.1
201103,44.5
201104,57.9
201105,70.4
201106,79.3
201107,87.7
201108,83.1
201109,71.9
201110,67.0
201111,49.9
201112,37.8
201201,36.3
201202,38.3
201203,62.9
201204,64.5
201205,77.6
201206,83.1
201207,92.0
201208,84.3
201209,76.9
201210,60.5
201211,50.1
201212,36.6
201301,31.8
201302,32.6
201303,37.3
201304,54.5
201305,69.4
201306,78.4
201307,83.4
201308,83.4
201309,79.5
201310,61.8
201311,43.8
201312,26.8
201401,25.6
201402,23.2
201403,40.1
201404,59.7
201405,71.5
201406,80.2
201407,79.2
201408,80.3
201409,73.1
201410,62.4
201411,38.8
201412,34.1
201501,30.7
201502,24.3
201503,50.0
201504,63.5
201505,70.0
201506,79.3
201507,82.0
201508,79.1
201509,79.3
201510,64.4
201511,51.3
201512,39.5
201601,26.7
201602,36.0
201603,52.8
201604,61.0
201605,70.8
201606,84.8
201607,82.6
201608,81.8
201609,77.8
201610,66.3
201611,56.0
201612,30.4
