#  Kansas Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,40.2
199402,42.6
199403,62.2
199404,67.0
199405,77.6
199406,90.0
199407,88.7
199408,90.2
199409,81.5
199410,70.1
199411,54.8
199412,46.3
199501,42.3
199502,52.7
199503,54.7
199504,63.0
199505,67.2
199506,82.2
199507,91.3
199508,92.6
199509,78.5
199510,71.4
199511,57.1
199512,43.3
199601,39.8
199602,51.7
199603,51.8
199604,68.9
199605,76.7
199606,87.0
199607,88.6
199608,85.0
199609,76.5
199610,69.1
199611,48.5
199612,44.8
199701,41.1
199702,44.7
199703,61.9
199704,60.7
199705,74.4
199706,84.4
199707,90.7
199708,86.4
199709,82.2
199710,69.1
199711,51.1
199712,39.9
199801,42.1
199802,49.2
199803,48.0
199804,64.2
199805,81.3
199806,87.6
199807,90.6
199808,90.3
199809,88.0
199810,70.7
199811,57.7
199812,46.4
199901,42.8
199902,56.3
199903,54.6
199904,65.0
199905,75.5
199906,81.9
199907,92.4
199908,90.1
199909,77.7
199910,72.0
199911,66.2
199912,48.9
200001,45.5
200002,54.8
200003,57.6
200004,68.5
200005,79.5
200006,84.5
200007,91.4
200008,97.2
200009,87.1
200010,71.0
200011,47.9
200012,34.7
200101,41.9
200102,40.2
200103,51.9
200104,71.7
200105,77.5
200106,85.3
200107,95.9
200108,92.7
200109,80.9
200110,70.5
200111,62.0
200112,50.3
200201,47.3
200202,48.8
200203,54.1
200204,69.9
200205,75.2
200206,89.7
200207,93.8
200208,90.7
200209,84.0
200210,60.6
200211,54.7
200212,47.6
200301,44.3
200302,43.1
200303,56.7
200304,69.2
200305,75.5
200306,82.2
200307,96.0
200308,93.7
200309,78.3
200310,72.6
200311,53.4
200312,46.5
200401,42.2
200402,43.3
200403,61.5
200404,67.9
200405,80.3
200406,83.2
200407,86.6
200408,84.9
200409,84.6
200410,69.3
200411,53.5
200412,48.7
200501,39.2
200502,50.3
200503,57.7
200504,67.7
200505,77.5
200506,87.0
200507,92.0
200508,89.1
200509,85.2
200510,70.7
200511,60.5
200512,41.9
200601,55.5
200602,49.1
200603,58.3
200604,74.9
200605,79.0
200606,89.6
200607,94.6
200608,90.7
200609,77.7
200610,67.7
200611,58.4
200612,47.4
200701,36.6
200702,40.4
200703,64.5
200704,62.5
200705,77.1
200706,83.6
200707,89.7
200708,93.4
200709,83.7
200710,72.8
200711,59.1
200712,39.0
200801,42.1
200802,43.8
200803,56.6
200804,63.3
200805,76.2
200806,86.6
200807,91.2
200808,86.3
200809,78.2
200810,67.9
200811,56.8
200812,42.2
200901,44.7
200902,55.1
200903,58.3
200904,65.0
200905,75.0
200906,86.4
200907,88.0
200908,86.7
200909,76.6
200910,58.9
200911,59.6
200912,36.6
201001,36.9
201002,38.8
201003,55.5
201004,71.0
201005,73.9
201006,89.1
201007,90.9
201008,93.0
201009,84.5
201010,74.3
201011,56.8
201012,44.0
201101,39.4
201102,43.4
201103,56.2
201104,69.1
201105,75.8
201106,90.6
201107,98.7
201108,94.3
201109,80.5
201110,72.0
201111,56.4
201112,43.2
201201,49.7
201202,48.6
201203,69.2
201204,71.8
201205,83.4
201206,92.0
201207,99.1
201208,91.3
201209,82.8
201210,67.6
201211,62.2
201212,46.9
201301,44.5
201302,45.6
201303,52.8
201304,61.1
201305,76.4
201306,88.7
201307,89.7
201308,87.7
201309,85.3
201310,68.4
201311,53.6
201312,41.6
201401,43.1
201402,38.6
201403,55.1
201404,68.3
201405,78.9
201406,85.0
201407,87.9
201408,91.4
201409,80.9
201410,72.7
201411,51.8
201412,43.1
201501,44.8
201502,44.0
201503,61.7
201504,69.6
201505,72.3
201506,87.8
201507,90.8
201508,87.7
201509,87.0
201510,72.1
201511,58.5
201512,48.2
201601,42.8
201602,54.2
201603,64.8
201604,69.5
201605,73.5
201606,90.6
201607,91.4
201608,87.7
201609,83.3
201610,76.0
201611,63.8
201612,42.0
