#  Maryland Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,34.4
199402,42.4
199403,51.5
199404,70.1
199405,71.0
199406,85.6
199407,87.1
199408,81.6
199409,76.3
199410,66.6
199411,60.8
199412,50.3
199501,44.0
199502,41.1
199503,56.9
199504,65.3
199505,72.6
199506,81.0
199507,87.9
199508,87.3
199509,77.6
199510,70.9
199511,50.1
199512,39.7
199601,38.9
199602,42.7
199603,48.8
199604,64.6
199605,70.4
199606,82.8
199607,82.9
199608,82.7
199609,76.4
199610,66.7
199611,49.3
199612,47.6
199701,42.3
199702,49.4
199703,55.3
199704,61.6
199705,71.4
199706,80.4
199707,86.9
199708,83.7
199709,77.1
199710,67.2
199711,51.2
199712,46.2
199801,48.4
199802,48.6
199803,54.3
199804,66.7
199805,75.5
199806,80.3
199807,86.2
199808,86.1
199809,83.1
199810,67.7
199811,58.1
199812,51.3
199901,45.9
199902,47.4
199903,51.3
199904,65.6
199905,75.4
199906,82.2
199907,90.2
199908,85.9
199909,77.0
199910,66.2
199911,61.2
199912,48.2
200001,42.0
200002,49.3
200003,60.0
200004,63.0
200005,76.1
200006,82.4
200007,81.6
200008,81.7
200009,75.7
200010,69.4
200011,53.3
200012,37.9
200101,40.7
200102,48.0
200103,50.0
200104,66.4
200105,74.0
200106,82.8
200107,83.0
200108,85.8
200109,76.7
200110,69.2
200111,63.1
200112,52.2
200201,48.4
200202,51.5
200203,56.2
200204,68.3
200205,74.0
200206,84.3
200207,88.6
200208,88.3
200209,80.3
200210,64.6
200211,53.5
200212,42.9
200301,36.2
200302,38.8
200303,55.5
200304,63.6
200305,68.4
200306,78.8
200307,84.8
200308,85.1
200309,76.6
200310,65.6
200311,60.9
200312,45.0
200401,36.3
200402,44.2
200403,55.9
200404,64.4
200405,79.8
200406,80.6
200407,84.5
200408,82.7
200409,78.1
200410,65.0
200411,57.8
200412,47.1
200501,42.3
200502,46.1
200503,48.7
200504,66.6
200505,70.0
200506,83.2
200507,87.1
200508,86.6
200509,83.0
200510,66.7
200511,59.8
200512,42.1
200601,50.4
200602,45.6
200603,55.2
200604,68.7
200605,74.0
200606,81.7
200607,87.4
200608,87.5
200609,74.3
200610,65.3
200611,58.2
200612,53.2
200701,47.2
200702,36.8
200703,56.6
200704,61.4
200705,77.0
200706,83.5
200707,86.5
200708,86.7
200709,81.5
200710,74.4
200711,55.0
200712,45.8
200801,44.6
200802,47.2
200803,55.7
200804,66.4
200805,71.9
200806,85.6
200807,86.8
200808,83.6
200809,78.8
200810,66.5
200811,52.8
200812,47.8
200901,37.4
200902,47.7
200903,53.3
200904,66.2
200905,73.4
200906,80.5
200907,83.8
200908,85.9
200909,75.5
200910,65.0
200911,58.1
200912,43.4
201001,40.2
201002,38.2
201003,57.4
201004,70.0
201005,76.6
201006,86.8
201007,90.5
201008,86.4
201009,81.9
201010,68.3
201011,56.4
201012,38.1
201101,37.2
201102,48.2
201103,53.7
201104,67.0
201105,76.2
201106,84.8
201107,90.6
201108,85.3
201109,77.0
201110,65.7
201111,60.2
201112,51.3
201201,47.1
201202,50.2
201203,64.0
201204,66.0
201205,78.0
201206,83.1
201207,90.1
201208,85.5
201209,78.5
201210,67.2
201211,51.8
201212,50.5
201301,44.7
201302,42.6
201303,48.3
201304,65.8
201305,73.5
201306,82.4
201307,86.5
201308,81.6
201309,77.4
201310,68.0
201311,53.0
201312,47.3
201401,38.0
201402,42.0
201403,48.9
201404,64.2
201405,75.4
201406,82.6
201407,84.8
201408,81.9
201409,78.1
201410,68.0
201411,52.2
201412,47.2
201501,38.8
201502,35.4
201503,50.2
201504,65.6
201505,78.9
201506,82.1
201507,85.2
201508,84.7
201509,81.0
201510,66.1
201511,60.9
201512,57.3
201601,41.6
201602,45.9
201603,60.4
201604,65.0
201605,69.9
201606,82.6
201607,88.1
201608,88.1
201609,81.0
201610,69.7
201611,59.0
201612,46.6
