#  Minnesota Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,7.2
199402,17.2
199403,39.5
199404,54.0
199405,70.1
199406,77.0
199407,76.5
199408,75.1
199409,70.5
199410,57.6
199411,41.9
199412,28.7
199501,20.2
199502,23.9
199503,38.3
199504,46.6
199505,64.7
199506,80.2
199507,79.4
199508,80.2
199509,67.8
199510,52.8
199511,28.8
199512,20.7
199601,12.2
199602,22.3
199603,29.8
199604,47.3
199605,62.7
199606,76.6
199607,77.3
199608,79.3
199609,68.1
199610,56.2
199611,27.9
199612,16.2
199701,13.8
199702,25.6
199703,34.1
199704,50.2
199705,61.5
199706,79.4
199707,78.2
199708,75.7
199709,71.5
199710,57.0
199711,31.7
199712,30.2
199801,21.3
199802,35.4
199803,35.6
199804,59.2
199805,73.8
199806,72.0
199807,80.2
199808,80.3
199809,75.5
199810,57.2
199811,39.0
199812,28.7
199901,16.4
199902,32.8
199903,40.7
199904,55.4
199905,67.8
199906,74.9
199907,82.4
199908,77.0
199909,67.2
199910,55.6
199911,48.4
199912,31.1
200001,20.8
200002,33.0
200003,47.4
200004,53.9
200005,68.9
200006,72.6
200007,79.4
200008,78.8
200009,69.1
200010,59.3
200011,34.7
200012,11.4
200101,25.1
200102,17.7
200103,34.0
200104,53.4
200105,68.0
200106,76.2
200107,81.9
200108,81.4
200109,68.3
200110,54.9
200111,50.2
200112,29.8
200201,27.0
200202,34.3
200203,29.3
200204,50.9
200205,62.4
200206,78.2
200207,83.3
200208,76.9
200209,71.6
200210,45.6
200211,36.3
200212,29.7
200301,19.2
200302,21.1
200303,37.0
200304,55.6
200305,66.7
200306,75.2
200307,80.3
200308,82.5
200309,69.5
200310,58.3
200311,34.5
200312,28.4
200401,14.5
200402,26.2
200403,40.5
200404,56.9
200405,62.5
200406,72.0
200407,77.8
200408,72.1
200409,72.9
200410,56.1
200411,42.8
200412,25.8
200501,17.0
200502,30.2
200503,37.4
200504,59.9
200505,62.4
200506,77.7
200507,81.9
200508,77.9
200509,73.2
200510,58.2
200511,40.8
200512,23.0
200601,30.9
200602,23.5
200603,37.9
200604,60.9
200605,67.7
200606,77.7
200607,85.9
200608,79.3
200609,67.1
200610,52.4
200611,41.3
200612,31.9
200701,23.1
200702,17.0
200703,41.4
200704,53.0
200705,71.1
200706,78.8
200707,82.6
200708,77.7
200709,71.1
200710,58.7
200711,38.5
200712,20.0
200801,18.2
200802,20.3
200803,33.7
200804,50.2
200805,63.9
200806,74.1
200807,80.1
200808,79.3
200809,69.7
200810,55.9
200811,38.4
200812,17.2
200901,13.5
200902,25.3
200903,35.8
200904,52.5
200905,66.4
200906,73.6
200907,75.0
200908,75.1
200909,74.1
200910,46.5
200911,46.8
200912,19.1
201001,17.2
201002,24.0
201003,45.6
201004,63.3
201005,67.9
201006,74.0
201007,81.3
201008,81.1
201009,65.0
201010,61.0
201011,39.4
201012,18.9
201101,13.9
201102,23.4
201103,33.5
201104,51.2
201105,64.4
201106,73.6
201107,83.6
201108,79.8
201109,69.7
201110,60.9
201111,42.4
201112,31.0
201201,27.4
201202,31.9
201203,52.7
201204,57.2
201205,70.2
201206,78.8
201207,86.0
201208,79.5
201209,71.8
201210,52.8
201211,39.5
201212,25.0
201301,21.0
201302,22.8
201303,31.0
201304,43.1
201305,64.3
201306,74.5
201307,79.9
201308,79.9
201309,73.0
201310,53.7
201311,36.5
201312,14.3
201401,13.7
201402,14.9
201403,30.6
201404,48.8
201405,65.4
201406,75.2
201407,77.4
201408,77.3
201409,69.2
201410,56.2
201411,29.6
201412,26.6
201501,22.2
201502,16.1
201503,42.0
201504,57.5
201505,65.9
201506,76.1
201507,80.5
201508,76.8
201509,74.9
201510,58.6
201511,44.8
201512,30.7
201601,20.3
201602,28.5
201603,45.1
201604,52.8
201605,69.4
201606,76.7
201607,79.8
201608,78.8
201609,70.1
201610,57.7
201611,48.9
201612,22.7
