#  Mississippi Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,50.6
199402,60.6
199403,68.8
199404,78.3
199405,80.8
199406,88.8
199407,88.0
199408,88.9
199409,84.8
199410,74.5
199411,68.9
199412,58.8
199501,56.1
199502,59.8
199503,69.0
199504,76.4
199505,83.3
199506,87.5
199507,92.1
199508,93.2
199509,87.0
199510,77.1
199511,63.1
199512,55.8
199601,56.0
199602,59.3
199603,63.1
199604,73.8
199605,85.6
199606,88.0
199607,91.0
199608,88.7
199609,83.9
199610,76.2
199611,64.4
199612,61.2
199701,54.8
199702,60.3
199703,72.5
199704,70.9
199705,80.4
199706,85.1
199707,91.5
199708,89.2
199709,87.9
199710,76.6
199711,60.5
199712,54.6
199801,58.1
199802,60.2
199803,65.6
199804,73.8
199805,85.8
199806,92.3
199807,92.9
199808,92.6
199809,89.6
199810,80.8
199811,69.3
199812,59.2
199901,61.0
199902,65.2
199903,65.8
199904,79.5
199905,83.5
199906,88.3
199907,91.8
199908,95.3
199909,87.6
199910,77.7
199911,70.8
199912,59.3
200001,58.0
200002,66.6
200003,72.3
200004,73.5
200005,85.6
200006,89.2
200007,94.9
200008,96.6
200009,87.6
200010,80.2
200011,62.6
200012,48.9
200101,51.3
200102,63.8
200103,62.1
200104,78.3
200105,84.2
200106,87.0
200107,91.2
200108,89.4
200109,83.6
200110,74.9
200111,73.2
200112,62.1
200201,58.5
200202,58.2
200203,67.0
200204,77.7
200205,82.6
200206,88.8
200207,91.4
200208,90.5
200209,87.7
200210,75.2
200211,62.8
200212,57.4
200301,51.8
200302,56.3
200303,67.4
200304,76.7
200305,83.2
200306,86.4
200307,89.3
200308,90.7
200309,84.8
200310,76.9
200311,70.8
200312,56.9
200401,56.4
200402,54.9
200403,71.9
200404,75.1
200405,83.0
200406,86.4
200407,89.5
200408,87.8
200409,86.1
200410,80.4
200411,68.2
200412,57.5
200501,60.0
200502,60.8
200503,65.2
200504,75.3
200505,82.0
200506,88.2
200507,90.7
200508,93.0
200509,89.6
200510,78.0
200511,70.1
200512,56.1
200601,63.3
200602,56.9
200603,69.2
200604,81.2
200605,83.2
200606,91.4
200607,93.6
200608,94.6
200609,85.4
200610,76.6
200611,66.4
200612,60.2
200701,55.6
200702,57.8
200703,75.4
200704,73.5
200705,84.8
200706,91.3
200707,88.7
200708,96.4
200709,87.5
200710,78.5
200711,67.5
200712,63.0
200801,54.0
200802,62.3
200803,69.4
200804,75.2
200805,82.4
200806,90.4
200807,93.2
200808,88.0
200809,83.8
200810,75.3
200811,64.8
200812,59.1
200901,56.1
200902,63.3
200903,68.7
200904,75.4
200905,81.2
200906,91.9
200907,90.1
200908,89.1
200909,84.8
200910,72.5
200911,66.8
200912,53.3
201001,51.1
201002,50.5
201003,64.1
201004,78.7
201005,85.3
201006,92.6
201007,92.8
201008,94.2
201009,90.7
201010,81.3
201011,68.2
201012,53.7
201101,52.3
201102,61.3
201103,70.1
201104,79.5
201105,82.7
201106,94.2
201107,93.1
201108,94.8
201109,83.9
201110,75.6
201111,67.8
201112,58.2
201201,62.8
201202,61.7
201203,76.8
201204,78.1
201205,86.3
201206,90.0
201207,92.0
201208,89.6
201209,85.6
201210,74.4
201211,65.8
201212,62.2
201301,58.4
201302,59.5
201303,62.8
201304,73.9
201305,79.8
201306,89.1
201307,88.5
201308,90.0
201309,88.8
201310,76.4
201311,62.4
201312,56.7
201401,51.3
201402,56.7
201403,64.2
201404,74.8
201405,82.2
201406,87.8
201407,87.8
201408,90.5
201409,87.2
201410,79.3
201411,61.1
201412,59.8
201501,54.8
201502,52.8
201503,67.9
201504,77.0
201505,83.3
201506,89.3
201507,92.9
201508,91.6
201509,88.4
201510,78.7
201511,69.0
201512,66.8
201601,54.4
201602,62.6
201603,71.6
201604,76.4
201605,81.6
201606,90.8
201607,92.7
201608,91.4
201609,91.1
201610,84.0
201611,72.5
201612,59.6
