#  New Mexico Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,51.3
199402,52.5
199403,61.3
199404,68.4
199405,76.5
199406,91.0
199407,90.4
199408,88.2
199409,80.5
199410,68.5
199411,56.0
199412,51.6
199501,48.0
199502,59.0
199503,60.3
199504,65.5
199505,74.2
199506,83.7
199507,88.7
199508,88.0
199509,79.2
199510,73.4
199511,62.7
199512,51.5
199601,51.8
199602,57.6
199603,60.0
199604,70.3
199605,84.9
199606,87.9
199607,87.6
199608,84.4
199609,76.0
199610,68.6
199611,58.6
199612,51.9
199701,45.2
199702,49.7
199703,64.8
199704,62.7
199705,76.6
199706,84.4
199707,88.1
199708,85.3
199709,81.6
199710,69.3
199711,55.9
199712,43.5
199801,51.1
199802,49.8
199803,57.8
199804,64.3
199805,79.9
199806,88.0
199807,88.5
199808,85.6
199809,84.3
199810,69.2
199811,60.1
199812,51.2
199901,54.4
199902,59.8
199903,62.8
199904,66.1
199905,75.5
199906,84.2
199907,85.5
199908,84.4
199909,78.8
199910,73.0
199911,66.2
199912,49.0
200001,54.5
200002,59.8
200003,61.3
200004,72.6
200005,84.0
200006,85.8
200007,89.7
200008,88.1
200009,85.0
200010,66.6
200011,49.7
200012,49.3
200101,44.5
200102,53.4
200103,58.4
200104,70.8
200105,79.7
200106,88.5
200107,89.9
200108,85.6
200109,82.7
200110,73.5
200111,59.1
200112,49.4
200201,50.4
200202,52.8
200203,61.2
200204,74.3
200205,80.7
200206,91.2
200207,88.2
200208,88.6
200209,79.4
200210,66.4
200211,56.5
200212,46.6
200301,55.8
200302,51.5
200303,60.2
200304,69.9
200305,80.4
200306,85.4
200307,93.0
200308,87.9
200309,81.3
200310,74.6
200311,58.4
200312,52.0
200401,49.9
200402,48.5
200403,64.5
200404,65.1
200405,80.2
200406,86.8
200407,87.4
200408,83.5
200409,78.5
200410,67.7
200411,53.0
200412,49.5
200501,52.4
200502,50.3
200503,56.9
200504,68.0
200505,77.3
200506,87.0
200507,91.3
200508,84.2
200509,82.2
200510,69.2
200511,62.2
200512,52.6
200601,54.7
200602,57.1
200603,60.0
200604,73.6
200605,82.5
200606,89.6
200607,88.3
200608,81.8
200609,74.4
200610,67.9
200611,61.8
200612,48.4
200701,42.8
200702,53.6
200703,63.8
200704,67.4
200705,74.6
200706,86.4
200707,87.9
200708,87.9
200709,81.3
200710,73.7
200711,62.3
200712,47.9
200801,46.4
200802,54.8
200803,61.8
200804,69.4
200805,77.0
200806,89.5
200807,85.0
200808,84.5
200809,78.2
200810,71.0
200811,60.5
200812,50.6
200901,53.5
200902,58.4
200903,63.2
200904,68.1
200905,79.4
200906,84.1
200907,89.8
200908,87.8
200909,78.4
200910,67.3
200911,61.5
200912,44.2
201001,47.3
201002,47.0
201003,58.2
201004,68.2
201005,76.7
201006,89.5
201007,86.6
201008,86.6
201009,83.9
201010,72.0
201011,58.2
201012,54.8
201101,49.8
201102,51.1
201103,66.7
201104,72.6
201105,76.7
201106,91.4
201107,91.6
201108,90.6
201109,81.0
201110,71.3
201111,57.9
201112,42.8
201201,53.3
201202,52.1
201203,65.1
201204,73.7
201205,80.1
201206,91.8
201207,88.4
201208,88.6
201209,81.3
201210,73.1
201211,63.6
201212,50.6
201301,46.3
201302,51.0
201303,63.4
201304,69.5
201305,78.4
201306,91.4
201307,86.1
201308,86.1
201309,79.0
201310,68.7
201311,56.2
201312,48.0
201401,52.8
201402,56.9
201403,62.3
201404,68.7
201405,76.6
201406,89.2
201407,88.0
201408,83.8
201409,78.8
201410,72.7
201411,57.5
201412,50.5
201501,47.8
201502,56.3
201503,62.7
201504,68.3
201505,72.7
201506,86.9
201507,86.6
201508,88.1
201509,83.6
201510,70.5
201511,57.7
201512,49.5
201601,47.5
201602,58.7
201603,65.2
201604,67.9
201605,75.0
201606,89.3
201607,92.8
201608,83.4
201609,79.9
201610,76.0
201611,60.0
201612,51.2
