#  North Dakota Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,6.9
199402,13.1
199403,40.4
199404,54.8
199405,71.4
199406,75.2
199407,78.4
199408,79.4
199409,73.8
199410,56.4
199411,39.2
199412,26.1
199501,17.8
199502,26.1
199503,33.5
199504,46.8
199505,63.3
199506,78.3
199507,79.4
199508,83.0
199509,70.3
199510,53.6
199511,30.8
199512,19.9
199601,10.0
199602,24.4
199603,27.0
199604,47.0
199605,61.6
199606,77.5
199607,78.8
199608,83.8
199609,67.9
199610,55.1
199611,23.1
199612,12.5
199701,11.2
199702,26.5
199703,32.6
199704,47.5
199705,65.2
199706,80.6
199707,80.0
199708,81.2
199709,74.8
199710,57.7
199711,33.8
199712,33.0
199801,19.1
199802,34.3
199803,30.2
199804,60.1
199805,70.3
199806,70.1
199807,83.0
199808,83.8
199809,77.1
199810,55.9
199811,35.6
199812,26.3
199901,16.0
199902,31.8
199903,40.9
199904,53.6
199905,65.3
199906,73.9
199907,81.6
199908,80.1
199909,65.4
199910,56.0
199911,50.0
199912,34.8
200001,22.7
200002,32.8
200003,46.4
200004,54.5
200005,68.7
200006,72.2
200007,81.8
200008,81.8
200009,70.3
200010,58.6
200011,29.2
200012,12.1
200101,26.5
200102,15.8
200103,36.8
200104,54.0
200105,69.3
200106,74.0
200107,82.1
200108,84.8
200109,71.5
200110,54.1
200111,48.5
200112,27.0
200201,26.0
200202,35.1
200203,26.7
200204,49.9
200205,62.6
200206,78.1
200207,85.1
200208,78.8
200209,72.8
200210,43.8
200211,39.0
200212,29.8
200301,20.5
200302,19.6
200303,34.0
200304,57.7
200305,65.1
200306,73.3
200307,83.2
200308,86.6
200309,70.3
200310,61.8
200311,29.0
200312,29.1
200401,13.0
200402,24.7
200403,40.4
200404,57.3
200405,61.9
200406,71.2
200407,79.8
200408,74.2
200409,71.7
200410,55.5
200411,44.8
200412,28.9
200501,16.8
200502,31.1
200503,39.6
200504,60.2
200505,62.7
200506,75.3
200507,82.4
200508,79.6
200509,74.1
200510,57.1
200511,39.8
200512,25.1
200601,33.1
200602,25.3
200603,36.4
200604,62.0
200605,68.6
200606,78.1
200607,89.5
200608,83.4
200609,68.5
200610,51.2
200611,39.7
200612,32.0
200701,24.4
200702,16.9
200703,43.5
200704,53.0
200705,68.1
200706,77.1
200707,86.5
200708,79.2
200709,72.2
200710,57.7
200711,39.6
200712,23.1
200801,20.9
200802,21.8
200803,38.0
200804,53.8
200805,65.0
200806,72.7
200807,83.1
200808,82.4
200809,69.9
200810,56.3
200811,38.0
200812,14.7
200901,15.2
200902,20.5
200903,29.5
200904,49.3
200905,65.3
200906,72.9
200907,76.9
200908,77.1
200909,76.8
200910,44.8
200911,48.6
200912,15.2
201001,17.4
201002,18.2
201003,39.7
201004,60.5
201005,63.2
201006,74.0
201007,81.3
201008,81.9
201009,65.6
201010,61.0
201011,36.4
201012,17.0
201101,15.1
201102,19.4
201103,27.9
201104,48.5
201105,61.2
201106,73.0
201107,82.6
201108,81.1
201109,72.3
201110,60.4
201111,41.6
201112,32.2
201201,30.4
201202,32.0
201203,53.5
201204,58.5
201205,68.0
201206,78.3
201207,87.3
201208,82.3
201209,74.6
201210,51.1
201211,36.2
201212,21.8
201301,21.1
201302,25.8
201303,28.2
201304,41.2
201305,65.7
201306,74.3
201307,80.5
201308,81.6
201309,74.5
201310,51.3
201311,36.5
201312,14.3
201401,20.2
201402,16.2
201403,33.0
201404,49.9
201405,65.8
201406,73.0
201407,79.0
201408,77.8
201409,70.7
201410,58.4
201411,29.4
201412,26.4
201501,25.0
201502,19.7
201503,44.9
201504,58.2
201505,64.9
201506,77.0
201507,82.3
201508,82.3
201509,76.0
201510,59.7
201511,42.6
201512,28.8
201601,22.8
201602,34.6
201603,48.1
201604,53.7
201605,70.2
201606,78.6
201607,81.2
201608,81.6
201609,70.3
201610,56.5
201611,49.7
201612,17.8
