#  Ohio Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,27.6
199402,37.1
199403,47.3
199404,64.4
199405,68.4
199406,83.5
199407,83.4
199408,79.6
199409,75.0
199410,65.8
199411,56.7
199412,44.4
199501,35.8
199502,35.8
199503,52.8
199504,60.0
199505,69.4
199506,81.2
199507,84.8
199508,86.4
199509,74.2
199510,66.0
199511,44.7
199512,34.5
199601,33.4
199602,37.2
199603,43.5
199604,60.3
199605,68.6
199606,80.5
199607,81.8
199608,82.8
199609,73.7
199610,64.6
199611,43.1
199612,42.7
199701,34.5
199702,42.9
199703,51.3
199704,58.2
199705,65.8
199706,78.5
199707,83.1
199708,78.5
199709,74.4
199710,64.7
199711,45.9
199712,39.7
199801,41.9
199802,46.0
199803,50.0
199804,62.7
199805,76.0
199806,79.0
199807,82.9
199808,83.9
199809,80.9
199810,65.5
199811,53.6
199812,45.8
199901,37.3
199902,43.6
199903,45.7
199904,64.6
199905,75.3
199906,82.9
199907,88.7
199908,81.6
199909,78.9
199910,64.6
199911,57.5
199912,41.4
200001,35.6
200002,44.4
200003,55.7
200004,60.8
200005,74.3
200006,80.3
200007,80.4
200008,80.1
200009,74.2
200010,67.6
200011,48.4
200012,29.5
200101,34.8
200102,42.3
200103,44.8
200104,66.3
200105,72.9
200106,79.4
200107,83.2
200108,83.4
200109,73.6
200110,64.5
200111,59.8
200112,45.3
200201,42.1
200202,45.0
200203,49.1
200204,63.6
200205,68.5
200206,82.8
200207,87.3
200208,85.7
200209,81.1
200210,61.0
200211,47.3
200212,37.3
200301,28.6
200302,33.0
200303,52.3
200304,64.0
200305,69.5
200306,76.4
200307,82.0
200308,82.6
200309,73.4
200310,62.5
200311,55.5
200312,39.4
200401,31.1
200402,39.1
200403,51.8
200404,61.6
200405,75.9
200406,78.3
200407,81.3
200408,78.7
200409,77.6
200410,64.4
200411,53.5
200412,39.6
200501,36.9
200502,41.0
200503,44.2
200504,64.2
200505,68.7
200506,84.0
200507,85.7
200508,85.0
200509,79.7
200510,63.9
200511,54.7
200512,33.8
200601,46.4
200602,39.6
200603,48.0
200604,67.1
200605,70.3
200606,78.8
200607,84.2
200608,84.0
200609,71.4
200610,60.2
200611,53.5
200612,47.0
200701,39.9
200702,27.8
200703,54.2
200704,58.4
200705,77.6
200706,83.2
200707,82.3
200708,85.9
200709,80.6
200710,70.6
200711,51.1
200712,40.0
200801,37.6
200802,36.6
200803,45.2
200804,64.8
200805,68.4
200806,81.7
200807,83.4
200808,82.2
200809,79.3
200810,63.8
200811,49.0
200812,39.7
200901,29.2
200902,40.9
200903,53.8
200904,62.4
200905,73.0
200906,80.0
200907,78.7
200908,81.3
200909,75.2
200910,59.6
200911,55.8
200912,37.7
201001,31.0
201002,32.4
201003,52.6
201004,68.8
201005,74.4
201006,82.4
201007,86.0
201008,85.3
201009,78.5
201010,66.8
201011,53.6
201012,30.8
201101,30.9
201102,39.0
201103,48.7
201104,62.8
201105,71.7
201106,81.2
201107,88.4
201108,83.0
201109,73.3
201110,63.0
201111,56.5
201112,44.0
201201,40.4
201202,43.4
201203,63.6
201204,62.0
201205,78.9
201206,83.1
201207,89.1
201208,83.7
201209,74.8
201210,62.2
201211,49.9
201212,44.7
201301,38.7
201302,36.8
201303,42.5
201304,62.6
201305,74.8
201306,80.0
201307,81.9
201308,80.7
201309,76.3
201310,64.8
201311,47.4
201312,39.4
201401,29.5
201402,32.6
201403,44.5
201404,63.7
201405,73.2
201406,81.2
201407,79.8
201408,81.5
201409,75.7
201410,63.0
201411,45.2
201412,41.6
201501,32.5
201502,27.4
201503,45.8
201504,63.0
201505,77.0
201506,79.2
201507,81.8
201508,81.2
201509,80.1
201510,65.0
201511,57.7
201512,51.7
201601,35.8
201602,42.6
201603,56.4
201604,62.3
201605,70.7
201606,83.0
201607,85.4
201608,86.1
201609,80.9
201610,68.5
201611,56.8
201612,37.9
