#  Oregon Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,44.6
199402,41.6
199403,54.6
199404,57.9
199405,65.6
199406,71.7
199407,84.4
199408,82.0
199409,76.4
199410,59.1
199411,39.0
199412,38.5
199501,40.7
199502,50.8
199503,48.3
199504,53.3
199505,63.1
199506,68.5
199507,78.9
199508,77.9
199509,75.1
199510,59.3
199511,51.4
199512,40.5
199601,39.7
199602,43.9
199603,51.1
199604,56.3
199605,59.6
199606,72.1
199607,84.5
199608,82.4
199609,70.3
199610,59.3
199611,47.9
199612,40.3
199701,40.2
199702,43.8
199703,50.9
199704,53.6
199705,69.2
199706,69.5
199707,78.9
199708,81.5
199709,72.7
199710,58.1
199711,48.7
199712,40.0
199801,41.5
199802,42.8
199803,49.6
199804,55.2
199805,57.2
199806,69.2
199807,83.9
199808,84.2
199809,76.6
199810,58.9
199811,44.6
199812,37.5
199901,41.9
199902,40.6
199903,46.8
199904,53.6
199905,60.7
199906,69.8
199907,79.8
199908,79.4
199909,75.2
199910,64.6
199911,51.5
199912,41.8
200001,39.0
200002,44.6
200003,49.2
200004,60.6
200005,62.8
200006,75.1
200007,80.0
200008,82.0
200009,71.2
200010,58.7
200011,41.9
200012,40.9
200101,40.0
200102,41.8
200103,51.6
200104,52.6
200105,70.1
200106,70.4
200107,79.4
200108,83.8
200109,76.4
200110,61.7
200111,48.3
200112,37.8
200201,38.6
200202,45.4
200203,47.2
200204,56.8
200205,63.2
200206,74.0
200207,85.2
200208,79.6
200209,74.5
200210,60.3
200211,51.0
200212,41.9
200301,45.8
200302,44.2
200303,50.7
200304,51.4
200305,63.6
200306,76.6
200307,87.1
200308,82.5
200309,76.5
200310,64.8
200311,42.8
200312,40.0
200401,38.5
200402,42.7
200403,56.2
200404,60.3
200405,62.6
200406,73.4
200407,83.6
200408,81.1
200409,69.9
200410,59.4
200411,47.0
200412,42.6
200501,41.2
200502,47.4
200503,53.2
200504,54.5
200505,62.7
200506,67.7
200507,83.6
200508,83.7
200509,71.6
200510,60.6
200511,46.0
200512,38.9
200601,41.3
200602,44.0
200603,45.0
200604,56.0
200605,66.7
200606,74.6
200607,85.6
200608,80.7
200609,74.8
200610,60.8
200611,45.9
200612,41.0
200701,39.8
200702,44.6
200703,54.9
200704,56.9
200705,67.4
200706,73.1
200707,85.3
200708,80.8
200709,71.4
200710,57.3
200711,49.0
200712,37.2
200801,36.2
200802,44.9
200803,46.6
200804,52.2
200805,63.8
200806,71.2
200807,82.6
200808,80.8
200809,75.5
200810,61.1
200811,51.1
200812,38.1
200901,42.9
200902,44.0
200903,45.8
200904,55.5
200905,66.9
200906,70.8
200907,84.2
200908,80.7
200909,77.4
200910,55.7
200911,47.5
200912,36.6
201001,42.8
201002,45.5
201003,50.3
201004,53.0
201005,57.4
201006,67.9
201007,81.4
201008,79.2
201009,72.6
201010,61.2
201011,44.7
201012,39.6
201101,42.2
201102,41.3
201103,45.8
201104,49.6
201105,57.6
201106,67.4
201107,77.6
201108,82.0
201109,78.5
201110,60.2
201111,45.8
201112,42.6
201201,43.2
201202,43.6
201203,47.6
201204,57.2
201205,64.1
201206,68.7
201207,81.8
201208,84.6
201209,78.3
201210,61.1
201211,48.6
201212,38.0
201301,38.4
201302,44.1
201303,51.8
201304,56.3
201305,65.6
201306,73.1
201307,86.0
201308,81.7
201309,70.4
201310,58.8
201311,48.7
201312,39.1
201401,45.9
201402,42.8
201403,52.1
201404,57.8
201405,66.6
201406,71.9
201407,85.8
201408,81.5
201409,75.2
201410,64.6
201411,46.9
201412,42.2
201501,46.3
201502,50.9
201503,57.7
201504,57.6
201505,65.5
201506,80.7
201507,82.4
201508,82.6
201509,72.8
201510,66.6
201511,44.5
201512,38.5
201601,40.0
201602,49.4
201603,50.3
201604,62.8
201605,65.6
201606,75.0
201607,79.4
201608,83.1
201609,71.5
201610,57.2
201611,51.5
201612,35.5
