#  Pennsylvania Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,26.4
199402,34.4
199403,42.6
199404,63.4
199405,66.2
199406,81.1
199407,82.5
199408,77.0
199409,71.0
199410,62.1
199411,54.7
199412,43.4
199501,36.8
199502,33.4
199503,51.0
199504,56.8
199505,67.9
199506,78.6
199507,82.9
199508,84.7
199509,73.0
199510,65.8
199511,42.9
199512,31.9
199601,32.5
199602,35.4
199603,42.0
199604,59.0
199605,66.6
199606,78.8
199607,78.6
199608,79.8
199609,71.0
199610,61.7
199611,42.8
199612,40.8
199701,33.6
199702,42.3
199703,47.3
199704,56.5
199705,64.8
199706,77.7
199707,81.6
199708,77.8
199709,71.4
199710,62.2
199711,44.4
199712,38.8
199801,41.2
199802,43.6
199803,48.8
199804,61.5
199805,73.7
199806,75.4
199807,80.9
199808,81.9
199809,77.1
199810,62.3
199811,51.2
199812,45.3
199901,36.1
199902,41.2
199903,44.2
199904,60.6
199905,72.6
199906,79.6
199907,86.3
199908,80.3
199909,74.1
199910,61.3
199911,54.9
199912,40.4
200001,34.6
200002,41.2
200003,53.9
200004,58.5
200005,71.9
200006,77.7
200007,77.6
200008,77.3
200009,71.8
200010,64.2
200011,46.5
200012,30.5
200101,33.7
200102,40.1
200103,41.7
200104,61.4
200105,71.0
200106,78.3
200107,79.8
200108,83.1
200109,72.4
200110,63.7
200111,57.3
200112,44.6
200201,41.0
200202,44.4
200203,48.8
200204,61.8
200205,67.5
200206,79.4
200207,84.4
200208,84.2
200209,77.4
200210,58.2
200211,46.5
200212,35.3
200301,27.8
200302,31.8
200303,48.8
200304,59.6
200305,66.0
200306,73.8
200307,80.5
200308,81.1
200309,71.2
200310,59.5
200311,54.2
200312,38.3
200401,27.7
200402,37.1
200403,49.2
200404,59.0
200405,75.4
200406,75.6
200407,78.8
200408,77.8
200409,74.4
200410,60.4
200411,52.0
200412,39.2
200501,34.4
200502,39.3
200503,41.4
200504,62.9
200505,66.2
200506,81.4
200507,84.0
200508,83.0
200509,78.3
200510,61.3
200511,53.8
200512,33.6
200601,43.8
200602,38.2
200603,46.8
200604,63.8
200605,69.6
200606,77.0
200607,82.8
200608,81.5
200609,69.0
200610,59.1
200611,52.9
200612,46.4
200701,39.3
200702,28.3
200703,48.7
200704,54.8
200705,74.7
200706,80.6
200707,80.8
200708,81.5
200709,77.0
200710,68.9
200711,48.1
200712,38.1
200801,37.2
200802,36.4
200803,45.3
200804,63.8
200805,66.5
200806,80.4
200807,82.3
200808,78.8
200809,74.8
200810,60.4
200811,46.8
200812,39.1
200901,28.8
200902,39.2
200903,49.4
200904,61.5
200905,70.0
200906,75.4
200907,77.4
200908,80.2
200909,71.2
200910,57.7
200911,53.9
200912,36.1
201001,32.6
201002,32.8
201003,52.7
201004,66.4
201005,72.3
201006,80.3
201007,85.4
201008,81.6
201009,75.6
201010,62.3
201011,50.6
201012,31.7
201101,30.0
201102,38.8
201103,46.2
201104,59.6
201105,71.6
201106,79.3
201107,86.8
201108,80.2
201109,72.7
201110,60.1
201111,55.4
201112,43.2
201201,38.8
201202,42.7
201203,59.7
201204,60.1
201205,75.6
201206,78.4
201207,85.7
201208,81.1
201209,73.0
201210,61.7
201211,46.6
201212,42.8
201301,36.8
201302,34.9
201303,41.5
201304,60.5
201305,71.3
201306,78.1
201307,82.5
201308,78.5
201309,73.2
201310,63.8
201311,46.4
201312,38.5
201401,29.2
201402,32.4
201403,41.0
201404,60.3
201405,70.8
201406,78.8
201407,79.9
201408,78.0
201409,73.7
201410,62.7
201411,45.1
201412,40.1
201501,30.9
201502,26.8
201503,42.1
201504,60.5
201505,76.2
201506,77.0
201507,81.3
201508,80.6
201509,78.0
201510,61.4
201511,55.9
201512,50.0
201601,34.2
201602,40.2
201603,55.0
201604,59.9
201605,68.4
201606,79.2
201607,84.8
201608,84.5
201609,78.2
201610,64.2
201611,53.5
201612,38.2
