#  South Carolina Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,52.4
199402,60.5
199403,70.1
199404,78.6
199405,80.1
199406,88.3
199407,88.5
199408,86.7
199409,81.9
199410,72.4
199411,69.2
199412,59.2
199501,55.9
199502,55.7
199503,69.5
199504,77.7
199505,84.4
199506,85.5
199507,91.9
199508,89.3
199509,81.1
199510,76.5
199511,62.1
199512,54.7
199601,54.0
199602,60.0
199603,61.6
199604,74.0
199605,84.5
199606,88.1
199607,90.8
199608,87.0
199609,83.2
199610,74.1
199611,62.0
199612,60.0
199701,56.5
199702,61.7
199703,73.6
199704,72.1
199705,79.4
199706,82.6
199707,90.8
199708,88.7
199709,84.0
199710,74.1
199711,61.5
199712,55.6
199801,58.1
199802,59.6
199803,63.8
199804,73.4
199805,84.4
199806,92.2
199807,93.1
199808,90.5
199809,86.6
199810,78.4
199811,69.0
199812,62.3
199901,61.8
199902,62.3
199903,64.6
199904,77.3
199905,80.9
199906,85.6
199907,91.1
199908,93.6
199909,83.8
199910,73.6
199911,70.4
199912,59.0
200001,54.0
200002,63.4
200003,71.2
200004,73.0
200005,86.7
200006,90.3
200007,90.8
200008,89.1
200009,81.8
200010,77.0
200011,64.2
200012,49.0
200101,55.2
200102,63.1
200103,63.9
200104,76.6
200105,84.2
200106,87.3
200107,88.2
200108,90.6
200109,82.1
200110,75.3
200111,73.1
200112,64.2
200201,59.0
200202,61.0
200203,69.0
200204,79.6
200205,81.2
200206,89.4
200207,93.2
200208,90.8
200209,84.5
200210,74.8
200211,63.2
200212,55.0
200301,53.0
200302,57.6
200303,67.4
200304,72.2
200305,80.1
200306,86.4
200307,88.1
200308,88.6
200309,82.9
200310,74.7
200311,71.7
200312,55.9
200401,55.1
200402,54.4
200403,70.7
200404,76.5
200405,86.0
200406,88.0
200407,90.5
200408,86.4
200409,81.7
200410,75.3
200411,67.6
200412,58.0
200501,58.9
200502,59.1
200503,64.5
200504,73.6
200505,79.8
200506,85.4
200507,91.1
200508,89.6
200509,88.5
200510,75.9
200511,68.7
200512,55.8
200601,62.4
200602,57.9
200603,66.8
200604,79.9
200605,81.4
200606,88.0
200607,91.7
200608,91.2
200609,82.4
200610,73.7
200611,66.8
200612,63.5
200701,59.2
200702,57.6
200703,72.2
200704,74.9
200705,82.6
200706,88.3
200707,89.0
200708,95.8
200709,87.0
200710,79.5
200711,67.3
200712,63.8
200801,54.7
200802,63.8
200803,67.9
200804,73.8
200805,81.7
200806,92.6
200807,91.1
200808,89.2
200809,83.2
200810,73.4
200811,62.6
200812,61.9
200901,55.0
200902,59.7
200903,65.4
200904,74.5
200905,80.8
200906,90.0
200907,89.9
200908,90.0
200909,84.0
200910,72.6
200911,66.1
200912,55.0
201001,51.9
201002,51.8
201003,64.4
201004,78.9
201005,84.3
201006,92.8
201007,93.1
201008,91.0
201009,88.8
201010,78.2
201011,67.0
201012,49.6
201101,51.7
201102,62.6
201103,67.9
201104,78.1
201105,83.6
201106,93.2
201107,93.9
201108,92.7
201109,84.7
201110,73.6
201111,68.4
201112,62.8
201201,60.6
201202,62.7
201203,75.4
201204,76.9
201205,83.6
201206,86.0
201207,93.8
201208,87.1
201209,84.2
201210,74.8
201211,63.3
201212,61.8
201301,61.6
201302,57.6
201303,60.6
201304,74.1
201305,78.9
201306,86.8
201307,87.0
201308,85.9
201309,84.1
201310,75.3
201311,63.8
201312,61.0
201401,51.6
201402,59.7
201403,62.6
201404,76.0
201405,84.1
201406,89.2
201407,89.3
201408,88.5
201409,82.4
201410,78.1
201411,61.8
201412,60.0
201501,54.7
201502,52.3
201503,67.9
201504,75.8
201505,83.8
201506,91.8
201507,93.4
201508,89.8
201509,83.7
201510,74.0
201511,68.0
201512,68.3
201601,53.4
201602,58.9
201603,72.8
201604,75.6
201605,81.1
201606,90.9
201607,95.0
201608,91.7
201609,87.1
201610,78.8
201611,69.2
201612,59.1
