#  South Dakota Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,19.0
199402,22.5
199403,48.0
199404,58.9
199405,74.0
199406,79.8
199407,81.8
199408,82.5
199409,76.3
199410,60.5
199411,44.4
199412,32.6
199501,28.4
199502,37.2
199503,41.6
199504,49.0
199505,62.8
199506,76.7
199507,84.6
199508,86.8
199509,73.1
199510,57.5
199511,40.2
199512,31.4
199601,20.9
199602,34.2
199603,35.0
199604,55.4
199605,61.9
199606,79.6
199607,82.8
199608,85.4
199609,70.6
199610,60.2
199611,30.1
199612,20.3
199701,20.1
199702,32.0
199703,43.4
199704,50.7
199705,65.5
199706,80.2
199707,83.0
199708,81.4
199709,76.8
199710,63.5
199711,40.5
199712,37.2
199801,29.4
199802,40.8
199803,34.9
199804,59.7
199805,72.2
199806,72.9
199807,85.6
199808,84.7
199809,81.7
199810,59.0
199811,44.6
199812,37.7
199901,28.3
199902,43.5
199903,48.6
199904,55.7
199905,67.6
199906,76.4
199907,85.8
199908,84.7
199909,70.6
199910,62.1
199911,56.4
199912,40.9
200001,32.4
200002,42.0
200003,52.3
200004,58.3
200005,71.1
200006,77.4
200007,85.9
200008,87.2
200009,77.9
200010,62.6
200011,33.2
200012,20.3
200101,32.7
200102,22.4
200103,39.5
200104,58.0
200105,70.1
200106,78.0
200107,86.8
200108,87.7
200109,75.5
200110,61.0
200111,54.2
200112,34.5
200201,34.9
200202,42.3
200203,32.6
200204,57.9
200205,66.2
200206,84.6
200207,91.4
200208,83.8
200209,76.2
200210,49.6
200211,45.9
200212,38.3
200301,30.9
200302,29.9
200303,44.9
200304,60.5
200305,66.8
200306,75.8
200307,88.7
200308,89.2
200309,74.7
200310,66.2
200311,37.5
200312,35.6
200401,26.2
200402,33.2
200403,50.0
200404,62.9
200405,68.6
200406,74.8
200407,83.8
200408,79.8
200409,76.1
200410,61.1
200411,48.4
200412,38.1
200501,26.8
200502,41.5
200503,47.3
200504,61.3
200505,66.2
200506,78.9
200507,88.5
200508,85.0
200509,80.3
200510,62.7
200511,48.6
200512,28.5
200601,41.4
200602,34.2
200603,42.6
200604,63.6
200605,72.2
200606,83.2
200607,93.6
200608,85.7
200609,68.7
200610,57.1
200611,46.1
200612,38.8
200701,30.9
200702,24.5
200703,52.2
200704,54.7
200705,72.8
200706,80.6
200707,90.4
200708,83.3
200709,76.8
200710,62.6
200711,47.2
200712,29.7
200801,27.9
200802,30.9
200803,44.1
200804,55.7
200805,65.1
200806,75.9
200807,86.0
200808,84.5
200809,74.3
200810,59.3
200811,43.8
200812,24.8
200901,27.8
200902,33.9
200903,41.7
200904,53.6
200905,69.9
200906,74.6
200907,80.4
200908,80.5
200909,75.9
200910,47.6
200911,52.9
200912,21.8
201001,23.1
201002,24.0
201003,45.5
201004,61.8
201005,65.4
201006,77.1
201007,85.0
201008,87.1
201009,72.2
201010,65.2
201011,43.0
201012,26.7
201101,22.6
201102,26.6
201103,36.4
201104,53.4
201105,63.8
201106,76.3
201107,87.7
201108,84.7
201109,74.8
201110,64.6
201111,47.4
201112,37.7
201201,37.3
201202,37.6
201203,61.6
201204,63.5
201205,71.8
201206,84.4
201207,93.1
201208,86.6
201209,79.8
201210,58.3
201211,46.8
201212,31.3
201301,29.6
201302,33.8
201303,40.0
201304,48.3
201305,68.5
201306,77.2
201307,84.5
201308,83.8
201309,79.5
201310,54.4
201311,44.1
201312,24.2
201401,30.2
201402,25.3
201403,41.5
201404,56.9
201405,67.8
201406,75.6
201407,82.4
201408,80.5
201409,73.8
201410,64.0
201411,36.6
201412,33.7
201501,33.2
201502,32.0
201503,54.1
201504,62.1
201505,65.4
201506,79.4
201507,85.1
201508,82.9
201509,79.6
201510,64.0
201511,47.8
201512,32.5
201601,28.6
201602,41.0
201603,53.4
201604,58.7
201605,70.3
201606,84.9
201607,86.6
201608,84.5
201609,75.2
201610,64.6
201611,54.1
201612,24.6
