#  Vermont Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,17.5
199402,24.2
199403,36.2
199404,52.1
199405,63.0
199406,75.7
199407,79.2
199408,73.4
199409,64.5
199410,56.8
199411,47.3
199412,35.1
199501,31.8
199502,26.5
199503,42.2
199504,46.7
199505,62.8
199506,77.4
199507,80.2
199508,76.9
199509,65.3
199510,60.2
199511,38.7
199512,24.8
199601,25.5
199602,27.4
199603,36.7
199604,49.6
199605,61.9
199606,72.9
199607,75.2
199608,76.2
199609,67.9
199610,54.9
199611,38.1
199612,35.3
199701,25.8
199702,33.8
199703,35.1
199704,49.2
199705,57.9
199706,75.5
199707,76.4
199708,74.0
199709,65.8
199710,54.5
199711,40.1
199712,31.4
199801,30.1
199802,36.0
199803,41.0
199804,55.8
199805,71.0
199806,71.0
199807,76.6
199808,76.3
199809,69.0
199810,55.5
199811,41.9
199812,39.0
199901,27.4
199902,33.3
199903,38.0
199904,53.1
199905,68.8
199906,78.4
199907,80.4
199908,75.0
199909,71.7
199910,54.2
199911,48.3
199912,33.3
200001,24.9
200002,31.7
200003,44.8
200004,49.0
200005,63.7
200006,71.0
200007,74.0
200008,73.7
200009,66.6
200010,56.2
200011,41.4
200012,25.9
200101,27.6
200102,30.0
200103,34.3
200104,51.8
200105,68.0
200106,75.2
200107,75.2
200108,80.5
200109,69.5
200110,59.3
200111,47.6
200112,37.9
200201,33.3
200202,35.1
200203,38.9
200204,53.9
200205,60.9
200206,72.2
200207,78.2
200208,79.2
200209,72.6
200210,52.0
200211,39.8
200212,30.4
200301,19.4
200302,25.1
200303,39.9
200304,49.0
200305,62.9
200306,73.5
200307,77.5
200308,77.2
200309,69.4
200310,53.8
200311,45.4
200312,31.0
200401,16.2
200402,29.6
200403,41.3
200404,52.2
200405,66.8
200406,71.7
200407,75.7
200408,74.6
200409,69.6
200410,56.3
200411,43.8
200412,30.7
200501,23.9
200502,32.5
200503,35.9
200504,55.9
200505,59.2
200506,77.9
200507,79.7
200508,78.0
200509,72.1
200510,55.4
200511,46.5
200512,29.4
200601,34.9
200602,29.9
200603,38.3
200604,55.2
200605,64.2
200606,72.5
200607,80.1
200608,74.1
200609,66.6
200610,53.6
200611,48.3
200612,38.2
200701,28.8
200702,22.4
200703,37.2
200704,47.9
200705,66.6
200706,74.9
200707,75.3
200708,76.6
200709,71.3
200710,61.2
200711,40.4
200712,29.2
200801,30.8
200802,29.9
200803,36.3
200804,57.7
200805,63.2
200806,74.2
200807,77.6
200808,73.7
200809,69.2
200810,54.5
200811,42.1
200812,32.3
200901,21.3
200902,31.1
200903,40.6
200904,55.2
200905,64.3
200906,70.3
200907,73.9
200908,76.7
200909,67.5
200910,50.9
200911,48.8
200912,29.4
201001,27.6
201002,29.8
201003,45.6
201004,58.2
201005,69.4
201006,72.4
201007,80.6
201008,76.4
201009,69.4
201010,54.7
201011,42.9
201012,27.8
201101,24.4
201102,28.6
201103,37.0
201104,51.6
201105,66.5
201106,72.9
201107,80.3
201108,76.4
201109,70.4
201110,56.4
201111,50.2
201112,36.4
201201,30.2
201202,34.8
201203,49.8
201204,54.1
201205,68.9
201206,73.6
201207,80.3
201208,79.4
201209,69.0
201210,58.2
201211,42.0
201212,34.5
201301,28.5
201302,29.3
201303,37.7
201304,52.1
201305,68.2
201306,72.8
201307,80.0
201308,75.2
201309,67.5
201310,58.3
201311,40.8
201312,29.3
201401,24.4
201402,26.5
201403,30.8
201404,52.4
201405,65.0
201406,74.4
201407,77.8
201408,74.1
201409,69.2
201410,57.6
201411,41.2
201412,33.4
201501,23.8
201502,17.6
201503,33.4
201504,50.6
201505,72.7
201506,70.2
201507,77.6
201508,77.8
201509,74.9
201510,55.0
201511,49.3
201512,42.1
201601,29.9
201602,34.0
201603,44.0
201604,50.8
201605,66.2
201606,74.4
201607,79.3
201608,78.8
201609,72.2
201610,56.9
201611,45.2
201612,32.2
