#  Virginia Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,38.4
199402,48.3
199403,56.8
199404,72.3
199405,72.0
199406,84.7
199407,86.0
199408,81.9
199409,77.0
199410,67.6
199411,62.8
199412,52.5
199501,46.0
199502,45.0
199503,60.6
199504,68.2
199505,74.1
199506,80.2
199507,87.3
199508,86.8
199509,77.0
199510,70.8
199511,52.2
199512,43.2
199601,42.5
199602,46.0
199603,51.5
199604,66.8
199605,74.2
199606,83.3
199607,83.6
199608,82.0
199609,76.0
199610,67.8
199611,51.1
199612,49.9
199701,45.5
199702,51.5
199703,59.8
199704,62.9
199705,72.2
199706,79.6
199707,86.5
199708,83.9
199709,77.9
199710,68.1
199711,53.0
199712,47.3
199801,49.4
199802,50.3
199803,55.7
199804,67.8
199805,76.2
199806,82.1
199807,86.5
199808,86.2
199809,84.7
199810,70.2
199811,60.2
199812,53.0
199901,49.8
199902,51.3
199903,53.9
199904,68.7
199905,76.4
199906,82.0
199907,88.5
199908,86.5
199909,76.9
199910,66.8
199911,63.9
199912,50.7
200001,44.7
200002,53.2
200003,62.6
200004,65.0
200005,78.5
200006,83.1
200007,82.0
200008,82.2
200009,75.6
200010,71.7
200011,55.0
200012,40.0
200101,45.0
200102,52.8
200103,53.0
200104,69.7
200105,75.2
200106,82.3
200107,82.7
200108,85.5
200109,76.4
200110,69.6
200111,65.7
200112,54.1
200201,50.2
200202,53.2
200203,58.5
200204,70.7
200205,74.8
200206,85.3
200207,87.6
200208,87.5
200209,80.2
200210,65.9
200211,54.5
200212,45.2
200301,40.0
200302,42.8
200303,60.2
200304,66.3
200305,70.9
200306,78.9
200307,84.2
200308,84.7
200309,76.6
200310,66.9
200311,63.3
200312,46.7
200401,41.9
200402,46.6
200403,59.7
200404,66.9
200405,80.3
200406,80.4
200407,84.3
200408,81.8
200409,77.4
200410,66.9
200411,59.9
200412,49.0
200501,47.2
200502,49.8
200503,52.1
200504,67.6
200505,72.0
200506,82.4
200507,86.7
200508,86.2
200509,83.0
200510,68.4
200511,61.6
200512,44.6
200601,52.8
200602,48.3
200603,58.3
200604,71.6
200605,73.9
200606,81.7
200607,86.5
200608,87.6
200609,74.3
200610,65.4
200611,59.8
200612,55.1
200701,49.7
200702,41.9
200703,62.4
200704,65.3
200705,77.0
200706,83.5
200707,85.3
200708,89.3
200709,82.3
200710,74.8
200711,57.8
200712,50.6
200801,46.3
200802,51.0
200803,59.2
200804,67.0
200805,73.4
200806,86.5
200807,86.1
200808,83.8
200809,78.3
200810,67.0
200811,54.3
200812,50.0
200901,42.2
200902,50.8
200903,55.9
200904,68.0
200905,74.7
200906,82.1
200907,82.5
200908,85.1
200909,76.2
200910,65.9
200911,59.6
200912,44.8
201001,41.6
201002,40.1
201003,58.6
201004,73.2
201005,77.6
201006,87.3
201007,89.9
201008,86.2
201009,83.2
201010,70.4
201011,58.6
201012,38.1
201101,41.0
201102,52.8
201103,57.2
201104,70.1
201105,76.0
201106,85.0
201107,89.0
201108,85.7
201109,77.0
201110,66.5
201111,61.7
201112,53.2
201201,49.6
201202,53.1
201203,67.9
201204,68.0
201205,78.2
201206,82.5
201207,89.4
201208,84.1
201209,77.9
201210,67.2
201211,54.0
201212,52.5
201301,48.0
201302,46.4
201303,50.0
201304,68.4
201305,73.7
201306,82.0
201307,84.6
201308,81.0
201309,77.6
201310,68.0
201311,54.9
201312,50.3
201401,40.6
201402,47.3
201403,52.5
201404,68.0
201405,77.5
201406,83.4
201407,84.0
201408,80.8
201409,77.3
201410,68.8
201411,53.0
201412,49.4
201501,43.1
201502,39.8
201503,55.6
201504,68.1
201505,79.2
201506,83.7
201507,84.7
201508,84.0
201509,79.4
201510,67.1
201511,61.8
201512,59.0
201601,43.0
201602,47.6
201603,63.7
201604,68.2
201605,71.5
201606,83.0
201607,87.5
201608,86.7
201609,81.8
201610,71.0
201611,61.3
201612,48.8
