#  Washington Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,42.2
199402,38.1
199403,52.9
199404,58.3
199405,65.6
199406,69.4
199407,81.6
199408,78.5
199409,74.4
199410,56.6
199411,39.0
199412,36.8
199501,38.2
199502,45.8
199503,49.0
199504,55.2
199505,66.6
199506,69.4
199507,77.2
199508,72.7
199509,73.3
199510,54.2
199511,46.8
199512,36.8
199601,34.4
199602,40.1
199603,48.2
199604,55.7
199605,58.0
199606,69.7
199607,81.0
199608,78.9
199609,66.4
199610,54.9
199611,41.5
199612,33.5
199701,36.2
199702,41.3
199703,46.7
199704,53.6
199705,66.0
199706,67.7
199707,75.9
199708,79.7
199709,70.6
199710,54.9
199711,46.5
199712,38.1
199801,37.4
199802,44.0
199803,49.6
199804,57.2
199805,62.7
199806,69.9
199807,81.8
199808,81.2
199809,76.0
199810,57.1
199811,44.9
199812,35.9
199901,39.5
199902,41.3
199903,47.3
199904,55.6
199905,59.9
199906,66.8
199907,75.3
199908,78.0
199909,71.2
199910,57.4
199911,47.4
199912,39.6
200001,35.9
200002,42.0
200003,47.8
200004,59.3
200005,61.6
200006,70.6
200007,76.7
200008,77.2
200009,67.8
200010,56.6
200011,39.2
200012,34.5
200101,37.1
200102,39.9
200103,49.5
200104,53.4
200105,66.0
200106,66.9
200107,76.3
200108,79.3
200109,72.6
200110,54.9
200111,45.9
200112,36.9
200201,38.1
200202,42.3
200203,43.6
200204,55.2
200205,60.5
200206,71.9
200207,79.9
200208,77.5
200209,70.6
200210,57.2
200211,46.8
200212,39.0
200301,41.1
200302,43.6
200303,49.0
200304,54.0
200305,62.4
200306,73.9
200307,82.7
200308,80.2
200309,73.0
200310,60.6
200311,40.8
200312,36.5
200401,34.5
200402,42.0
200403,53.0
200404,61.2
200405,63.0
200406,72.8
200407,80.9
200408,79.2
200409,66.7
200410,58.0
200411,45.3
200412,39.9
200501,37.2
200502,46.5
200503,52.8
200504,56.8
200505,65.3
200506,67.8
200507,78.8
200508,80.3
200509,68.1
200510,56.9
200511,41.5
200512,34.9
200601,40.8
200602,41.2
200603,47.4
200604,56.3
200605,65.2
200606,71.6
200607,81.5
200608,78.6
200609,72.1
200610,57.6
200611,42.3
200612,36.0
200701,35.2
200702,41.7
200703,50.3
200704,55.2
200705,65.6
200706,69.0
200707,81.5
200708,76.4
200709,68.9
200710,54.8
200711,43.6
200712,35.7
200801,33.7
200802,42.8
200803,45.7
200804,51.3
200805,64.2
200806,68.0
200807,78.1
200808,76.6
200809,71.0
200810,56.8
200811,46.5
200812,32.2
200901,36.2
200902,40.5
200903,43.5
200904,55.2
200905,64.8
200906,72.0
200907,81.6
200908,78.2
200909,73.1
200910,53.0
200911,44.6
200912,32.8
201001,41.1
201002,45.6
201003,50.8
201004,54.2
201005,59.0
201006,66.2
201007,77.8
201008,76.4
201009,67.1
201010,58.0
201011,41.1
201012,36.9
201101,37.9
201102,38.6
201103,45.9
201104,49.5
201105,58.8
201106,66.1
201107,73.5
201108,78.6
201109,74.5
201110,55.4
201111,43.1
201112,37.6
201201,37.5
201202,41.4
201203,45.7
201204,56.4
201205,62.4
201206,65.1
201207,77.9
201208,80.6
201209,73.9
201210,57.0
201211,44.7
201212,37.2
201301,34.6
201302,42.5
201303,49.5
201304,54.8
201305,65.0
201306,69.8
201307,81.4
201308,78.6
201309,69.9
201310,56.6
201311,43.6
201312,34.7
201401,39.9
201402,36.3
201403,49.0
201404,56.3
201405,66.2
201406,69.8
201407,82.4
201408,80.0
201409,72.0
201410,60.7
201411,43.7
201412,39.6
201501,40.6
201502,48.3
201503,55.0
201504,57.2
201505,67.6
201506,79.2
201507,82.2
201508,80.1
201509,67.9
201510,62.2
201511,43.1
201512,37.0
201601,37.9
201602,46.5
201603,50.4
201604,63.3
201605,66.4
201606,72.2
201607,75.5
201608,79.7
201609,68.1
201610,54.4
201611,49.2
201612,32.1
