#  Wyoming Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,33.5
199402,31.4
199403,47.1
199404,54.2
199405,68.5
199406,76.8
199407,81.2
199408,82.5
199409,72.9
199410,52.9
199411,36.5
199412,35.3
199501,32.6
199502,39.0
199503,42.6
199504,48.4
199505,54.9
199506,68.5
199507,78.7
199508,82.8
199509,68.2
199510,53.0
199511,43.7
199512,35.8
199601,28.5
199602,36.3
199603,39.8
199604,52.6
199605,58.7
199606,76.2
199607,82.2
199608,81.8
199609,66.6
199610,55.3
199611,39.4
199612,30.5
199701,28.7
199702,32.9
199703,46.0
199704,46.3
199705,63.3
199706,73.7
199707,78.9
199708,77.7
199709,69.8
199710,56.2
199711,40.3
199712,31.2
199801,32.8
199802,36.5
199803,40.0
199804,52.2
199805,64.2
199806,64.7
199807,82.9
199808,80.5
199809,74.4
199810,55.0
199811,42.3
199812,32.3
199901,34.7
199902,38.9
199903,48.2
199904,47.6
199905,59.2
199906,70.4
199907,81.9
199908,80.1
199909,65.9
199910,60.8
199911,52.8
199912,36.1
200001,34.3
200002,40.3
200003,45.9
200004,56.3
200005,64.6
200006,73.9
200007,84.8
200008,83.6
200009,69.3
200010,55.8
200011,30.6
200012,30.0
200101,32.1
200102,30.5
200103,43.8
200104,53.3
200105,65.6
200106,75.1
200107,84.1
200108,83.9
200109,73.9
200110,56.6
200111,46.5
200112,31.6
200201,31.0
200202,35.8
200203,36.6
200204,53.6
200205,62.0
200206,77.4
200207,86.2
200208,78.6
200209,69.2
200210,49.8
200211,40.4
200212,35.0
200301,38.5
200302,31.4
200303,42.6
200304,55.6
200305,63.0
200306,69.6
200307,87.2
200308,83.6
200309,67.8
200310,62.4
200311,34.8
200312,34.7
200401,31.6
200402,34.4
200403,49.4
200404,55.2
200405,62.8
200406,70.5
200407,79.5
200408,75.8
200409,68.1
200410,55.2
200411,42.2
200412,35.9
200501,35.0
200502,39.2
200503,44.5
200504,53.5
200505,60.7
200506,71.2
200507,84.6
200508,78.5
200509,71.2
200510,58.2
200511,44.2
200512,31.0
200601,37.4
200602,32.8
200603,42.3
200604,57.4
200605,66.1
200606,78.9
200607,86.0
200608,80.1
200609,65.7
200610,52.6
200611,43.0
200612,34.6
200701,28.0
200702,35.4
200703,50.4
200704,53.2
200705,65.2
200706,76.9
200707,86.4
200708,81.6
200709,70.2
200710,57.2
200711,45.8
200712,27.8
200801,27.1
200802,34.3
200803,40.0
200804,49.7
200805,59.0
200806,70.6
200807,83.3
200808,80.5
200809,67.5
200810,56.3
200811,46.2
200812,30.2
200901,34.4
200902,38.0
200903,43.7
200904,50.1
200905,63.7
200906,67.8
200907,78.7
200908,77.5
200909,73.5
200910,45.8
200911,46.9
200912,25.0
201001,33.3
201002,32.8
201003,46.5
201004,51.3
201005,56.1
201006,70.7
201007,80.4
201008,79.9
201009,73.5
201010,60.8
201011,39.4
201012,33.6
201101,30.1
201102,29.4
201103,43.0
201104,48.6
201105,55.1
201106,71.1
201107,82.5
201108,82.8
201109,72.5
201110,57.2
201111,40.2
201112,32.6
201201,36.4
201202,33.6
201203,53.1
201204,58.7
201205,64.5
201206,79.5
201207,85.7
201208,83.1
201209,73.9
201210,54.5
201211,46.6
201212,32.4
201301,31.2
201302,33.6
201303,44.1
201304,47.3
201305,63.4
201306,76.4
201307,83.1
201308,82.2
201309,69.9
201310,50.6
201311,43.0
201312,28.9
201401,34.2
201402,30.6
201403,44.2
201404,52.5
201405,63.1
201406,70.7
201407,81.9
201408,76.2
201409,70.3
201410,61.0
201411,39.0
201412,34.7
201501,36.4
201502,39.8
201503,51.3
201504,54.6
201505,57.7
201506,77.4
201507,78.4
201508,80.0
201509,75.4
201510,61.5
201511,40.5
201512,31.6
201601,32.7
201602,41.0
201603,46.5
201604,53.5
201605,60.5
201606,80.3
201607,82.9
201608,79.5
201609,69.2
201610,59.6
201611,49.5
201612,28.0
