#  Alabama Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,30.8
199402,38.3
199403,42.3
199404,51.3
199405,56.2
199406,68.2
199407,68.5
199408,66.8
199409,61.0
199410,54.2
199411,46.4
199412,40.0
199501,34.9
199502,36.0
199503,46.9
199504,49.8
199505,60.5
199506,63.7
199507,69.5
199508,71.6
199509,62.0
199510,51.4
199511,37.5
199512,34.1
199601,31.7
199602,35.4
199603,39.0
199604,46.3
199605,60.5
199606,66.0
199607,69.0
199608,67.7
199609,61.3
199610,50.9
199611,41.5
199612,37.7
199701,35.8
199702,40.8
199703,48.4
199704,46.1
199705,55.1
199706,65.0
199707,70.0
199708,67.0
199709,62.4
199710,50.5
199711,39.2
199712,34.7
199801,37.8
199802,38.7
199803,42.1
199804,49.7
199805,60.8
199806,69.0
199807,71.7
199808,68.7
199809,66.5
199810,53.6
199811,46.2
199812,42.0
199901,37.4
199902,39.9
199903,39.5
199904,54.9
199905,56.6
199906,67.1
199907,70.5
199908,69.5
199909,59.8
199910,50.5
199911,42.2
199912,34.6
200001,35.9
200002,38.4
200003,45.6
200004,46.8
200005,61.6
200006,65.7
200007,68.9
200008,68.2
200009,62.6
200010,49.6
200011,42.0
200012,28.6
200101,29.9
200102,41.0
200103,41.1
200104,52.4
200105,57.8
200106,65.6
200107,69.4
200108,68.8
200109,61.2
200110,46.8
200111,44.1
200112,39.1
200201,35.3
200202,33.3
200203,41.6
200204,54.8
200205,58.2
200206,65.9
200207,69.8
200208,68.6
200209,67.7
200210,59.7
200211,39.9
200212,34.1
200301,28.4
200302,37.2
200303,46.9
200304,50.8
200305,61.6
200306,65.7
200307,69.2
200308,69.9
200309,61.6
200310,51.1
200311,45.6
200312,31.6
200401,32.6
200402,36.0
200403,45.4
200404,47.1
200405,61.3
200406,67.9
200407,68.8
200408,65.6
200409,63.9
200410,58.5
200411,48.0
200412,33.4
200501,38.1
200502,40.8
200503,41.7
200504,47.8
200505,55.3
200506,66.9
200507,71.2
200508,71.0
200509,65.2
200510,51.1
200511,42.7
200512,31.3
200601,39.2
200602,34.8
200603,43.0
200604,53.7
200605,58.5
200606,64.7
200607,69.8
200608,71.0
200609,60.7
200610,48.8
200611,39.8
200612,36.9
200701,36.4
200702,32.1
200703,45.4
200704,46.8
200705,57.0
200706,65.8
200707,69.2
200708,71.9
200709,64.5
200710,54.6
200711,39.9
200712,40.6
200801,32.1
200802,36.1
200803,41.2
200804,50.6
200805,58.5
200806,66.8
200807,68.4
200808,68.4
200809,64.2
200810,50.0
200811,37.5
200812,39.1
200901,33.8
200902,34.8
200903,45.6
200904,48.6
200905,62.2
200906,68.0
200907,67.3
200908,68.1
200909,66.6
200910,52.9
200911,41.2
200912,35.5
201001,29.2
201002,30.3
201003,39.7
201004,49.7
201005,62.3
201006,70.1
201007,71.9
201008,72.6
201009,63.1
201010,48.4
201011,42.3
201012,28.9
201101,30.2
201102,37.2
201103,45.6
201104,52.6
201105,56.8
201106,68.5
201107,71.4
201108,69.4
201109,60.9
201110,46.6
201111,43.1
201112,38.4
201201,38.0
201202,41.8
201203,52.8
201204,52.4
201205,61.4
201206,65.3
201207,70.9
201208,68.3
201209,61.9
201210,50.0
201211,37.0
201212,40.0
201301,40.3
201302,37.2
201303,37.2
201304,50.0
201305,56.8
201306,68.2
201307,69.2
201308,68.6
201309,63.8
201310,53.5
201311,40.0
201312,37.6
201401,24.7
201402,35.9
201403,39.6
201404,50.1
201405,58.2
201406,67.9
201407,67.2
201408,67.9
201409,65.7
201410,52.0
201411,35.3
201412,39.8
201501,32.5
201502,30.0
201503,46.8
201504,55.5
201505,60.0
201506,68.2
201507,71.2
201508,68.2
201509,63.6
201510,53.4
201511,49.1
201512,47.0
201601,32.6
201602,38.2
201603,47.9
201604,51.3
201605,58.5
201606,67.5
201607,71.1
201608,71.7
201609,66.3
201610,53.6
201611,42.6
201612,39.6
