#  Arizona Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,28.5
199402,30.3
199403,39.1
199404,43.3
199405,49.8
199406,62.7
199407,66.0
199408,67.5
199409,59.4
199410,45.2
199411,32.7
199412,31.9
199501,32.0
199502,37.8
199503,38.3
199504,40.4
199505,47.3
199506,55.5
199507,64.5
199508,67.5
199509,60.4
199510,46.2
199511,40.1
199512,31.2
199601,29.8
199602,37.3
199603,37.2
199604,43.6
199605,52.9
199606,61.3
199607,68.4
199608,66.2
199609,57.0
199610,46.3
199611,37.4
199612,31.0
199701,31.2
199702,31.3
199703,38.7
199704,42.4
199705,54.6
199706,57.7
199707,64.0
199708,65.8
199709,62.1
199710,45.3
199711,37.3
199712,28.1
199801,31.2
199802,31.5
199803,35.7
199804,38.4
199805,47.3
199806,55.1
199807,66.8
199808,66.6
199809,59.7
199810,45.9
199811,36.3
199812,29.5
199901,30.9
199902,32.8
199903,37.3
199904,39.1
199905,49.4
199906,58.5
199907,66.0
199908,64.5
199909,58.5
199910,47.2
199911,38.5
199912,28.0
200001,31.8
200002,34.6
200003,37.0
200004,45.5
200005,54.2
200006,62.4
200007,66.5
200008,66.1
200009,59.6
200010,47.9
200011,31.2
200012,30.6
200101,28.7
200102,31.5
200103,37.9
200104,42.8
200105,54.0
200106,60.7
200107,66.0
200108,65.1
200109,59.9
200110,49.5
200111,39.7
200112,27.4
200201,28.9
200202,30.4
200203,33.8
200204,46.1
200205,49.6
200206,61.2
200207,68.0
200208,64.8
200209,59.6
200210,46.2
200211,37.5
200212,29.3
200301,34.6
200302,34.1
200303,37.2
200304,40.6
200305,52.0
200306,59.7
200307,68.5
200308,66.8
200309,59.9
200310,52.3
200311,36.3
200312,29.7
200401,30.8
200402,29.8
200403,43.3
200404,44.1
200405,52.0
200406,59.0
200407,65.0
200408,63.7
200409,57.2
200410,46.9
200411,36.1
200412,31.1
200501,34.9
200502,37.0
200503,37.3
200504,41.8
200505,51.8
200506,58.1
200507,66.9
200508,64.2
200509,58.5
200510,48.6
200511,37.7
200512,29.3
200601,29.3
200602,32.1
200603,35.5
200604,43.3
200605,53.0
200606,63.1
200607,68.8
200608,65.0
200609,55.8
200610,46.4
200611,37.9
200612,28.4
200701,26.4
200702,33.4
200703,39.4
200704,44.2
200705,52.5
200706,60.4
200707,68.0
200708,67.5
200709,59.8
200710,47.2
200711,40.5
200712,28.4
200801,28.1
200802,32.1
200803,36.5
200804,41.7
200805,47.8
200806,60.2
200807,67.1
200808,66.1
200809,59.0
200810,46.9
200811,39.2
200812,30.8
200901,32.2
200902,32.7
200903,37.5
200904,41.5
200905,55.4
200906,58.5
200907,68.3
200908,64.3
200909,59.5
200910,44.8
200911,37.8
200912,27.1
201001,30.5
201002,33.1
201003,35.6
201004,41.2
201005,46.9
201006,59.2
201007,68.4
201008,65.8
201009,59.7
201010,49.3
201011,34.2
201012,34.5
201101,27.6
201102,27.8
201103,38.3
201104,43.8
201105,47.7
201106,58.4
201107,66.8
201108,68.1
201109,60.2
201110,47.6
201111,36.4
201112,28.2
201201,31.2
201202,31.9
201203,36.1
201204,44.8
201205,52.6
201206,61.6
201207,66.9
201208,67.2
201209,59.8
201210,48.1
201211,38.6
201212,30.1
201301,25.6
201302,28.8
201303,39.7
201304,44.0
201305,51.6
201306,62.4
201307,68.3
201308,65.4
201309,59.1
201310,43.6
201311,38.5
201312,28.9
201401,31.6
201402,35.7
201403,39.4
201404,43.8
201405,51.0
201406,61.0
201407,67.6
201408,63.6
201409,61.2
201410,50.4
201411,37.3
201412,33.5
201501,33.2
201502,37.8
201503,42.0
201504,43.1
201505,48.6
201506,62.7
201507,65.4
201508,66.9
201509,61.6
201510,52.0
201511,34.8
201512,28.1
201601,29.5
201602,34.5
201603,39.5
201604,43.8
201605,49.6
201606,64.1
201607,67.9
201608,64.4
201609,57.8
201610,51.2
201611,39.8
201612,32.8
