#  Connecticut Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,8.3
199402,12.9
199403,26.1
199404,36.9
199405,44.0
199406,57.9
199407,65.1
199408,58.3
199409,51.5
199410,38.6
199411,34.8
199412,26.2
199501,25.0
199502,15.8
199503,29.6
199504,33.8
199505,44.7
199506,55.5
199507,63.2
199508,57.7
199509,49.0
199510,42.8
199511,29.5
199512,18.4
199601,15.8
199602,18.5
199603,22.6
199604,35.9
199605,43.9
199606,56.7
199607,60.0
199608,59.9
199609,53.2
199610,39.4
199611,28.6
199612,29.1
199701,18.1
199702,25.0
199703,26.7
199704,34.1
199705,43.4
199706,54.0
199707,59.1
199708,58.0
199709,50.9
199710,38.3
199711,30.5
199712,23.9
199801,25.7
199802,26.9
199803,29.6
199804,37.3
199805,49.2
199806,56.0
199807,60.5
199808,60.6
199809,52.9
199810,41.6
199811,31.9
199812,26.8
199901,17.6
199902,22.5
199903,27.3
199904,35.6
199905,46.5
199906,56.7
199907,62.9
199908,59.0
199909,54.5
199910,38.4
199911,35.5
199912,24.9
200001,15.1
200002,22.2
200003,30.8
200004,36.2
200005,46.5
200006,55.2
200007,57.6
200008,58.2
200009,50.2
200010,39.7
200011,32.3
200012,17.4
200101,16.0
200102,20.1
200103,26.3
200104,35.8
200105,46.6
200106,57.0
200107,56.4
200108,62.3
200109,51.0
200110,40.6
200111,34.8
200112,28.4
200201,24.7
200202,23.2
200203,28.2
200204,38.7
200205,43.6
200206,53.8
200207,61.3
200208,60.7
200209,54.1
200210,40.1
200211,31.8
200212,21.8
200301,13.5
200302,14.9
200303,24.1
200304,33.9
200305,44.5
200306,55.1
200307,60.9
200308,63.0
200309,53.9
200310,38.8
200311,34.6
200312,23.8
200401,10.5
200402,18.9
200403,29.0
200404,37.2
200405,48.1
200406,53.9
200407,60.4
200408,60.1
200409,53.6
200410,41.5
200411,32.0
200412,21.6
200501,15.8
200502,19.5
200503,22.5
200504,36.4
200505,42.5
200506,58.5
200507,62.2
200508,62.3
200509,54.1
200510,44.5
200511,32.3
200512,20.3
200601,24.6
200602,20.2
200603,26.3
200604,36.5
200605,47.0
200606,58.0
200607,63.9
200608,59.3
200609,50.9
200610,40.1
200611,37.8
200612,29.1
200701,22.9
200702,14.9
200703,23.8
200704,34.6
200705,46.4
200706,55.2
200707,60.3
200708,59.2
200709,52.5
200710,47.6
200711,30.6
200712,22.7
200801,20.6
200802,21.0
200803,26.7
200804,37.1
200805,43.4
200806,57.8
200807,63.2
200808,56.8
200809,53.4
200810,38.7
200811,32.1
200812,23.3
200901,12.0
200902,20.2
200903,26.5
200904,37.9
200905,46.9
200906,55.2
200907,58.6
200908,61.9
200909,50.2
200910,40.2
200911,37.9
200912,22.1
201001,19.0
201002,23.2
201003,33.5
201004,39.5
201005,48.4
201006,58.2
201007,64.1
201008,60.4
201009,55.1
201010,42.8
201011,32.7
201012,20.5
201101,13.9
201102,15.9
201103,27.6
201104,39.2
201105,49.7
201106,56.6
201107,63.2
201108,61.0
201109,57.3
201110,44.0
201111,35.6
201112,27.6
201201,22.7
201202,25.5
201203,35.2
201204,37.9
201205,51.9
201206,55.8
201207,63.2
201208,61.5
201209,53.1
201210,45.8
201211,30.7
201212,28.5
201301,20.2
201302,21.5
201303,28.0
201304,36.0
201305,46.0
201306,57.3
201307,67.1
201308,58.5
201309,50.3
201310,42.4
201311,29.8
201312,22.7
201401,14.2
201402,15.3
201403,20.3
201404,35.1
201405,47.3
201406,55.9
201407,62.1
201408,57.6
201409,52.7
201410,44.8
201411,30.7
201412,28.6
201501,14.2
201502,4.4
201503,21.1
201504,35.8
201505,49.8
201506,55.2
201507,61.6
201508,60.9
201509,55.8
201510,40.1
201511,36.1
201512,35.5
201601,20.9
201602,21.3
201603,32.7
201604,35.4
201605,47.5
201606,56.0
201607,63.2
201608,63.2
201609,55.7
201610,42.9
201611,33.3
201612,24.0
