#  Delaware Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,19.6
199402,24.4
199403,33.1
199404,45.8
199405,47.7
199406,63.7
199407,68.8
199408,62.2
199409,55.2
199410,42.8
199411,40.6
199412,32.5
199501,30.8
199502,23.4
199503,34.8
199504,41.1
199505,51.4
199506,61.6
199507,68.1
199508,65.5
199509,57.5
199510,48.2
199511,33.0
199512,25.1
199601,24.0
199602,25.9
199603,29.8
199604,42.9
199605,50.9
199606,62.4
199607,65.2
199608,63.1
199609,58.4
199610,46.0
199611,32.2
199612,33.3
199701,25.4
199702,31.6
199703,35.3
199704,40.4
199705,48.3
199706,58.3
199707,65.2
199708,62.7
199709,56.6
199710,45.9
199711,36.9
199712,30.2
199801,33.1
199802,33.3
199803,36.5
199804,44.1
199805,54.6
199806,61.6
199807,65.4
199808,64.6
199809,60.1
199810,46.7
199811,35.6
199812,32.4
199901,27.7
199902,28.6
199903,31.8
199904,41.4
199905,51.6
199906,60.9
199907,68.4
199908,65.9
199909,59.8
199910,44.4
199911,41.1
199912,31.4
200001,23.8
200002,28.9
200003,37.6
200004,42.6
200005,54.0
200006,63.0
200007,63.7
200008,64.2
200009,56.3
200010,45.6
200011,34.4
200012,22.3
200101,24.7
200102,28.9
200103,31.7
200104,42.3
200105,52.3
200106,63.6
200107,62.5
200108,66.9
200109,55.6
200110,45.2
200111,39.1
200112,34.9
200201,31.4
200202,29.6
200203,35.9
200204,45.8
200205,51.0
200206,62.0
200207,66.7
200208,67.1
200209,59.6
200210,49.4
200211,36.8
200212,27.3
200301,21.9
200302,24.1
200303,34.2
200304,41.8
200305,50.1
200306,60.7
200307,67.0
200308,67.4
200309,60.1
200310,44.8
200311,41.2
200312,28.9
200401,20.8
200402,26.8
200403,36.6
200404,44.4
200405,59.2
200406,61.4
200407,67.0
200408,65.0
200409,59.9
200410,46.8
200411,39.0
200412,29.4
200501,25.8
200502,27.6
200503,31.4
200504,42.6
200505,47.4
200506,63.1
200507,68.6
200508,68.4
200509,60.2
200510,49.9
200511,39.1
200512,27.1
200601,32.6
200602,27.5
200603,33.7
200604,44.3
200605,51.3
200606,62.7
200607,68.7
200608,66.9
200609,57.0
200610,45.9
200611,42.1
200612,33.5
200701,31.1
200702,21.5
200703,33.6
200704,40.8
200705,52.1
200706,62.5
200707,65.6
200708,66.4
200709,58.6
200710,53.7
200711,36.7
200712,31.1
200801,27.8
200802,28.4
200803,34.9
200804,44.9
200805,49.7
200806,64.1
200807,66.9
200808,62.1
200809,59.7
200810,45.1
200811,37.3
200812,30.9
200901,22.5
200902,28.2
200903,33.1
200904,44.0
200905,53.9
200906,62.0
200907,64.4
200908,67.9
200909,58.2
200910,46.6
200911,42.3
200912,29.0
201001,25.5
201002,24.4
201003,38.3
201004,45.2
201005,55.2
201006,66.6
201007,69.5
201008,67.1
201009,60.3
201010,48.5
201011,37.4
201012,24.2
201101,22.8
201102,27.8
201103,34.2
201104,46.6
201105,55.8
201106,63.3
201107,69.6
201108,65.4
201109,62.6
201110,47.2
201111,40.3
201112,33.1
201201,29.2
201202,31.3
201203,41.8
201204,43.3
201205,57.7
201206,61.5
201207,70.7
201208,67.7
201209,57.8
201210,49.9
201211,34.0
201212,35.8
201301,28.8
201302,27.9
201303,31.9
201304,43.5
201305,53.8
201306,64.0
201307,70.6
201308,64.4
201309,55.7
201310,49.8
201311,35.1
201312,31.4
201401,19.7
201402,25.0
201403,29.2
201404,41.9
201405,54.2
201406,62.3
201407,65.8
201408,62.5
201409,59.5
201410,49.7
201411,34.9
201412,33.6
201501,24.0
201502,16.5
201503,29.6
201504,43.1
201505,56.8
201506,64.7
201507,67.8
201508,64.5
201509,62.2
201510,46.1
201511,41.3
201512,42.2
201601,25.0
201602,29.6
201603,39.2
201604,41.7
201605,52.6
201606,62.2
201607,70.1
201608,68.5
201609,63.2
201610,50.1
201611,38.0
201612,30.3
