#  Florida Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,46.1
199402,53.3
199403,54.2
199404,60.9
199405,64.3
199406,71.1
199407,71.2
199408,71.1
199409,69.3
199410,64.4
199411,59.9
199412,52.5
199501,45.4
199502,47.1
199503,56.0
199504,59.2
199505,67.3
199506,69.7
199507,72.4
199508,73.8
199509,70.8
199510,66.1
199511,51.1
199512,46.4
199601,44.3
199602,46.0
199603,49.3
199604,55.8
199605,66.0
199606,69.3
199607,72.8
199608,71.2
199609,69.3
199610,62.3
199611,53.8
199612,48.3
199701,47.9
199702,53.0
199703,59.4
199704,56.9
199705,64.0
199706,69.3
199707,72.2
199708,71.8
199709,69.8
199710,61.5
199711,53.1
199712,49.2
199801,50.4
199802,49.5
199803,51.2
199804,58.6
199805,65.5
199806,72.4
199807,73.8
199808,73.2
199809,72.7
199810,65.2
199811,59.5
199812,54.2
199901,48.6
199902,49.6
199903,48.9
199904,60.4
199905,62.7
199906,70.2
199907,72.6
199908,73.5
199909,69.4
199910,63.7
199911,54.4
199912,47.6
200001,46.5
200002,47.6
200003,55.2
200004,55.1
200005,64.9
200006,69.5
200007,72.1
200008,71.7
200009,70.7
200010,59.3
200011,51.5
200012,45.0
200101,39.7
200102,53.6
200103,53.2
200104,57.5
200105,62.5
200106,69.9
200107,72.4
200108,72.1
200109,68.8
200110,61.3
200111,56.9
200112,53.6
200201,48.1
200202,47.7
200203,54.2
200204,62.6
200205,65.1
200206,70.5
200207,72.3
200208,71.8
200209,72.7
200210,66.9
200211,51.7
200212,45.9
200301,39.3
200302,49.4
200303,60.1
200304,57.9
200305,67.8
200306,71.5
200307,72.4
200308,72.7
200309,70.0
200310,63.6
200311,57.9
200312,43.8
200401,44.4
200402,49.2
200403,53.7
200404,54.6
200405,64.8
200406,71.2
200407,72.0
200408,72.6
200409,72.0
200410,65.0
200411,56.8
200412,46.9
200501,49.2
200502,49.8
200503,52.1
200504,54.2
200505,63.5
200506,71.8
200507,74.7
200508,74.4
200509,71.6
200510,64.2
200511,56.7
200512,46.0
200601,49.1
200602,46.1
200603,52.1
200604,60.2
200605,63.4
200606,70.0
200607,72.2
200608,73.3
200609,69.7
200610,60.5
200611,52.4
200612,54.4
200701,51.4
200702,46.2
200703,54.0
200704,55.9
200705,63.0
200706,69.8
200707,72.8
200708,74.1
200709,71.3
200710,67.8
200711,53.1
200712,53.4
200801,47.3
200802,50.9
200803,52.8
200804,57.9
200805,65.0
200806,70.4
200807,72.0
200808,73.2
200809,70.8
200810,61.2
200811,49.5
200812,50.8
200901,45.0
200902,44.3
200903,53.1
200904,57.6
200905,66.5
200906,72.0
200907,72.5
200908,73.2
200909,71.8
200910,65.4
200911,55.6
200912,50.9
201001,40.9
201002,41.8
201003,47.4
201004,57.9
201005,68.4
201006,73.0
201007,74.4
201008,75.1
201009,71.2
201010,59.6
201011,52.8
201012,37.1
201101,43.3
201102,50.2
201103,53.9
201104,60.2
201105,63.7
201106,70.7
201107,73.3
201108,74.1
201109,70.1
201110,59.8
201111,55.6
201112,52.0
201201,46.5
201202,54.1
201203,58.8
201204,59.0
201205,66.5
201206,70.3
201207,72.8
201208,73.0
201209,70.5
201210,63.7
201211,50.5
201212,50.7
201301,53.2
201302,50.3
201303,46.3
201304,60.3
201305,63.0
201306,72.3
201307,72.7
201308,73.5
201309,71.1
201310,64.0
201311,57.7
201312,54.5
201401,43.5
201402,51.8
201403,52.2
201404,59.4
201405,65.0
201406,70.3
201407,72.5
201408,73.3
201409,71.2
201410,61.3
201411,49.6
201412,51.3
201501,48.1
201502,45.3
201503,58.9
201504,65.4
201505,66.4
201506,71.7
201507,73.4
201508,73.3
201509,71.6
201510,65.0
201511,63.1
201512,60.8
201601,47.2
201602,47.9
201603,58.2
201604,60.0
201605,64.9
201606,72.2
201607,74.2
201608,74.1
201609,72.1
201610,64.4
201611,54.6
201612,55.6
