#  Idaho Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,21.2
199402,15.8
199403,24.5
199404,32.0
199405,39.7
199406,43.2
199407,50.5
199408,50.0
199409,42.6
199410,31.7
199411,17.5
199412,17.4
199501,19.6
199502,23.5
199503,24.2
199504,28.8
199505,37.0
199506,42.3
199507,48.5
199508,46.0
199509,41.6
199510,29.6
199511,28.1
199512,19.4
199601,16.3
199602,17.2
199603,24.2
199604,30.1
199605,35.7
199606,43.1
199607,50.3
199608,47.6
199609,38.4
199610,31.4
199611,24.8
199612,18.8
199701,16.4
199702,17.4
199703,23.7
199704,27.5
199705,38.5
199706,44.6
199707,48.2
199708,49.5
199709,43.8
199710,31.5
199711,24.5
199712,15.2
199801,20.7
199802,20.8
199803,24.0
199804,29.7
199805,37.4
199806,41.6
199807,53.3
199808,50.3
199809,46.4
199810,31.2
199811,27.5
199812,15.0
199901,19.9
199902,18.4
199903,22.5
199904,26.9
199905,34.1
199906,42.6
199907,46.8
199908,49.8
199909,38.0
199910,31.7
199911,28.4
199912,18.3
200001,18.4
200002,23.7
200003,23.3
200004,32.4
200005,38.1
200006,43.5
200007,50.0
200008,49.4
200009,39.9
200010,33.0
200011,16.9
200012,16.3
200101,14.1
200102,15.8
200103,25.8
200104,28.8
200105,37.8
200106,43.0
200107,50.8
200108,51.0
200109,43.3
200110,32.4
200111,27.0
200112,14.5
200201,16.0
200202,13.0
200203,20.0
200204,29.6
200205,35.7
200206,44.6
200207,52.8
200208,46.0
200209,41.2
200210,27.8
200211,23.1
200212,21.9
200301,24.2
200302,17.6
200303,26.7
200304,30.0
200305,37.0
200306,44.1
200307,53.2
200308,51.6
200309,41.4
200310,35.1
200311,19.4
200312,21.1
200401,15.1
200402,17.5
200403,27.2
200404,31.8
200405,37.2
200406,44.2
200407,50.7
200408,48.9
200409,40.4
200410,33.8
200411,23.8
200412,21.2
200501,18.5
200502,17.0
200503,25.0
200504,29.9
200505,38.2
200506,41.5
200507,50.2
200508,48.2
200509,38.9
200510,33.6
200511,23.1
200512,15.2
200601,20.7
200602,13.9
200603,22.6
200604,31.5
200605,37.6
200606,46.1
200607,53.7
200608,47.1
200609,40.1
200610,31.0
200611,24.5
200612,16.6
200701,10.6
200702,22.1
200703,27.2
200704,30.7
200705,37.6
200706,44.4
200707,55.4
200708,49.0
200709,40.4
200710,32.3
200711,23.3
200712,16.4
200801,11.2
200802,18.5
200803,19.9
200804,23.6
200805,36.1
200806,42.2
200807,49.9
200808,48.5
200809,39.7
200810,31.9
200811,28.4
200812,14.2
200901,16.3
200902,17.6
200903,21.3
200904,29.1
200905,37.0
200906,44.1
200907,50.0
200908,48.7
200909,43.9
200910,29.3
200911,22.9
200912,11.5
201001,20.7
201002,19.9
201003,24.1
201004,28.3
201005,32.9
201006,43.4
201007,48.1
201008,47.1
201009,41.2
201010,35.6
201011,22.1
201012,19.6
201101,16.0
201102,15.0
201103,24.6
201104,26.0
201105,34.4
201106,41.1
201107,48.3
201108,49.7
201109,43.4
201110,34.7
201111,21.1
201112,15.0
201201,17.7
201202,18.8
201203,26.3
201204,31.6
201205,35.8
201206,42.1
201207,52.6
201208,50.3
201209,42.0
201210,31.3
201211,27.6
201212,18.9
201301,11.3
201302,18.4
201303,23.8
201304,28.3
201305,37.6
201306,44.6
201307,53.0
201308,51.4
201309,45.0
201310,30.0
201311,24.2
201312,12.4
201401,18.7
201402,19.8
201403,25.6
201404,29.3
201405,37.8
201406,42.9
201407,53.2
201408,50.1
201409,43.4
201410,36.0
201411,21.8
201412,22.0
201501,20.7
201502,25.6
201503,28.1
201504,29.4
201505,39.8
201506,49.5
201507,50.6
201508,50.2
201509,42.5
201510,38.7
201511,21.0
201512,17.1
201601,18.4
201602,22.5
201603,27.4
201604,34.2
201605,38.2
201606,45.9
201607,49.0
201608,48.2
201609,41.5
201610,36.0
201611,29.2
201612,10.7
