#  Illinois Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,12.2
199402,18.1
199403,30.4
199404,41.3
199405,48.0
199406,62.3
199407,63.2
199408,59.2
199409,53.7
199410,45.1
199411,37.1
199412,28.3
199501,18.9
199502,20.3
199503,32.8
199504,38.7
199505,50.3
199506,61.2
199507,65.7
199508,68.7
199509,51.2
199510,42.8
199511,26.1
199512,19.9
199601,15.6
199602,20.6
199603,24.0
199604,36.6
199605,51.8
199606,61.4
199607,61.6
199608,62.6
199609,52.9
199610,42.9
199611,27.5
199612,22.9
199701,12.2
199702,26.7
199703,32.4
199704,36.2
199705,46.1
199706,60.6
199707,64.0
199708,60.8
199709,54.6
199710,43.3
199711,31.4
199712,26.3
199801,25.3
199802,33.2
199803,32.9
199804,42.5
199805,57.0
199806,62.0
199807,65.8
199808,64.7
199809,59.0
199810,45.4
199811,36.2
199812,26.1
199901,16.8
199902,29.1
199903,28.0
199904,44.5
199905,52.8
199906,62.1
199907,68.0
199908,60.2
199909,50.6
199910,41.2
199911,36.1
199912,24.0
200001,18.6
200002,28.4
200003,34.8
200004,39.3
200005,54.3
200006,60.1
200007,63.4
200008,64.2
200009,54.0
200010,46.3
200011,30.7
200012,9.3
200101,18.0
200102,22.2
200103,27.4
200104,45.5
200105,53.6
200106,59.3
200107,65.3
200108,63.7
200109,52.5
200110,43.1
200111,38.7
200112,27.9
200201,24.6
200202,25.5
200203,27.9
200204,42.7
200205,48.2
200206,63.1
200207,67.3
200208,64.4
200209,56.5
200210,42.2
200211,30.8
200212,23.5
200301,14.3
200302,18.0
200303,30.4
200304,41.6
200305,50.4
200306,56.8
200307,64.1
200308,64.0
200309,52.2
200310,42.1
200311,35.7
200312,26.2
200401,16.6
200402,21.2
200403,35.7
200404,42.2
200405,55.2
200406,59.5
200407,63.1
200408,57.6
200409,54.6
200410,44.9
200411,37.7
200412,22.5
200501,21.8
200502,28.3
200503,29.0
200504,43.4
200505,48.4
200506,63.4
200507,65.1
200508,64.8
200509,58.5
200510,44.3
200511,34.4
200512,19.1
200601,30.6
200602,20.7
200603,32.3
200604,44.4
200605,52.0
200606,60.2
200607,66.6
200608,64.7
200609,52.9
200610,40.4
200611,35.2
200612,27.0
200701,22.7
200702,13.5
200703,37.5
200704,38.8
200705,55.7
200706,61.5
200707,62.1
200708,67.1
200709,56.5
200710,48.4
200711,32.0
200712,23.0
200801,17.2
200802,18.4
200803,29.5
200804,40.9
200805,47.9
200806,62.5
200807,64.1
200808,60.8
200809,56.4
200810,42.8
200811,32.0
200812,17.0
200901,11.9
200902,22.8
200903,32.8
200904,40.7
200905,52.0
200906,62.3
200907,60.8
200908,60.7
200909,55.4
200910,41.7
200911,37.9
200912,22.2
201001,14.8
201002,18.0
201003,34.1
201004,46.1
201005,53.9
201006,64.8
201007,67.6
201008,65.6
201009,55.4
201010,42.4
201011,32.6
201012,16.8
201101,15.2
201102,22.0
201103,32.6
201104,42.5
201105,51.8
201106,62.8
201107,69.7
201108,63.2
201109,52.7
201110,42.5
201111,37.2
201112,28.4
201201,22.7
201202,27.1
201203,44.2
201204,42.4
201205,55.7
201206,59.8
201207,69.2
201208,60.3
201209,52.9
201210,41.9
201211,30.8
201212,29.0
201301,20.0
201302,21.8
201303,26.4
201304,39.3
201305,53.1
201306,61.4
201307,63.2
201308,61.8
201309,56.1
201310,43.3
201311,29.1
201312,17.4
201401,9.2
201402,9.9
201403,23.4
201404,40.8
201405,52.9
201406,63.2
201407,59.6
201408,64.3
201409,53.1
201410,44.0
201411,25.7
201412,27.9
201501,17.6
201502,9.8
201503,27.7
201504,42.3
201505,54.5
201506,62.5
201507,64.8
201508,61.3
201509,58.8
201510,44.6
201511,36.8
201512,33.9
201601,19.0
201602,25.4
201603,37.6
201604,41.6
201605,51.5
201606,63.3
201607,66.4
201608,66.5
201609,60.1
201610,49.2
201611,37.7
201612,21.8
