#  Kansas Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,17.5
199402,17.2
199403,32.2
199404,39.7
199405,51.8
199406,64.0
199407,62.9
199408,63.6
199409,54.5
199410,44.9
199411,32.8
199412,25.6
199501,20.0
199502,25.8
199503,31.9
199504,37.7
199505,47.5
199506,58.6
199507,64.9
199508,67.8
199509,53.8
199510,41.0
199511,27.2
199512,21.6
199601,14.1
199602,20.7
199603,23.7
199604,38.0
199605,53.7
199606,61.9
199607,65.0
199608,64.0
199609,53.5
199610,43.4
199611,28.0
199612,19.4
199701,16.1
199702,24.8
199703,31.3
199704,36.5
199705,47.0
199706,60.2
199707,65.8
199708,63.8
199709,57.6
199710,44.6
199711,29.3
199712,24.6
199801,23.1
199802,30.1
199803,28.4
199804,39.6
199805,54.5
199806,59.7
199807,68.5
199808,65.5
199809,60.9
199810,46.2
199811,36.4
199812,22.6
199901,20.6
199902,29.2
199903,31.0
199904,42.0
199905,50.7
199906,60.1
199907,68.5
199908,64.8
199909,53.1
199910,40.9
199911,34.6
199912,24.8
200001,21.1
200002,27.3
200003,35.0
200004,39.2
200005,53.4
200006,59.5
200007,66.6
200008,68.7
200009,55.2
200010,47.7
200011,25.6
200012,13.7
200101,20.1
200102,20.6
200103,30.3
200104,44.9
200105,52.7
200106,60.5
200107,70.1
200108,65.3
200109,54.8
200110,42.0
200111,36.5
200112,23.5
200201,20.2
200202,22.9
200203,24.4
200204,42.8
200205,49.0
200206,64.2
200207,67.6
200208,66.1
200209,56.8
200210,40.3
200211,30.0
200212,23.4
200301,19.3
200302,19.6
200303,31.6
200304,42.8
200305,50.3
200306,58.7
200307,67.5
200308,66.7
200309,52.0
200310,43.9
200311,31.1
200312,24.0
200401,18.5
200402,20.2
200403,36.8
200404,41.9
200405,53.5
200406,59.2
200407,63.9
200408,60.4
200409,57.0
200410,46.4
200411,35.0
200412,22.7
200501,20.7
200502,28.1
200503,31.7
200504,42.3
200505,50.6
200506,62.4
200507,65.4
200508,65.4
200509,59.1
200510,44.7
200511,32.2
200512,19.7
200601,27.1
200602,19.9
200603,32.9
200604,44.3
200605,52.7
200606,61.9
200607,67.6
200608,66.8
200609,51.2
200610,42.4
200611,30.8
200612,24.5
200701,17.3
200702,19.7
200703,40.1
200704,39.3
200705,54.8
200706,61.0
200707,66.3
200708,69.6
200709,57.3
200710,45.3
200711,29.2
200712,19.6
200801,17.9
200802,20.7
200803,29.9
200804,37.7
200805,49.7
200806,61.0
200807,66.0
200808,64.2
200809,54.6
200810,42.9
200811,32.5
200812,17.6
200901,18.0
200902,24.4
200903,30.6
200904,39.1
200905,51.0
200906,62.4
200907,63.2
200908,62.2
200909,54.0
200910,38.8
200911,35.6
200912,16.3
201001,17.6
201002,21.0
201003,32.9
201004,44.7
201005,50.2
201006,64.8
201007,68.2
201008,66.4
201009,57.1
201010,44.0
201011,30.4
201012,20.6
201101,15.2
201102,17.0
201103,32.0
201104,41.2
201105,49.3
201106,63.0
201107,71.1
201108,67.5
201109,51.8
201110,42.9
201111,31.0
201112,23.0
201201,22.5
201202,25.6
201203,41.8
201204,46.7
201205,54.7
201206,63.0
201207,69.7
201208,61.7
201209,53.6
201210,40.4
201211,30.7
201212,22.2
201301,20.2
201302,21.6
201303,27.8
201304,35.8
201305,50.2
201306,61.6
201307,64.8
201308,65.4
201309,58.8
201310,42.0
201311,29.0
201312,16.8
201401,16.0
201402,17.0
201403,26.1
201404,39.6
201405,50.5
201406,62.1
201407,63.0
201408,65.2
201409,55.6
201410,45.1
201411,25.1
201412,26.1
201501,19.4
201502,18.4
201503,31.8
201504,43.1
201505,51.1
201506,63.8
201507,67.0
201508,62.6
201509,61.3
201510,46.4
201511,34.5
201512,27.1
201601,21.2
201602,27.3
201603,34.5
201604,43.1
201605,49.7
201606,64.4
201607,68.0
201608,65.2
201609,58.3
201610,47.0
201611,36.0
201612,17.6
