#  Kentucky Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,18.6
199402,26.7
199403,33.4
199404,44.9
199405,47.1
199406,63.1
199407,65.5
199408,61.2
199409,53.2
199410,44.0
199411,39.3
199412,31.8
199501,26.8
199502,24.4
199503,35.9
199504,42.6
199505,52.6
199506,61.0
199507,65.4
199508,68.2
199509,54.4
199510,44.7
199511,29.9
199512,24.8
199601,23.4
199602,26.2
199603,28.9
199604,39.7
199605,55.4
199606,61.6
199607,63.2
199608,63.3
199609,55.1
199610,44.9
199611,31.8
199612,31.0
199701,22.6
199702,32.8
199703,36.9
199704,37.2
199705,46.8
199706,61.2
199707,64.7
199708,62.1
199709,54.9
199710,43.5
199711,33.6
199712,28.8
199801,33.2
199802,34.1
199803,37.0
199804,43.2
199805,56.8
199806,63.0
199807,66.5
199808,63.9
199809,58.9
199810,46.0
199811,36.6
199812,31.4
199901,27.7
199902,30.8
199903,30.6
199904,46.8
199905,51.4
199906,62.5
199907,68.1
199908,61.7
199909,52.0
199910,43.0
199911,38.7
199912,28.5
200001,24.3
200002,32.2
200003,37.4
200004,41.7
200005,55.1
200006,62.0
200007,63.7
200008,63.9
200009,56.0
200010,45.8
200011,34.0
200012,18.0
200101,22.3
200102,31.1
200103,30.9
200104,47.4
200105,54.1
200106,59.4
200107,65.0
200108,66.2
200109,54.3
200110,42.7
200111,37.0
200112,32.0
200201,27.6
200202,27.3
200203,34.1
200204,46.3
200205,50.0
200206,63.0
200207,67.8
200208,65.6
200209,59.5
200210,48.9
200211,34.5
200212,28.7
200301,19.8
200302,26.2
200303,36.7
200304,45.5
200305,54.4
200306,57.7
200307,64.9
200308,65.6
200309,55.0
200310,44.4
200311,39.8
200312,28.2
200401,22.6
200402,26.5
200403,38.1
200404,44.0
200405,58.3
200406,61.6
200407,64.2
200408,60.4
200409,57.2
200410,49.2
200411,41.2
200412,26.5
200501,31.1
200502,31.4
200503,31.9
200504,44.6
200505,48.3
200506,62.4
200507,67.4
200508,66.9
200509,58.8
200510,46.2
200511,35.6
200512,24.8
200601,32.9
200602,26.2
200603,35.1
200604,47.7
200605,51.1
200606,59.7
200607,65.7
200608,67.0
200609,54.9
200610,43.2
200611,36.4
200612,30.6
200701,29.4
200702,20.1
200703,40.7
200704,41.5
200705,54.1
200706,61.0
200707,63.1
200708,68.0
200709,58.5
200710,50.1
200711,34.3
200712,31.8
200801,23.8
200802,28.5
200803,34.3
200804,43.4
200805,49.8
200806,62.6
200807,63.5
200808,61.8
200809,58.2
200810,43.3
200811,32.1
200812,26.4
200901,21.0
200902,27.8
200903,37.0
200904,43.9
200905,54.4
200906,63.0
200907,62.0
200908,63.2
200909,59.6
200910,43.7
200911,37.6
200912,27.3
201001,22.1
201002,22.8
201003,35.9
201004,45.8
201005,56.5
201006,66.2
201007,67.6
201008,66.6
201009,56.0
201010,43.2
201011,34.6
201012,21.8
201101,22.0
201102,28.6
201103,37.9
201104,46.9
201105,53.7
201106,63.1
201107,69.1
201108,64.0
201109,56.8
201110,43.1
201111,39.1
201112,31.6
201201,28.2
201202,31.1
201203,45.6
201204,44.3
201205,57.4
201206,58.8
201207,68.9
201208,62.5
201209,56.2
201210,44.2
201211,30.2
201212,34.3
201301,27.9
201302,26.6
201303,30.0
201304,42.8
201305,53.7
201306,62.3
201307,64.3
201308,63.9
201309,57.7
201310,46.7
201311,31.3
201312,28.3
201401,15.6
201402,23.4
201403,28.9
201404,44.0
201405,54.0
201406,63.6
201407,61.2
201408,64.6
201409,56.8
201410,46.7
201411,29.6
201412,32.4
201501,22.9
201502,16.0
201503,33.1
201504,45.2
201505,55.2
201506,63.9
201507,67.1
201508,61.8
201509,58.2
201510,46.1
201511,39.9
201512,39.3
201601,21.8
201602,29.6
201603,40.4
201604,44.2
201605,52.0
201606,63.2
201607,68.0
201608,68.4
201609,59.6
201610,49.9
201611,36.8
201612,27.8
