#  Louisiana Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,37.2
199402,42.5
199403,47.4
199404,56.3
199405,62.1
199406,71.4
199407,71.4
199408,70.2
199409,64.4
199410,58.4
199411,52.3
199412,43.7
199501,40.5
199502,42.0
199503,51.2
199504,55.3
199505,65.4
199506,67.4
199507,73.0
199508,73.6
199509,65.2
199510,54.3
199511,44.1
199512,40.8
199601,37.0
199602,42.2
199603,42.4
199604,52.5
199605,66.5
199606,69.0
199607,72.6
199608,70.9
199609,65.5
199610,55.8
199611,48.6
199612,43.9
199701,40.2
199702,45.0
199703,53.2
199704,51.6
199705,62.0
199706,69.2
199707,72.8
199708,71.1
199709,66.7
199710,55.4
199711,44.8
199712,38.6
199801,44.1
199802,42.8
199803,47.1
199804,53.0
199805,66.0
199806,73.4
199807,74.9
199808,73.2
199809,71.7
199810,59.0
199811,52.1
199812,44.6
199901,42.8
199902,46.5
199903,47.2
199904,60.0
199905,62.4
199906,70.6
199907,72.8
199908,73.2
199909,63.4
199910,53.6
199911,45.6
199912,38.6
200001,41.8
200002,45.4
200003,52.1
200004,53.3
200005,66.8
200006,70.1
200007,72.1
200008,72.2
200009,65.8
200010,54.4
200011,45.5
200012,33.8
200101,35.7
200102,46.0
200103,45.1
200104,59.6
200105,63.1
200106,69.0
200107,72.9
200108,72.5
200109,65.8
200110,51.8
200111,49.3
200112,43.6
200201,40.7
200202,37.7
200203,46.9
200204,59.8
200205,63.2
200206,69.2
200207,72.6
200208,72.0
200209,69.6
200210,61.6
200211,45.0
200212,40.4
200301,34.7
200302,41.6
200303,48.2
200304,55.2
200305,66.6
200306,70.6
200307,72.2
200308,72.9
200309,65.7
200310,55.8
200311,50.2
200312,37.3
200401,39.8
200402,40.0
200403,52.2
200404,54.7
200405,64.4
200406,70.7
200407,72.0
200408,69.1
200409,66.9
200410,64.8
200411,52.9
200412,38.3
200501,44.7
200502,47.1
200503,47.1
200504,53.8
200505,60.8
200506,69.7
200507,73.0
200508,72.7
200509,69.9
200510,53.9
200511,49.0
200512,37.4
200601,43.8
200602,39.8
200603,50.9
200604,59.7
200605,63.2
200606,68.7
200607,72.5
200608,73.4
200609,64.4
200610,56.3
200611,45.7
200612,41.8
200701,41.0
200702,39.5
200703,51.4
200704,52.9
200705,63.6
200706,70.4
200707,71.9
200708,73.8
200709,68.9
200710,57.5
200711,48.7
200712,44.6
200801,38.4
200802,43.0
200803,48.1
200804,55.4
200805,63.8
200806,71.3
200807,72.2
200808,72.2
200809,66.2
200810,53.5
200811,44.6
200812,41.6
200901,39.0
200902,44.0
200903,49.6
200904,54.4
200905,65.1
200906,70.9
200907,72.7
200908,71.5
200909,68.9
200910,57.1
200911,47.2
200912,39.5
201001,35.2
201002,35.8
201003,43.4
201004,55.8
201005,66.7
201006,74.0
201007,74.6
201008,75.5
201009,68.4
201010,53.6
201011,47.6
201012,36.6
201101,36.7
201102,41.4
201103,50.4
201104,58.9
201105,62.6
201106,72.7
201107,74.6
201108,75.1
201109,64.4
201110,51.2
201111,48.1
201112,41.5
201201,43.9
201202,47.6
201203,57.3
201204,58.6
201205,65.6
201206,70.1
201207,73.2
201208,72.8
201209,67.2
201210,53.8
201211,43.8
201212,44.3
201301,43.5
201302,44.2
201303,43.0
201304,53.8
201305,61.7
201306,71.6
201307,71.0
201308,72.0
201309,68.9
201310,58.3
201311,44.5
201312,39.9
201401,31.0
201402,40.4
201403,43.6
201404,54.8
201405,61.4
201406,71.3
201407,70.6
201408,72.1
201409,68.7
201410,57.0
201411,41.7
201412,44.4
201501,36.5
201502,36.7
201503,50.5
201504,60.9
201505,65.5
201506,71.5
201507,74.6
201508,71.7
201509,67.7
201510,57.9
201511,53.5
201512,49.2
201601,38.5
201602,43.4
201603,53.7
201604,58.5
201605,63.7
201606,72.1
201607,74.4
201608,74.2
201609,70.5
201610,58.6
201611,50.3
201612,45.8
