#  Maryland Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,17.7
199402,23.2
199403,31.9
199404,45.6
199405,47.5
199406,63.0
199407,67.6
199408,61.6
199409,54.9
199410,42.6
199411,39.3
199412,31.6
199501,29.3
199502,22.4
199503,34.5
199504,40.3
199505,51.1
199506,61.5
199507,67.4
199508,65.4
199509,56.1
199510,47.0
199511,31.7
199512,24.4
199601,22.2
199602,25.5
199603,28.6
199604,42.1
199605,50.5
199606,61.9
199607,64.1
199608,62.5
199609,57.9
199610,45.3
199611,31.6
199612,31.6
199701,24.3
199702,30.6
199703,34.6
199704,39.2
199705,46.9
199706,58.2
199707,64.5
199708,61.6
199709,55.5
199710,44.7
199711,35.3
199712,29.2
199801,32.1
199802,32.3
199803,35.4
199804,43.5
199805,55.1
199806,61.0
199807,64.7
199808,64.0
199809,59.8
199810,46.2
199811,35.3
199812,32.1
199901,26.2
199902,27.6
199903,30.8
199904,41.5
199905,51.0
199906,60.3
199907,67.6
199908,64.2
199909,57.8
199910,43.2
199911,40.2
199912,29.9
200001,23.0
200002,28.1
200003,36.7
200004,42.4
200005,53.7
200006,62.4
200007,62.5
200008,63.4
200009,55.7
200010,45.1
200011,33.3
200012,20.5
200101,23.7
200102,28.1
200103,30.9
200104,42.6
200105,51.3
200106,62.0
200107,61.6
200108,66.2
200109,54.4
200110,43.8
200111,38.5
200112,33.1
200201,29.7
200202,28.2
200203,34.5
200204,44.8
200205,50.1
200206,61.6
200207,66.6
200208,66.1
200209,58.5
200210,48.0
200211,35.9
200212,25.8
200301,21.0
200302,23.2
200303,33.2
200304,41.7
200305,51.1
200306,60.2
200307,66.2
200308,67.1
200309,58.9
200310,43.7
200311,40.4
200312,28.1
200401,19.9
200402,24.8
200403,35.4
200404,44.3
200405,58.8
200406,60.9
200407,66.4
200408,64.2
200409,59.3
200410,46.3
200411,38.8
200412,28.2
200501,25.6
200502,26.9
200503,30.7
200504,42.8
200505,47.5
200506,62.5
200507,68.1
200508,67.4
200509,59.1
200510,49.0
200511,37.2
200512,25.4
200601,31.7
200602,26.6
200603,33.5
200604,44.0
200605,50.2
200606,61.4
200607,67.8
200608,66.3
200609,56.3
200610,44.7
200611,40.0
200612,32.3
200701,29.7
200702,19.8
200703,33.1
200704,40.7
200705,52.1
200706,61.6
200707,64.3
200708,66.0
200709,57.7
200710,52.3
200711,36.0
200712,30.4
200801,26.7
200802,27.2
200803,33.8
200804,44.9
200805,48.8
200806,63.0
200807,65.6
200808,61.6
200809,58.8
200810,43.8
200811,35.9
200812,29.3
200901,21.2
200902,26.6
200903,32.9
200904,43.3
200905,53.3
200906,61.4
200907,63.2
200908,66.6
200909,57.3
200910,45.8
200911,41.0
200912,27.3
201001,24.3
201002,23.4
201003,37.4
201004,45.0
201005,54.8
201006,65.6
201007,67.8
201008,66.3
201009,58.5
201010,47.3
201011,35.9
201012,23.6
201101,22.0
201102,27.0
201103,33.6
201104,46.3
201105,55.4
201106,63.2
201107,68.5
201108,64.9
201109,61.0
201110,46.1
201111,38.8
201112,32.2
201201,27.8
201202,30.7
201203,41.4
201204,42.4
201205,57.3
201206,60.3
201207,69.4
201208,66.1
201209,57.0
201210,47.8
201211,33.4
201212,33.9
201301,27.9
201302,26.5
201303,31.1
201304,43.0
201305,52.2
201306,63.0
201307,69.0
201308,63.2
201309,54.5
201310,48.3
201311,33.5
201312,29.9
201401,17.5
201402,23.6
201403,27.5
201404,41.2
201405,53.0
201406,62.0
201407,64.6
201408,61.6
201409,58.0
201410,48.5
201411,33.2
201412,32.0
201501,22.6
201502,15.3
201503,28.5
201504,42.5
201505,56.3
201506,64.0
201507,66.5
201508,63.1
201509,60.7
201510,45.1
201511,40.2
201512,40.0
201601,22.5
201602,27.9
201603,38.3
201604,41.1
201605,52.0
201606,61.9
201607,68.5
201608,68.0
201609,62.0
201610,49.0
201611,36.4
201612,29.5
