#  Michigan Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,0.4
199402,3.9
199403,20.6
199404,31.5
199405,39.6
199406,52.5
199407,56.8
199408,53.1
199409,49.7
199410,39.6
199411,30.6
199412,23.2
199501,16.6
199502,10.5
199503,23.0
199504,29.0
199505,41.6
199506,54.7
199507,58.0
199508,61.6
199509,44.2
199510,40.5
199511,21.5
199512,13.0
199601,7.2
199602,9.5
199603,14.5
199604,28.0
199605,39.8
199606,53.9
199607,53.4
199608,55.7
199609,49.4
199610,37.3
199611,24.1
199612,20.2
199701,9.6
199702,15.0
199703,20.5
199704,28.7
199705,36.5
199706,52.8
199707,55.5
199708,52.6
199709,48.1
199710,37.0
199711,26.6
199712,23.5
199801,18.7
199802,25.0
199803,24.5
199804,33.8
199805,47.2
199806,52.4
199807,56.3
199808,57.5
199809,50.2
199810,40.0
199811,32.0
199812,21.2
199901,9.7
199902,18.6
199903,19.7
199904,34.5
199905,45.0
199906,54.7
199907,60.6
199908,54.2
199909,46.7
199910,35.8
199911,31.6
199912,19.4
200001,10.6
200002,16.9
200003,28.2
200004,31.4
200005,45.0
200006,52.8
200007,54.7
200008,55.0
200009,47.0
200010,39.9
200011,29.8
200012,8.2
200101,16.4
200102,14.1
200103,20.3
200104,34.8
200105,45.7
200106,53.1
200107,56.0
200108,58.1
200109,47.3
200110,38.4
200111,35.1
200112,25.6
200201,20.6
200202,18.6
200203,17.8
200204,33.2
200205,38.5
200206,54.5
200207,60.2
200208,56.7
200209,51.2
200210,35.6
200211,26.4
200212,18.9
200301,9.5
200302,6.8
200303,17.8
200304,29.6
200305,41.3
200306,49.6
200307,55.8
200308,57.2
200309,48.2
200310,36.5
200311,30.3
200312,21.8
200401,6.7
200402,12.9
200403,26.0
200404,32.5
200405,42.8
200406,50.8
200407,55.2
200408,52.3
200409,50.8
200410,39.4
200411,30.6
200412,15.8
200501,10.0
200502,17.2
200503,16.6
200504,33.9
200505,40.4
200506,57.7
200507,58.2
200508,57.7
200509,51.6
200510,41.0
200511,29.1
200512,17.8
200601,23.9
200602,14.4
200603,22.6
200604,34.9
200605,44.9
200606,52.1
200607,59.7
200608,56.3
200609,47.0
200610,35.6
200611,31.7
200612,25.3
200701,17.2
200702,7.1
200703,24.5
200704,31.1
200705,44.6
200706,54.0
200707,55.6
200708,57.4
200709,49.8
200710,44.8
200711,27.6
200712,17.6
200801,15.7
200802,9.1
200803,17.2
200804,34.1
200805,38.6
200806,53.9
200807,57.0
200808,54.0
200809,49.5
200810,36.8
200811,28.7
200812,13.1
200901,3.5
200902,13.3
200903,20.9
200904,32.4
200905,41.4
200906,51.3
200907,52.6
200908,55.1
200909,49.0
200910,36.8
200911,32.6
200912,17.0
201001,15.1
201002,15.8
201003,25.9
201004,36.3
201005,46.4
201006,54.7
201007,60.4
201008,60.1
201009,47.9
201010,38.8
201011,29.0
201012,17.0
201101,9.6
201102,12.8
201103,19.4
201104,32.0
201105,44.3
201106,52.9
201107,60.9
201108,57.0
201109,48.2
201110,39.4
201111,31.8
201112,23.5
201201,17.4
201202,20.7
201203,34.1
201204,32.0
201205,46.0
201206,53.9
201207,61.0
201208,55.7
201209,46.3
201210,38.2
201211,28.4
201212,24.3
201301,15.3
201302,12.9
201303,19.5
201304,30.0
201305,43.9
201306,52.6
201307,57.7
201308,55.0
201309,47.9
201310,39.1
201311,27.2
201312,12.2
201401,4.2
201402,3.3
201403,9.6
201404,30.2
201405,43.1
201406,54.0
201407,53.6
201408,55.4
201409,47.6
201410,39.0
201411,23.6
201412,22.1
201501,8.5
201502,-2.6
201503,17.9
201504,31.8
201505,45.1
201506,51.2
201507,56.0
201508,56.7
201509,53.7
201510,39.4
201511,32.1
201512,29.7
201601,15.8
201602,17.4
201603,26.7
201604,30.4
201605,42.9
201606,52.4
201607,58.9
201608,60.1
201609,53.3
201610,42.2
201611,33.6
201612,19.1
