#  Minnesota Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-12.2
199402,-4.6
199403,20.8
199404,29.7
199405,43.8
199406,54.6
199407,55.8
199408,52.8
199409,49.3
199410,39.6
199411,24.8
199412,12.2
199501,3.3
199502,1.7
199503,19.8
199504,27.5
199505,41.5
199506,56.7
199507,57.4
199508,58.8
199509,44.3
199510,35.5
199511,13.4
199512,3.8
199601,-10.2
199602,1.7
199603,8.7
199604,25.7
199605,40.5
199606,54.0
199607,55.4
199608,55.6
199609,47.1
199610,34.2
199611,12.7
199612,1.5
199701,-4.7
199702,4.3
199703,14.0
199704,27.4
199705,37.8
199706,54.6
199707,57.9
199708,54.1
199709,48.4
199710,35.6
199711,18.2
199712,17.5
199801,6.6
199802,22.3
199803,19.4
199804,34.3
199805,47.0
199806,52.2
199807,57.9
199808,57.5
199809,49.2
199810,38.2
199811,24.8
199812,10.1
199901,-1.2
199902,13.6
199903,20.2
199904,33.9
199905,45.9
199906,53.8
199907,60.3
199908,55.6
199909,45.6
199910,32.7
199911,26.7
199912,11.8
200001,-0.2
200002,12.6
200003,25.4
200004,30.4
200005,44.5
200006,50.4
200007,57.7
200008,56.3
200009,44.1
200010,37.2
200011,22.0
200012,-6.4
200101,6.8
200102,-4.4
200103,14.4
200104,33.4
200105,45.3
200106,53.9
200107,58.8
200108,57.3
200109,46.4
200110,34.0
200111,31.2
200112,14.9
200201,9.3
200202,13.4
200203,9.7
200204,30.0
200205,37.3
200206,55.7
200207,61.0
200208,56.2
200209,49.4
200210,29.8
200211,19.4
200212,12.7
200301,1.0
200302,-1.3
200303,14.7
200304,31.1
200305,41.9
200306,52.1
200307,57.3
200308,57.9
200309,46.2
200310,35.8
200311,18.8
200312,12.7
200401,-4.3
200402,7.2
200403,21.3
200404,30.4
200405,39.9
200406,49.3
200407,55.6
200408,49.7
200409,51.3
200410,37.4
200411,25.3
200412,7.8
200501,-1.8
200502,10.5
200503,14.9
200504,35.4
200505,42.4
200506,57.1
200507,59.2
200508,54.9
200509,49.9
200510,37.4
200511,23.7
200512,10.2
200601,17.3
200602,1.9
200603,20.9
200604,36.8
200605,45.8
200606,53.6
200607,60.3
200608,56.1
200609,45.4
200610,32.0
200611,22.7
200612,15.8
200701,5.8
200702,-1.6
200703,22.0
200704,29.5
200705,46.3
200706,55.7
200707,58.6
200708,55.3
200709,47.4
200710,40.1
200711,22.3
200712,3.3
200801,-1.3
200802,-1.4
200803,13.4
200804,29.0
200805,39.0
200806,51.8
200807,56.8
200808,54.4
200809,47.6
200810,36.1
200811,23.2
200812,-3.4
200901,-9.2
200902,4.7
200903,16.1
200904,31.2
200905,40.2
200906,51.0
200907,53.1
200908,53.2
200909,51.0
200910,33.3
200911,28.8
200912,4.9
201001,0.5
201002,1.7
201003,25.9
201004,36.6
201005,44.2
201006,53.7
201007,59.4
201008,59.3
201009,45.0
201010,37.3
201011,22.0
201012,4.1
201101,-3.8
201102,2.9
201103,13.7
201104,32.0
201105,42.8
201106,53.2
201107,61.8
201108,56.6
201109,45.3
201110,38.8
201111,23.5
201112,14.3
201201,9.3
201202,12.9
201203,30.9
201204,33.8
201205,46.4
201206,54.7
201207,62.6
201208,53.9
201209,42.8
201210,33.6
201211,22.4
201212,8.6
201301,1.7
201302,3.2
201303,10.1
201304,24.8
201305,42.0
201306,53.3
201307,58.1
201308,55.6
201309,50.0
201310,36.0
201311,18.7
201312,-4.3
201401,-9.0
201402,-7.2
201403,8.7
201404,27.9
201405,43.3
201406,54.8
201407,55.9
201408,56.9
201409,47.7
201410,36.1
201411,13.3
201412,14.2
201501,5.2
201502,-4.8
201503,19.5
201504,31.8
201505,42.6
201506,53.3
201507,58.6
201508,54.9
201509,52.7
201510,37.2
201511,28.2
201512,19.0
201601,4.9
201602,11.4
201603,26.3
201604,32.2
201605,44.0
201606,54.4
201607,58.8
201608,57.5
201609,51.2
201610,38.6
201611,31.4
201612,7.8
