#  Mississippi Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,31.8
199402,38.1
199403,42.9
199404,53.0
199405,58.0
199406,69.3
199407,69.2
199408,67.3
199409,60.9
199410,54.9
199411,47.7
199412,40.4
199501,36.1
199502,36.8
199503,47.4
199504,51.6
199505,62.0
199506,64.5
199507,70.5
199508,72.0
199509,61.0
199510,50.5
199511,38.0
199512,35.7
199601,32.7
199602,37.0
199603,39.0
199604,47.8
199605,63.1
199606,67.2
199607,70.0
199608,68.2
199609,61.8
199610,51.8
199611,43.3
199612,39.0
199701,35.3
199702,41.5
199703,48.3
199704,47.4
199705,57.3
199706,67.0
199707,71.0
199708,68.0
199709,63.2
199710,50.9
199711,40.2
199712,35.2
199801,39.3
199802,39.7
199803,44.1
199804,50.5
199805,62.3
199806,70.9
199807,72.9
199808,70.3
199809,68.0
199810,54.4
199811,46.7
199812,40.9
199901,38.5
199902,41.4
199903,41.6
199904,56.5
199905,58.6
199906,68.4
199907,71.4
199908,69.7
199909,59.9
199910,50.2
199911,42.7
199912,35.8
200001,36.7
200002,39.8
200003,47.3
200004,49.1
200005,63.2
200006,66.9
200007,69.5
200008,69.8
200009,63.1
200010,50.3
200011,41.6
200012,27.9
200101,30.6
200102,41.3
200103,41.3
200104,55.3
200105,59.2
200106,66.2
200107,70.8
200108,69.9
200109,62.3
200110,47.2
200111,44.0
200112,39.6
200201,36.5
200202,33.9
200203,42.7
200204,55.6
200205,59.2
200206,66.8
200207,70.8
200208,69.7
200209,67.6
200210,58.7
200211,40.5
200212,35.8
200301,29.2
200302,37.1
200303,45.3
200304,51.9
200305,62.8
200306,66.8
200307,70.0
200308,70.6
200309,62.0
200310,52.1
200311,46.4
200312,32.8
200401,34.0
200402,35.9
200403,47.3
200404,49.5
200405,62.3
200406,68.5
200407,69.5
200408,65.7
200409,63.4
200410,60.1
200411,49.4
200412,33.5
200501,40.2
200502,42.3
200503,42.5
200504,50.3
200505,56.9
200506,67.2
200507,71.3
200508,71.1
200509,66.2
200510,50.2
200511,43.4
200512,32.2
200601,39.8
200602,35.1
200603,45.0
200604,55.6
200605,60.0
200606,65.8
200607,70.3
200608,71.5
200609,60.6
200610,50.2
200611,40.6
200612,37.7
200701,36.8
200702,34.1
200703,47.2
200704,48.5
200705,59.6
200706,67.2
200707,69.5
200708,71.9
200709,65.9
200710,54.6
200711,42.8
200712,40.9
200801,33.0
200802,37.9
200803,43.2
200804,50.9
200805,59.7
200806,68.0
200807,69.2
200808,68.9
200809,64.4
200810,49.9
200811,39.2
200812,37.6
200901,34.1
200902,37.8
200903,46.5
200904,50.2
200905,62.4
200906,68.5
200907,68.6
200908,68.3
200909,66.8
200910,52.6
200911,42.5
200912,35.3
201001,30.1
201002,30.9
201003,40.5
201004,51.5
201005,63.5
201006,71.7
201007,72.7
201008,73.3
201009,63.4
201010,48.8
201011,43.3
201012,30.8
201101,32.1
201102,38.3
201103,45.4
201104,54.4
201105,58.5
201106,70.2
201107,72.6
201108,71.1
201109,61.0
201110,46.9
201111,44.3
201112,37.8
201201,38.9
201202,42.6
201203,54.0
201204,53.6
201205,62.3
201206,66.3
201207,71.8
201208,69.4
201209,63.3
201210,49.8
201211,38.2
201212,41.1
201301,39.8
201302,38.5
201303,38.0
201304,50.2
201305,58.1
201306,68.7
201307,69.0
201308,69.3
201309,65.1
201310,54.5
201311,39.7
201312,36.6
201401,25.7
201402,35.8
201403,39.0
201404,50.7
201405,59.4
201406,69.2
201407,67.2
201408,69.1
201409,65.8
201410,53.6
201411,36.6
201412,40.7
201501,32.9
201502,31.0
201503,47.4
201504,57.0
201505,61.3
201506,69.1
201507,72.6
201508,68.5
201509,64.2
201510,54.3
201511,49.3
201512,46.5
201601,33.1
201602,39.2
201603,48.9
201604,53.9
201605,59.4
201606,69.5
201607,72.2
201608,72.6
201609,67.0
201610,54.4
201611,44.0
201612,39.3
