#  Montana Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,11.9
199402,4.2
199403,23.6
199404,29.9
199405,40.4
199406,45.5
199407,50.0
199408,50.5
199409,42.5
199410,31.8
199411,18.0
199412,14.6
199501,12.8
199502,16.8
199503,18.4
199504,26.8
199505,36.3
199506,45.2
199507,50.2
199508,48.4
199509,40.2
199510,30.5
199511,21.5
199512,11.1
199601,1.1
199602,12.2
199603,13.7
199604,30.2
199605,36.0
199606,46.4
199607,50.2
199608,49.6
199609,39.8
199610,29.1
199611,13.9
199612,6.3
199701,4.3
199702,16.9
199703,20.4
199704,24.6
199705,37.5
199706,48.1
199707,50.8
199708,49.9
199709,43.0
199710,31.9
199711,20.2
199712,16.4
199801,9.1
199802,20.4
199803,18.4
199804,31.1
199805,38.4
199806,43.2
199807,54.5
199808,52.4
199809,46.5
199810,32.0
199811,25.8
199812,12.1
199901,12.8
199902,21.2
199903,22.8
199904,28.1
199905,36.6
199906,44.6
199907,48.1
199908,51.6
199909,37.4
199910,31.2
199911,27.2
199912,20.2
200001,12.1
200002,16.2
200003,23.8
200004,29.7
200005,38.8
200006,44.4
200007,52.7
200008,50.3
200009,40.5
200010,31.2
200011,12.5
200012,5.9
200101,15.0
200102,5.8
200103,22.6
200104,29.3
200105,38.5
200106,45.8
200107,52.7
200108,51.8
200109,43.6
200110,30.7
200111,24.9
200112,12.6
200201,13.5
200202,14.9
200203,9.0
200204,25.1
200205,34.5
200206,46.4
200207,54.2
200208,47.0
200209,41.8
200210,24.6
200211,23.3
200212,17.2
200301,14.5
200302,11.4
200303,18.9
200304,32.1
200305,38.0
200306,45.4
200307,53.6
200308,54.1
200309,40.4
200310,34.0
200311,13.8
200312,15.9
200401,8.0
200402,14.2
200403,25.6
200404,30.5
200405,36.1
200406,43.4
200407,51.4
200408,48.2
200409,41.0
200410,31.2
200411,22.4
200412,17.6
200501,7.7
200502,16.1
200503,23.1
200504,30.0
200505,36.8
200506,46.1
200507,51.5
200508,48.0
200509,41.0
200510,33.3
200511,23.9
200512,12.0
200601,23.0
200602,12.5
200603,20.0
200604,32.3
200605,39.1
200606,47.9
200607,54.6
200608,49.2
200609,41.0
200610,29.0
200611,20.0
200612,15.3
200701,11.3
200702,12.9
200703,26.7
200704,29.2
200705,39.1
200706,47.0
200707,57.2
200708,50.0
200709,40.5
200710,32.7
200711,20.9
200712,12.0
200801,6.6
200802,13.4
200803,19.5
200804,24.1
200805,37.9
200806,43.6
200807,50.7
200808,49.5
200809,39.2
200810,31.1
200811,26.0
200812,4.1
200901,11.1
200902,15.2
200903,16.7
200904,28.2
200905,36.5
200906,43.3
200907,49.8
200908,49.1
200909,44.0
200910,27.2
200911,23.6
200912,2.6
201001,11.8
201002,11.2
201003,24.3
201004,29.2
201005,34.8
201006,45.5
201007,49.7
201008,49.2
201009,41.2
201010,34.2
201011,16.8
201012,10.2
201101,10.3
201102,6.0
201103,19.0
201104,27.0
201105,37.0
201106,44.3
201107,51.4
201108,50.7
201109,41.9
201110,34.4
201111,19.2
201112,16.4
201201,14.9
201202,14.5
201203,26.8
201204,31.8
201205,36.4
201206,46.4
201207,54.9
201208,49.7
201209,41.7
201210,30.1
201211,22.8
201212,12.8
201301,12.2
201302,18.1
201303,18.5
201304,25.2
201305,39.1
201306,46.0
201307,52.4
201308,52.2
201309,46.1
201310,29.3
201311,19.8
201312,6.6
201401,14.5
201402,4.3
201403,19.1
201404,28.5
201405,38.0
201406,44.3
201407,52.1
201408,51.6
201409,41.5
201410,35.2
201411,15.0
201412,16.5
201501,14.8
201502,16.2
201503,26.4
201504,29.2
201505,37.4
201506,49.5
201507,51.7
201508,50.1
201509,42.6
201510,35.6
201511,19.9
201512,15.0
201601,14.8
201602,23.2
201603,25.3
201604,32.6
201605,38.4
201606,47.2
201607,51.1
201608,48.9
201609,42.6
201610,34.0
201611,28.2
201612,5.4
