#  Nebraska Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,11.2
199402,9.7
199403,26.3
199404,33.8
199405,48.1
199406,58.2
199407,57.7
199408,58.5
199409,50.1
199410,39.7
199411,26.8
199412,18.4
199501,13.8
199502,20.6
199503,25.3
199504,31.8
199505,42.8
199506,54.5
199507,59.7
199508,62.9
199509,48.0
199510,35.8
199511,23.0
199512,16.6
199601,7.1
199602,16.1
199603,17.5
199604,32.5
199605,46.4
199606,57.1
199607,59.4
199608,58.8
199609,48.9
199610,36.6
199611,20.5
199612,11.9
199701,9.5
199702,19.6
199703,25.2
199704,30.4
199705,41.7
199706,56.6
199707,61.3
199708,59.2
199709,51.9
199710,38.4
199711,23.1
199712,20.4
199801,15.8
199802,26.2
199803,22.3
199804,34.8
199805,48.3
199806,52.5
199807,63.8
199808,61.1
199809,54.4
199810,40.0
199811,30.2
199812,16.0
199901,15.1
199902,24.0
199903,26.4
199904,36.2
199905,45.8
199906,55.6
199907,63.5
199908,59.2
199909,46.0
199910,34.9
199911,29.2
199912,20.2
200001,16.4
200002,22.3
200003,29.3
200004,33.6
200005,48.0
200006,53.1
200007,62.2
200008,62.6
200009,49.1
200010,39.6
200011,18.0
200012,8.7
200101,16.6
200102,12.8
200103,25.4
200104,37.7
200105,47.6
200106,55.1
200107,64.9
200108,60.4
200109,50.3
200110,36.6
200111,30.0
200112,18.8
200201,16.9
200202,17.8
200203,17.9
200204,35.6
200205,42.1
200206,59.8
200207,64.0
200208,59.8
200209,50.9
200210,33.5
200211,25.1
200212,19.0
200301,14.5
200302,13.6
200303,25.4
200304,38.0
200305,45.2
200306,54.0
200307,62.0
200308,61.6
200309,46.1
200310,38.9
200311,23.6
200312,20.3
200401,12.4
200402,15.2
200403,30.5
200404,35.9
200405,46.9
200406,52.7
200407,59.2
200408,55.0
200409,52.4
200410,40.0
200411,27.6
200412,18.9
200501,13.4
200502,22.2
200503,26.1
200504,37.2
200505,44.2
200506,58.4
200507,61.9
200508,59.6
200509,52.8
200510,37.6
200511,27.4
200512,14.7
200601,24.1
200602,15.1
200603,25.4
200604,38.7
200605,46.6
200606,57.7
200607,63.4
200608,60.5
200609,45.9
200610,35.0
200611,24.1
200612,18.4
200701,11.4
200702,13.3
200703,32.8
200704,34.5
200705,49.4
200706,56.7
200707,63.3
200708,63.8
200709,50.8
200710,40.2
200711,24.8
200712,12.0
200801,10.3
200802,14.6
200803,24.5
200804,31.6
200805,43.3
200806,54.4
200807,61.6
200808,59.0
200809,48.7
200810,37.3
200811,27.5
200812,9.5
200901,13.0
200902,19.2
200903,23.4
200904,33.7
200905,45.9
200906,55.3
200907,57.8
200908,56.5
200909,49.3
200910,32.7
200911,28.9
200912,9.1
201001,12.8
201002,13.5
201003,29.3
201004,38.8
201005,44.3
201006,57.5
201007,62.5
201008,61.6
201009,48.7
201010,38.9
201011,24.3
201012,15.0
201101,9.7
201102,12.6
201103,25.7
201104,35.7
201105,43.8
201106,55.6
201107,65.9
201108,61.6
201109,45.6
201110,38.3
201111,24.1
201112,16.9
201201,16.5
201202,17.9
201203,35.3
201204,40.1
201205,47.5
201206,58.9
201207,64.8
201208,57.4
201209,46.6
201210,34.2
201211,25.3
201212,15.4
201301,13.9
201302,17.6
201303,22.3
201304,29.7
201305,45.7
201306,55.6
201307,60.5
201308,61.9
201309,54.5
201310,36.7
201311,23.3
201312,10.4
201401,12.2
201402,9.9
201403,21.4
201404,34.5
201405,45.2
201406,55.8
201407,58.1
201408,59.9
201409,49.7
201410,38.4
201411,18.8
201412,18.4
201501,14.9
201502,13.5
201503,26.5
201504,37.1
201505,45.4
201506,58.2
201507,60.6
201508,58.0
201509,55.3
201510,41.2
201511,28.3
201512,20.3
201601,16.4
201602,23.9
201603,29.2
201604,37.6
201605,44.6
201606,59.2
201607,61.8
201608,59.5
201609,51.7
201610,40.6
201611,30.9
201612,12.0
