#  Nevada Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,22.0
199402,21.2
199403,31.4
199404,35.7
199405,43.6
199406,51.1
199407,58.8
199408,56.6
199409,47.6
199410,35.6
199411,21.0
199412,22.1
199501,27.3
199502,29.7
199503,29.4
199504,32.4
199505,40.1
199506,45.9
199507,54.0
199508,54.3
199509,47.9
199510,35.5
199511,31.2
199512,24.1
199601,23.5
199602,26.3
199603,28.9
199604,34.2
199605,42.2
199606,50.5
199607,59.2
199608,55.5
199609,45.1
199610,35.8
199611,29.2
199612,25.0
199701,22.8
199702,23.9
199703,29.9
199704,32.6
199705,45.2
199706,50.2
199707,54.6
199708,55.6
199709,48.9
199710,35.2
199711,29.3
199712,19.2
199801,25.3
199802,25.2
199803,28.7
199804,31.6
199805,37.9
199806,45.7
199807,57.6
199808,56.4
199809,49.7
199810,34.5
199811,28.8
199812,18.6
199901,23.1
199902,24.5
199903,27.7
199904,30.7
199905,39.7
199906,48.7
199907,55.5
199908,53.4
199909,46.6
199910,36.5
199911,30.0
199912,19.1
200001,24.7
200002,28.8
200003,28.6
200004,36.8
200005,43.8
200006,51.8
200007,55.3
200008,56.4
200009,46.1
200010,37.1
200011,22.2
200012,22.3
200101,18.5
200102,21.8
200103,31.7
200104,32.7
200105,45.5
200106,50.4
200107,56.2
200108,57.2
200109,48.8
200110,39.2
200111,29.5
200112,21.5
200201,20.1
200202,22.0
200203,24.8
200204,35.3
200205,40.2
200206,51.1
200207,59.6
200208,53.4
200209,47.4
200210,34.1
200211,27.2
200212,23.1
200301,28.8
200302,22.9
200303,30.2
200304,32.4
200305,42.6
200306,51.7
200307,60.0
200308,57.2
200309,48.5
200310,40.8
200311,25.5
200312,23.7
200401,19.4
200402,22.9
200403,33.6
200404,36.1
200405,41.8
200406,51.0
200407,57.8
200408,54.8
200409,45.5
200410,37.6
200411,27.3
200412,23.3
200501,23.8
200502,26.0
200503,29.5
200504,32.7
200505,43.2
200506,46.5
200507,59.1
200508,55.3
200509,43.7
200510,37.4
200511,29.0
200512,23.7
200601,23.8
200602,22.0
200603,24.8
200604,35.3
200605,44.0
200606,52.8
200607,60.4
200608,53.3
200609,45.1
200610,35.3
200611,27.3
200612,19.2
200701,14.6
200702,25.1
200703,31.6
200704,35.5
200705,43.0
200706,50.7
200707,60.4
200708,56.8
200709,45.8
200710,35.8
200711,28.4
200712,19.3
200801,17.6
200802,23.4
200803,27.2
200804,30.5
200805,40.3
200806,48.9
200807,57.6
200808,56.6
200809,47.0
200810,36.5
200811,32.3
200812,18.3
200901,22.8
200902,24.6
200903,27.1
200904,32.3
200905,45.6
200906,49.2
200907,57.7
200908,54.0
200909,50.0
200910,34.3
200911,26.6
200912,14.6
201001,23.4
201002,25.9
201003,27.7
201004,30.9
201005,35.8
201006,49.7
201007,57.7
201008,53.3
201009,45.9
201010,40.7
201011,26.0
201012,27.1
201101,21.7
201102,21.2
201103,29.5
201104,31.5
201105,37.4
201106,47.0
201107,55.8
201108,55.5
201109,49.3
201110,38.1
201111,25.2
201112,17.7
201201,21.9
201202,22.8
201203,29.4
201204,35.7
201205,42.2
201206,49.0
201207,57.5
201208,58.2
201209,50.0
201210,38.6
201211,30.6
201212,21.8
201301,14.0
201302,21.4
201303,31.5
201304,34.3
201305,41.7
201306,51.9
201307,60.6
201308,55.7
201309,48.9
201310,33.7
201311,29.2
201312,15.9
201401,24.3
201402,27.8
201403,30.5
201404,34.8
201405,42.5
201406,50.5
201407,60.7
201408,55.3
201409,50.6
201410,40.1
201411,28.7
201412,26.5
201501,26.4
201502,30.0
201503,33.4
201504,33.1
201505,43.1
201506,55.2
201507,56.6
201508,57.0
201509,50.1
201510,43.8
201511,24.6
201512,20.8
201601,21.7
201602,25.5
201603,31.9
201604,37.4
201605,42.0
201606,53.3
201607,56.9
201608,55.5
201609,46.7
201610,39.9
201611,30.5
201612,19.7
