#  New Hampshire Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-3.2
199402,3.0
199403,19.7
199404,30.2
199405,38.9
199406,52.9
199407,58.9
199408,52.0
199409,45.6
199410,34.8
199411,28.7
199412,17.9
199501,17.0
199502,6.6
199503,23.2
199504,26.6
199505,39.7
199506,50.6
199507,57.8
199508,52.8
199509,41.2
199510,38.3
199511,24.5
199512,11.7
199601,7.4
199602,10.0
199603,16.3
199604,30.7
199605,38.8
199606,52.2
199607,55.3
199608,53.9
199609,48.0
199610,33.9
199611,23.0
199612,23.2
199701,8.1
199702,14.3
199703,16.7
199704,27.5
199705,37.8
199706,49.5
199707,53.3
199708,52.8
199709,45.2
199710,33.1
199711,24.8
199712,15.7
199801,15.0
199802,17.6
199803,22.3
199804,31.3
199805,44.7
199806,52.1
199807,55.3
199808,54.3
199809,46.5
199810,37.5
199811,29.0
199812,20.0
199901,8.0
199902,13.3
199903,22.1
199904,30.2
199905,42.0
199906,52.5
199907,57.0
199908,53.0
199909,49.9
199910,32.4
199911,30.6
199912,19.0
200001,6.9
200002,12.0
200003,24.3
200004,31.6
200005,41.0
200006,50.2
200007,52.5
200008,53.0
200009,44.3
200010,34.8
200011,28.7
200012,9.7
200101,7.9
200102,9.9
200103,17.6
200104,28.0
200105,41.2
200106,51.9
200107,52.2
200108,55.6
200109,45.4
200110,35.1
200111,29.3
200112,22.0
200201,18.2
200202,13.8
200203,21.3
200204,32.6
200205,38.5
200206,48.9
200207,55.5
200208,55.3
200209,48.8
200210,34.1
200211,25.4
200212,13.5
200301,1.5
200302,5.9
200303,15.8
200304,27.3
200305,41.2
200306,51.0
200307,56.2
200308,57.6
200309,47.6
200310,34.5
200311,28.4
200312,14.8
200401,1.6
200402,9.3
200403,22.7
200404,31.0
200405,43.1
200406,47.5
200407,55.9
200408,55.1
200409,46.7
200410,35.2
200411,26.2
200412,13.9
200501,6.1
200502,10.8
200503,15.7
200504,31.2
200505,38.4
200506,54.4
200507,57.2
200508,56.0
200509,48.9
200510,40.5
200511,26.8
200512,14.0
200601,17.2
200602,13.4
200603,20.2
200604,31.2
200605,43.6
200606,54.3
200607,58.8
200608,52.7
200609,46.0
200610,35.6
200611,32.4
200612,23.4
200701,12.5
200702,5.0
200703,16.3
200704,29.4
200705,40.7
200706,50.8
200707,54.6
200708,53.0
200709,46.1
200710,40.8
200711,25.0
200712,13.4
200801,12.1
200802,12.6
200803,16.8
200804,30.8
200805,38.1
200806,53.1
200807,57.4
200808,53.2
200809,47.5
200810,33.9
200811,27.5
200812,14.7
200901,1.4
200902,10.5
200903,18.8
200904,32.3
200905,41.2
200906,50.6
200907,54.2
200908,55.9
200909,43.8
200910,34.5
200911,30.2
200912,15.0
201001,12.7
201002,18.8
201003,27.0
201004,34.3
201005,43.0
201006,51.7
201007,58.8
201008,54.4
201009,49.3
201010,36.4
201011,27.7
201012,15.6
201101,7.0
201102,6.8
201103,19.4
201104,32.2
201105,45.4
201106,50.8
201107,57.0
201108,55.4
201109,51.0
201110,39.3
201111,29.5
201112,20.1
201201,13.9
201202,17.2
201203,27.5
201204,31.8
201205,46.0
201206,50.8
201207,56.5
201208,55.9
201209,45.6
201210,40.6
201211,25.2
201212,21.4
201301,10.1
201302,14.9
201303,21.8
201304,29.9
201305,41.4
201306,51.9
201307,60.3
201308,53.1
201309,45.7
201310,36.7
201311,23.5
201312,14.0
201401,6.9
201402,7.5
201403,9.6
201404,29.3
201405,42.5
201406,50.6
201407,56.7
201408,52.8
201409,45.6
201410,41.1
201411,25.4
201412,22.1
201501,3.5
201502,-4.0
201503,12.2
201504,29.2
201505,44.3
201506,49.6
201507,55.4
201508,56.2
201509,50.0
201510,33.9
201511,29.1
201512,28.0
201601,14.3
201602,15.0
201603,24.9
201604,27.2
201605,42.6
201606,49.8
201607,56.2
201608,56.1
201609,48.1
201610,38.1
201611,29.0
201612,15.2
