#  New Jersey Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,14.9
199402,18.5
199403,29.6
199404,41.6
199405,46.1
199406,60.8
199407,67.0
199408,59.8
199409,53.6
199410,40.3
199411,38.0
199412,29.1
199501,28.2
199502,19.2
199503,32.6
199504,37.3
199505,48.2
199506,59.1
199507,66.0
199508,62.3
199509,54.6
199510,45.9
199511,31.5
199512,22.5
199601,19.9
199602,23.4
199603,26.4
199604,39.9
199605,47.5
199606,59.6
199607,62.4
199608,61.7
199609,56.8
199610,43.5
199611,30.8
199612,31.1
199701,21.8
199702,28.5
199703,31.4
199704,37.0
199705,45.5
199706,55.8
199707,62.2
199708,60.2
199709,53.6
199710,42.7
199711,33.9
199712,27.9
199801,30.9
199802,30.8
199803,34.1
199804,41.0
199805,52.9
199806,59.1
199807,63.5
199808,63.1
199809,56.8
199810,44.8
199811,33.8
199812,30.5
199901,23.2
199902,25.7
199903,30.0
199904,38.7
199905,48.8
199906,59.1
199907,66.6
199908,63.1
199909,58.0
199910,41.5
199911,38.7
199912,29.0
200001,20.9
200002,26.0
200003,34.4
200004,39.8
200005,51.3
200006,60.2
200007,61.3
200008,62.2
200009,54.1
200010,43.0
200011,33.6
200012,20.2
200101,20.8
200102,25.8
200103,29.6
200104,39.9
200105,50.1
200106,60.3
200107,60.1
200108,65.2
200109,53.3
200110,43.2
200111,37.1
200112,31.7
200201,28.2
200202,27.3
200203,32.4
200204,42.3
200205,47.5
200206,58.9
200207,64.9
200208,64.7
200209,56.7
200210,45.2
200211,34.3
200212,25.1
200301,18.9
200302,19.9
200303,30.2
200304,38.4
200305,47.6
200306,58.0
200307,64.5
200308,65.8
200309,58.3
200310,42.2
200311,39.2
200312,26.9
200401,17.1
200402,23.6
200403,33.6
200404,41.3
200405,54.9
200406,58.8
200407,64.0
200408,63.2
200409,57.8
200410,44.3
200411,36.7
200412,26.5
200501,22.1
200502,24.8
200503,28.1
200504,40.0
200505,45.1
200506,61.6
200507,66.4
200508,66.5
200509,57.9
200510,47.9
200511,36.4
200512,24.0
200601,29.1
200602,25.0
200603,31.7
200604,41.0
200605,49.7
200606,60.6
200607,66.8
200608,63.7
200609,54.9
200610,42.9
200611,40.8
200612,31.9
200701,28.3
200702,19.3
200703,29.2
200704,38.6
200705,49.7
200706,59.7
200707,63.3
200708,63.4
200709,56.3
200710,52.0
200711,34.3
200712,28.3
200801,25.6
200802,25.6
200803,31.4
200804,41.7
200805,46.4
200806,61.5
200807,65.2
200808,59.6
200809,57.4
200810,42.0
200811,35.7
200812,27.4
200901,18.8
200902,25.0
200903,30.5
200904,41.4
200905,50.9
200906,58.8
200907,61.6
200908,65.6
200909,55.4
200910,44.0
200911,41.0
200912,26.3
201001,23.2
201002,24.4
201003,36.2
201004,42.9
201005,52.7
201006,62.7
201007,67.3
201008,64.6
201009,57.9
201010,45.7
201011,35.2
201012,23.3
201101,19.0
201102,24.0
201103,31.5
201104,44.0
201105,53.4
201106,61.2
201107,67.4
201108,63.7
201109,61.0
201110,46.0
201111,38.1
201112,31.0
201201,26.4
201202,29.6
201203,39.2
201204,40.8
201205,55.4
201206,59.0
201207,67.2
201208,64.7
201209,56.7
201210,47.9
201211,32.6
201212,32.8
201301,26.0
201302,25.0
201303,30.2
201304,40.3
201305,50.1
201306,60.9
201307,69.1
201308,61.9
201309,52.9
201310,46.7
201311,33.0
201312,27.5
201401,16.1
201402,20.2
201403,25.2
201404,38.5
201405,51.3
201406,59.7
201407,63.8
201408,60.0
201409,56.4
201410,47.4
201411,32.8
201412,31.6
201501,19.5
201502,12.3
201503,25.9
201504,40.1
201505,53.8
201506,60.8
201507,65.5
201508,62.7
201509,59.8
201510,43.6
201511,39.6
201512,40.0
201601,22.0
201602,26.5
201603,35.9
201604,38.6
201605,50.4
201606,59.1
201607,66.9
201608,66.4
201609,59.1
201610,46.2
201611,35.8
201612,27.9
