#  New Mexico Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,19.0
199402,21.8
199403,30.6
199404,36.0
199405,45.8
199406,56.5
199407,58.6
199408,59.0
199409,50.4
199410,38.5
199411,29.0
199412,25.1
199501,23.4
199502,29.1
199503,31.0
199504,33.4
199505,43.2
199506,51.1
199507,56.4
199508,59.4
199509,50.8
199510,37.2
199511,30.6
199512,23.5
199601,20.7
199602,28.2
199603,26.7
199604,36.0
199605,48.5
199606,56.1
199607,60.1
199608,57.5
199609,48.6
199610,38.7
199611,29.2
199612,22.2
199701,20.6
199702,24.0
199703,29.9
199704,34.3
199705,46.1
199706,52.6
199707,57.7
199708,57.8
199709,54.2
199710,38.1
199711,27.7
199712,19.1
199801,23.1
199802,24.9
199803,28.4
199804,32.3
199805,43.8
199806,51.8
199807,60.1
199808,57.4
199809,53.4
199810,41.5
199811,31.4
199812,22.6
199901,24.1
199902,25.4
199903,30.9
199904,34.5
199905,44.0
199906,52.3
199907,59.2
199908,57.7
199909,50.0
199910,37.0
199911,29.3
199912,19.4
200001,23.3
200002,27.6
200003,30.1
200004,38.4
200005,47.9
200006,55.6
200007,59.4
200008,58.2
200009,51.1
200010,41.3
200011,24.6
200012,21.2
200101,19.1
200102,25.2
200103,30.3
200104,37.5
200105,46.5
200106,54.6
200107,60.5
200108,57.3
200109,50.7
200110,40.0
200111,32.2
200112,19.9
200201,21.7
200202,21.2
200203,26.0
200204,40.4
200205,44.6
200206,56.4
200207,59.3
200208,57.8
200209,51.4
200210,39.2
200211,28.5
200212,22.4
200301,24.5
200302,25.7
200303,29.9
200304,36.0
200305,46.0
200306,52.9
200307,60.5
200308,59.1
200309,50.7
200310,43.2
200311,30.7
200312,21.6
200401,23.3
200402,21.4
200403,34.8
200404,37.7
200405,46.0
200406,52.9
200407,57.3
200408,55.1
200409,49.2
200410,40.7
200411,29.7
200412,21.9
200501,27.4
200502,29.9
200503,29.3
200504,35.4
200505,45.9
200506,52.6
200507,58.6
200508,57.3
200509,52.3
200510,41.1
200511,28.4
200512,20.9
200601,21.6
200602,23.1
200603,30.6
200604,38.9
200605,47.6
200606,56.4
200607,60.9
200608,58.7
200609,47.4
200610,39.3
200611,28.9
200612,20.7
200701,18.8
200702,24.7
200703,31.3
200704,35.7
200705,45.3
200706,53.2
200707,58.6
200708,59.4
200709,52.6
200710,39.2
200711,29.8
200712,22.1
200801,18.5
200802,24.4
200803,28.0
200804,33.8
200805,43.4
200806,54.4
200807,59.1
200808,57.4
200809,49.2
200810,38.7
200811,28.7
200812,23.0
200901,22.0
200902,25.1
200903,31.2
200904,35.3
200905,47.9
200906,53.9
200907,59.7
200908,56.6
200909,49.4
200910,37.8
200911,29.0
200912,19.1
201001,19.8
201002,23.2
201003,28.0
201004,37.3
201005,43.0
201006,55.7
201007,60.0
201008,58.0
201009,52.7
201010,41.3
201011,25.7
201012,26.1
201101,17.9
201102,18.9
201103,31.6
201104,38.6
201105,42.4
201106,54.8
201107,61.6
201108,61.4
201109,51.6
201110,39.2
201111,29.1
201112,20.0
201201,23.8
201202,24.3
201203,30.4
201204,39.4
201205,46.6
201206,56.5
201207,60.4
201208,59.1
201209,51.1
201210,39.1
201211,29.7
201212,21.3
201301,17.6
201302,21.2
201303,29.8
201304,35.6
201305,44.7
201306,56.8
201307,60.0
201308,58.5
201309,53.0
201310,36.5
201311,29.2
201312,21.0
201401,20.0
201402,26.9
201403,29.7
201404,35.9
201405,43.7
201406,55.6
201407,60.3
201408,57.3
201409,54.2
201410,42.0
201411,27.4
201412,24.8
201501,23.4
201502,26.6
201503,32.5
201504,36.7
201505,43.8
201506,56.4
201507,59.6
201508,58.8
201509,54.3
201510,44.5
201511,29.0
201512,22.3
201601,21.1
201602,25.4
201603,31.4
201604,36.8
201605,43.7
201606,56.6
201607,60.8
201608,56.9
201609,51.9
201610,43.1
201611,33.3
201612,24.5
