#  North Carolina Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,25.6
199402,31.7
199403,38.8
199404,47.8
199405,50.5
199406,65.3
199407,68.5
199408,64.4
199409,56.9
199410,46.4
199411,41.6
199412,36.6
199501,31.4
199502,30.1
199503,38.9
199504,46.1
199505,55.1
199506,62.8
199507,67.8
199508,67.8
199509,59.1
199510,49.7
199511,34.7
199512,27.4
199601,28.1
199602,30.9
199603,34.0
199604,44.9
199605,55.4
199606,63.0
199607,66.6
199608,64.9
199609,59.3
199610,47.6
199611,34.7
199612,33.7
199701,30.2
199702,35.3
199703,41.7
199704,42.1
199705,49.1
199706,60.1
199707,66.8
199708,62.5
199709,58.7
199710,47.4
199711,36.2
199712,31.9
199801,34.9
199802,36.2
199803,38.8
199804,46.9
199805,57.3
199806,64.8
199807,67.8
199808,65.6
199809,61.3
199810,47.9
199811,39.8
199812,36.9
199901,33.2
199902,32.9
199903,34.1
199904,48.4
199905,53.1
199906,62.3
199907,68.7
199908,66.8
199909,57.9
199910,47.2
199911,41.9
199912,31.5
200001,28.4
200002,33.0
200003,40.4
200004,45.2
200005,56.4
200006,64.2
200007,65.7
200008,64.9
200009,59.6
200010,45.3
200011,35.9
200012,24.8
200101,28.0
200102,34.7
200103,36.1
200104,46.9
200105,53.7
200106,64.2
200107,64.9
200108,66.4
200109,56.8
200110,43.4
200111,40.6
200112,36.6
200201,31.0
200202,31.8
200203,38.7
200204,50.0
200205,52.9
200206,63.2
200207,67.9
200208,65.9
200209,63.0
200210,53.7
200211,37.4
200212,30.4
200301,26.2
200302,31.7
200303,41.7
200304,46.3
200305,56.1
200306,62.4
200307,67.4
200308,68.4
200309,59.3
200310,47.7
200311,43.3
200312,28.9
200401,26.8
200402,30.3
200403,39.5
200404,46.3
200405,59.9
200406,65.2
200407,67.3
200408,64.7
200409,61.2
200410,52.0
200411,41.8
200412,30.2
200501,32.5
200502,33.2
200503,35.8
200504,45.3
200505,51.3
200506,63.8
200507,69.7
200508,68.5
200509,62.5
200510,51.3
200511,39.3
200512,29.3
200601,35.6
200602,30.7
200603,37.6
200604,48.1
200605,51.8
200606,62.3
200607,67.1
200608,68.4
200609,58.2
200610,46.0
200611,39.9
200612,34.4
200701,33.6
200702,27.7
200703,40.3
200704,44.4
200705,53.3
200706,62.7
200707,65.1
200708,68.8
200709,60.3
200710,53.6
200711,36.8
200712,36.6
200801,29.2
200802,34.1
200803,38.1
200804,47.7
200805,52.5
200806,64.8
200807,65.5
200808,65.0
200809,61.3
200810,45.6
200811,35.6
200812,35.8
200901,28.4
200902,30.5
200903,38.5
200904,46.0
200905,57.3
200906,64.5
200907,64.8
200908,67.8
200909,60.2
200910,48.4
200911,42.4
200912,31.0
201001,26.3
201002,27.7
201003,37.9
201004,47.0
201005,58.6
201006,68.0
201007,68.7
201008,68.7
201009,60.9
201010,47.9
201011,37.4
201012,24.2
201101,26.1
201102,33.3
201103,38.9
201104,49.2
201105,56.0
201106,65.1
201107,69.1
201108,66.9
201109,61.5
201110,46.1
201111,40.0
201112,35.5
201201,32.5
201202,34.2
201203,46.3
201204,47.0
201205,58.9
201206,60.5
201207,69.8
201208,66.6
201209,59.2
201210,48.8
201211,34.3
201212,37.3
201301,34.0
201302,31.3
201303,32.7
201304,47.0
201305,54.3
201306,64.8
201307,68.6
201308,65.6
201309,58.8
201310,50.5
201311,36.0
201312,34.4
201401,23.5
201402,32.1
201403,33.4
201404,46.4
201405,56.5
201406,64.5
201407,65.9
201408,65.2
201409,62.9
201410,49.2
201411,34.2
201412,35.4
201501,28.9
201502,24.1
201503,39.0
201504,48.7
201505,56.9
201506,66.7
201507,68.5
201508,65.8
201509,62.4
201510,49.3
201511,44.3
201512,45.3
201601,28.4
201602,33.2
201603,44.2
201604,46.1
201605,55.5
201606,64.4
201607,69.8
201608,69.7
201609,64.6
201610,51.6
201611,38.5
201612,33.9
