#  Ohio Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,11.6
199402,18.3
199403,28.4
199404,39.5
199405,43.8
199406,59.3
199407,62.5
199408,57.9
199409,51.2
199410,40.6
199411,36.1
199412,28.7
199501,21.7
199502,17.6
199503,30.4
199504,36.5
199505,47.7
199506,59.9
199507,63.0
199508,66.0
199509,49.8
199510,43.8
199511,28.1
199512,18.2
199601,17.2
199602,20.3
199603,23.4
199604,36.3
199605,48.7
199606,59.5
199607,59.3
199608,60.1
199609,53.4
199610,42.2
199611,28.1
199612,28.0
199701,17.3
199702,26.4
199703,31.5
199704,34.2
199705,42.9
199706,58.1
199707,60.8
199708,58.1
199709,51.4
199710,41.0
199711,31.9
199712,27.4
199801,29.4
199802,31.4
199803,33.6
199804,39.6
199805,53.9
199806,59.2
199807,61.2
199808,61.4
199809,55.0
199810,42.8
199811,34.3
199812,28.1
199901,19.4
199902,26.1
199903,24.9
199904,41.1
199905,48.8
199906,59.4
199907,65.0
199908,58.4
199909,50.5
199910,40.6
199911,34.8
199912,24.6
200001,16.8
200002,26.8
200003,34.0
200004,38.5
200005,51.4
200006,59.3
200007,59.3
200008,59.2
200009,52.2
200010,44.2
200011,31.8
200012,13.6
200101,20.1
200102,25.8
200103,27.7
200104,41.4
200105,50.2
200106,57.5
200107,60.6
200108,62.6
200109,51.0
200110,43.1
200111,36.4
200112,30.1
200201,26.1
200202,25.0
200203,29.2
200204,41.6
200205,44.9
200206,60.1
200207,64.2
200208,62.7
200209,55.4
200210,43.1
200211,33.4
200212,24.3
200301,14.4
200302,17.8
200303,29.8
200304,40.0
200305,49.4
200306,55.5
200307,61.2
200308,62.5
200309,52.2
200310,39.8
200311,37.3
200312,26.1
200401,15.9
200402,21.3
200403,33.4
200404,40.4
200405,53.2
200406,57.5
200407,61.5
200408,58.4
200409,54.7
200410,42.9
200411,36.9
200412,23.4
200501,21.8
200502,24.5
200503,26.8
200504,40.1
200505,44.1
200506,61.2
200507,64.4
200508,63.3
200509,55.7
200510,44.5
200511,33.9
200512,20.8
200601,31.1
200602,23.3
200603,29.8
200604,41.6
200605,48.0
200606,56.4
200607,64.1
200608,62.6
200609,52.5
200610,40.8
200611,34.9
200612,29.6
200701,26.1
200702,11.1
200703,33.5
200704,38.4
200705,50.2
200706,57.9
200707,58.9
200708,64.0
200709,54.3
200710,49.2
200711,32.9
200712,26.2
200801,20.7
200802,20.1
200803,28.4
200804,41.0
200805,45.6
200806,59.9
200807,61.3
200808,58.6
200809,54.6
200810,40.3
200811,30.9
200812,22.2
200901,12.5
200902,21.9
200903,30.8
200904,39.8
200905,49.2
200906,58.0
200907,58.3
200908,60.7
200909,54.1
200910,40.4
200911,36.5
200912,23.5
201001,18.9
201002,19.0
201003,31.8
201004,41.9
201005,52.3
201006,62.0
201007,64.1
201008,63.0
201009,53.4
201010,42.6
201011,30.3
201012,18.9
201101,16.1
201102,21.9
201103,30.4
201104,41.4
201105,51.7
201106,59.6
201107,66.1
201108,60.8
201109,55.0
201110,42.5
201111,37.4
201112,29.7
201201,23.8
201202,26.7
201203,40.8
201204,38.4
201205,54.0
201206,57.4
201207,65.8
201208,59.1
201209,51.9
201210,42.5
201211,29.4
201212,30.7
201301,22.4
201302,21.6
201303,27.5
201304,38.6
201305,51.6
201306,59.0
201307,63.1
201308,59.7
201309,52.7
201310,43.8
201311,30.5
201312,24.6
201401,10.2
201402,14.1
201403,22.8
201404,39.1
201405,50.1
201406,60.0
201407,58.9
201408,60.4
201409,52.2
201410,43.5
201411,28.3
201412,29.0
201501,16.3
201502,7.1
201503,25.9
201504,40.0
201505,53.0
201506,60.4
201507,61.5
201508,59.0
201509,56.8
201510,43.6
201511,36.9
201512,35.7
201601,18.6
201602,24.5
201603,36.6
201604,38.0
201605,48.6
201606,59.4
201607,64.1
201608,65.8
201609,57.4
201610,46.8
201611,34.8
201612,24.2
