#  Oklahoma Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,24.8
199402,25.0
199403,38.1
199404,46.2
199405,55.4
199406,68.2
199407,67.5
199408,66.5
199409,58.3
199410,50.6
199411,39.5
199412,32.0
199501,27.6
199502,31.8
199503,39.2
199504,44.7
199505,54.4
199506,62.1
199507,68.8
199508,70.0
199509,60.0
199510,46.3
199511,34.0
199512,28.5
199601,22.2
199602,28.0
199603,31.4
199604,43.6
199605,61.5
199606,65.4
199607,69.5
199608,67.7
199609,58.1
199610,48.4
199611,35.4
199612,28.0
199701,25.2
199702,32.8
199703,38.0
199704,42.6
199705,53.3
199706,62.9
199707,69.7
199708,67.0
199709,62.0
199710,49.9
199711,35.2
199712,29.6
199801,30.8
199802,34.5
199803,36.2
199804,44.1
199805,59.4
199806,67.1
199807,72.7
199808,69.4
199809,66.7
199810,52.4
199811,42.3
199812,29.8
199901,28.2
199902,36.2
199903,37.7
199904,48.3
199905,55.4
199906,65.2
199907,70.8
199908,69.2
199909,58.1
199910,47.0
199911,41.7
199912,30.3
200001,28.1
200002,34.3
200003,41.6
200004,45.8
200005,58.3
200006,64.2
200007,69.1
200008,70.9
200009,59.6
200010,53.1
200011,33.2
200012,21.4
200101,25.8
200102,30.3
200103,36.6
200104,51.2
200105,57.2
200106,64.7
200107,73.1
200108,70.1
200109,58.8
200110,46.6
200111,43.2
200112,30.6
200201,27.2
200202,28.6
200203,33.2
200204,50.1
200205,54.9
200206,66.0
200207,69.6
200208,69.4
200209,61.1
200210,47.5
200211,34.9
200212,30.0
200301,25.2
200302,27.5
200303,37.0
200304,47.1
200305,56.1
200306,62.2
200307,70.5
200308,70.0
200309,57.6
200310,49.5
200311,39.8
200312,30.1
200401,27.5
200402,28.2
200403,43.7
200404,48.1
200405,58.9
200406,64.4
200407,67.2
200408,64.7
200409,60.3
200410,52.2
200411,42.0
200412,28.7
200501,29.5
200502,35.0
200503,38.1
200504,46.8
200505,56.1
200506,65.4
200507,67.7
200508,69.0
200509,63.3
200510,49.6
200511,38.1
200512,25.3
200601,32.1
200602,27.4
200603,41.0
200604,51.7
200605,58.1
200606,64.6
200607,70.7
200608,71.9
200609,56.0
200610,47.7
200611,38.2
200612,30.5
200701,25.8
200702,28.0
200703,46.9
200704,44.3
200705,59.4
200706,65.3
200707,68.4
200708,71.5
200709,62.8
200710,51.1
200711,37.7
200712,27.4
200801,25.7
200802,28.4
200803,37.5
200804,44.5
200805,55.9
200806,66.8
200807,69.7
200808,68.4
200809,58.5
200810,46.9
200811,36.9
200812,25.9
200901,23.7
200902,33.3
200903,39.8
200904,45.3
200905,55.2
200906,67.3
200907,68.2
200908,67.0
200909,59.6
200910,45.0
200911,41.5
200912,23.8
201001,24.8
201002,27.5
201003,37.2
201004,49.4
201005,56.4
201006,70.0
201007,71.9
201008,70.8
201009,62.9
201010,47.1
201011,37.5
201012,28.0
201101,21.9
201102,26.1
201103,40.2
201104,47.7
201105,55.1
201106,70.0
201107,75.4
201108,73.8
201109,56.2
201110,47.8
201111,38.5
201112,30.0
201201,29.0
201202,32.9
201203,47.8
201204,52.7
201205,60.1
201206,66.4
201207,72.3
201208,67.5
201209,61.0
201210,46.6
201211,37.1
201212,29.7
201301,28.0
201302,29.1
201303,35.2
201304,42.3
201305,54.9
201306,66.5
201307,68.0
201308,68.9
201309,62.5
201310,48.3
201311,35.4
201312,23.7
201401,22.0
201402,24.3
201403,32.3
201404,45.5
201405,55.8
201406,67.1
201407,66.7
201408,68.4
201409,61.8
201410,51.2
201411,32.1
201412,33.9
201501,25.8
201502,25.3
201503,39.1
201504,49.8
201505,56.4
201506,67.6
201507,71.3
201508,67.3
201509,64.4
201510,50.6
201511,40.1
201512,32.7
201601,26.9
201602,33.4
201603,41.4
201604,48.8
201605,54.9
201606,67.7
201607,71.7
201608,69.3
201609,63.1
201610,53.9
201611,42.7
201612,26.7
