#  Rhode Island Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,11.5
199402,15.7
199403,27.8
199404,37.9
199405,44.4
199406,58.1
199407,66.2
199408,59.3
199409,52.4
199410,40.8
199411,36.9
199412,28.0
199501,26.8
199502,18.5
199503,31.1
199504,35.6
199505,45.3
199506,55.9
199507,64.3
199508,59.6
199509,50.9
199510,44.9
199511,31.6
199512,20.6
199601,19.1
199602,19.9
199603,24.1
199604,37.5
199605,45.0
199606,57.2
199607,61.0
199608,61.1
199609,54.5
199610,40.9
199611,30.2
199612,30.6
199701,19.6
199702,27.1
199703,28.1
199704,35.6
199705,44.3
199706,54.8
199707,60.5
199708,59.4
199709,53.0
199710,40.4
199711,32.4
199712,25.0
199801,27.1
199802,28.2
199803,31.3
199804,38.4
199805,49.2
199806,56.8
199807,62.0
199808,61.7
199809,54.2
199810,43.0
199811,33.3
199812,28.5
199901,19.8
199902,24.4
199903,29.4
199904,37.2
199905,47.5
199906,57.6
199907,63.9
199908,60.8
199909,55.8
199910,40.6
199911,37.1
199912,27.1
200001,17.3
200002,24.6
200003,32.4
200004,37.4
200005,46.6
200006,56.4
200007,59.2
200008,60.0
200009,51.9
200010,41.9
200011,34.6
200012,19.5
200101,19.4
200102,22.2
200103,28.1
200104,36.5
200105,47.8
200106,59.1
200107,57.9
200108,63.3
200109,53.3
200110,42.7
200111,37.1
200112,30.2
200201,26.6
200202,24.8
200203,29.6
200204,39.7
200205,44.8
200206,54.3
200207,62.0
200208,62.3
200209,55.9
200210,42.2
200211,33.9
200212,23.8
200301,16.0
200302,17.0
200303,26.1
200304,34.7
200305,44.6
200306,55.5
200307,62.4
200308,64.5
200309,55.4
200310,40.9
200311,36.6
200312,26.3
200401,12.8
200402,21.8
200403,29.6
200404,38.2
200405,48.1
200406,54.6
200407,61.5
200408,61.5
200409,54.2
200410,43.1
200411,32.9
200412,24.3
200501,18.3
200502,21.5
200503,24.4
200504,37.2
200505,43.3
200506,58.0
200507,62.6
200508,63.8
200509,55.8
200510,46.9
200511,35.5
200512,23.2
200601,27.9
200602,21.9
200603,27.5
200604,37.8
200605,47.9
200606,59.1
200607,65.5
200608,60.4
200609,51.9
200610,42.1
200611,40.0
200612,31.2
200701,25.0
200702,17.3
200703,26.6
200704,36.0
200705,47.2
200706,56.5
200707,61.9
200708,60.6
200709,53.9
200710,48.5
200711,31.9
200712,23.8
200801,23.0
200802,23.1
200803,28.8
200804,38.4
200805,45.1
200806,59.1
200807,64.9
200808,58.6
200809,54.9
200810,40.8
200811,33.6
200812,25.9
200901,14.9
200902,22.5
200903,27.8
200904,39.0
200905,48.4
200906,55.7
200907,60.4
200908,64.0
200909,51.4
200910,41.6
200911,40.2
200912,24.1
201001,20.5
201002,24.5
201003,34.9
201004,40.6
201005,49.8
201006,59.1
201007,64.9
201008,60.9
201009,55.6
201010,44.2
201011,34.8
201012,22.6
201101,16.6
201102,18.4
201103,28.9
201104,40.6
201105,50.1
201106,56.4
201107,63.6
201108,62.0
201109,57.6
201110,46.3
201111,38.1
201112,29.9
201201,24.5
201202,26.2
201203,35.8
201204,38.8
201205,51.9
201206,56.1
201207,63.7
201208,63.0
201209,53.9
201210,46.7
201211,32.7
201212,30.2
201301,22.0
201302,23.0
201303,29.5
201304,37.2
201305,46.8
201306,58.4
201307,68.4
201308,59.5
201309,51.5
201310,43.5
201311,31.8
201312,24.9
201401,16.8
201402,18.3
201403,22.6
201404,37.1
201405,47.9
201406,55.6
201407,63.5
201408,58.2
201409,53.7
201410,46.6
201411,32.4
201412,30.6
201501,16.9
201502,7.0
201503,22.4
201504,36.8
201505,49.4
201506,55.2
201507,62.7
201508,62.7
201509,56.7
201510,42.6
201511,37.8
201512,37.3
201601,22.8
201602,23.1
201603,33.6
201604,36.1
201605,47.6
201606,56.2
201607,63.7
201608,63.8
201609,57.1
201610,44.8
201611,35.5
201612,25.7
