#  Tennessee Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,23.7
199402,30.5
199403,35.9
199404,46.7
199405,49.4
199406,65.0
199407,66.6
199408,62.9
199409,54.8
199410,47.1
199411,41.2
199412,34.0
199501,29.0
199502,28.4
199503,39.2
199504,45.1
199505,55.1
199506,60.9
199507,66.0
199508,68.7
199509,56.7
199510,45.5
199511,31.5
199512,27.8
199601,26.0
199602,28.1
199603,32.0
199604,41.2
199605,57.1
199606,62.6
199607,65.4
199608,64.4
199609,56.6
199610,46.4
199611,35.1
199612,32.6
199701,27.0
199702,35.6
199703,40.8
199704,40.3
199705,49.0
199706,62.4
199707,66.2
199708,63.0
199709,57.5
199710,45.4
199711,34.8
199712,30.5
199801,34.6
199802,36.2
199803,39.1
199804,45.7
199805,58.4
199806,65.1
199807,68.7
199808,65.3
199809,60.5
199810,47.7
199811,38.7
199812,34.0
199901,32.0
199902,33.9
199903,33.5
199904,49.8
199905,53.1
199906,64.0
199907,69.1
199908,63.3
199909,53.7
199910,44.2
199911,39.4
199912,30.2
200001,28.3
200002,33.4
200003,39.6
200004,43.3
200005,57.3
200006,63.2
200007,65.4
200008,65.2
200009,58.0
200010,46.6
200011,36.6
200012,21.4
200101,24.4
200102,34.1
200103,34.1
200104,49.2
200105,55.0
200106,60.6
200107,66.9
200108,66.8
200109,56.3
200110,42.6
200111,38.1
200112,34.2
200201,29.3
200202,29.1
200203,36.5
200204,48.5
200205,52.5
200206,63.3
200207,68.3
200208,66.1
200209,62.0
200210,52.6
200211,35.6
200212,30.3
200301,22.4
200302,30.4
200303,39.7
200304,47.3
200305,56.7
200306,59.9
200307,66.2
200308,67.0
200309,56.6
200310,46.0
200311,41.7
200312,28.8
200401,26.4
200402,29.7
200403,41.2
200404,44.9
200405,59.4
200406,64.3
200407,65.6
200408,61.4
200409,58.5
200410,52.5
200411,43.6
200412,28.2
200501,34.0
200502,34.8
200503,35.6
200504,45.6
200505,50.2
200506,63.4
200507,68.6
200508,68.2
200509,60.0
200510,46.8
200511,37.4
200512,26.7
200601,34.3
200602,28.4
200603,37.9
200604,50.6
200605,53.9
200606,61.2
200607,66.7
200608,68.4
200609,56.1
200610,44.0
200611,36.7
200612,31.5
200701,30.9
200702,25.5
200703,43.1
200704,42.8
200705,54.9
200706,62.3
200707,65.5
200708,69.3
200709,60.6
200710,51.0
200711,36.1
200712,34.6
200801,26.3
200802,31.8
200803,37.1
200804,45.4
200805,53.1
200806,63.7
200807,65.0
200808,63.6
200809,59.6
200810,44.9
200811,33.6
200812,30.2
200901,25.5
200902,30.5
200903,39.5
200904,44.9
200905,56.8
200906,64.4
200907,63.6
200908,64.5
200909,61.7
200910,46.2
200911,38.5
200912,29.2
201001,24.1
201002,25.7
201003,36.9
201004,46.7
201005,58.1
201006,67.7
201007,69.0
201008,68.8
201009,58.0
201010,43.6
201011,37.3
201012,24.2
201101,25.0
201102,32.3
201103,40.2
201104,48.6
201105,54.7
201106,65.2
201107,69.8
201108,65.6
201109,57.1
201110,43.7
201111,40.2
201112,32.9
201201,31.7
201202,34.2
201203,47.5
201204,47.3
201205,58.6
201206,60.5
201207,69.5
201208,64.2
201209,57.8
201210,45.6
201211,32.3
201212,36.3
201301,32.2
201302,30.8
201303,32.8
201304,44.8
201305,53.9
201306,63.9
201307,65.4
201308,65.4
201309,59.5
201310,48.6
201311,33.3
201312,31.0
201401,18.5
201402,28.2
201403,32.6
201404,45.2
201405,55.7
201406,65.1
201407,62.7
201408,65.2
201409,60.1
201410,48.5
201411,31.8
201412,35.4
201501,26.3
201502,21.3
201503,37.7
201504,48.3
201505,56.2
201506,65.4
201507,68.9
201508,63.4
201509,59.3
201510,48.1
201511,43.4
201512,41.7
201601,24.9
201602,33.6
201603,42.1
201604,46.7
201605,54.1
201606,64.8
201607,69.3
201608,69.3
201609,61.4
201610,50.7
201611,39.0
201612,31.3
