#  Texas Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,34.3
199402,36.0
199403,45.4
199404,51.3
199405,60.6
199406,69.9
199407,70.4
199408,69.3
199409,61.7
199410,55.2
199411,46.4
199412,39.6
199501,36.2
199502,39.9
199503,45.1
199504,50.3
199505,60.9
199506,65.3
199507,70.3
199508,70.8
199509,63.9
199510,51.6
199511,42.5
199512,37.0
199601,30.8
199602,38.7
199603,38.8
199604,49.4
199605,66.0
199606,68.8
199607,71.9
199608,69.8
199609,62.9
199610,53.1
199611,43.9
199612,36.4
199701,33.7
199702,38.9
199703,46.7
199704,48.1
199705,59.0
199706,66.4
199707,70.8
199708,69.8
199709,65.6
199710,53.9
199711,40.8
199712,33.2
199801,38.1
199802,39.4
199803,42.7
199804,48.7
199805,63.2
199806,70.8
199807,73.6
199808,70.6
199809,68.1
199810,57.7
199811,48.1
199812,36.7
199901,36.5
199902,42.2
199903,45.7
199904,54.1
199905,60.9
199906,68.8
199907,70.6
199908,71.1
199909,62.8
199910,51.0
199911,44.7
199912,35.0
200001,37.3
200002,43.0
200003,48.4
200004,52.7
200005,64.6
200006,68.6
200007,71.3
200008,70.7
200009,63.4
200010,57.0
200011,40.8
200012,31.5
200101,33.5
200102,40.4
200103,42.6
200104,55.6
200105,61.8
200106,68.5
200107,72.7
200108,70.9
200109,63.1
200110,51.7
200111,47.9
200112,37.4
200201,35.7
200202,33.7
200203,41.7
200204,57.5
200205,61.4
200206,68.8
200207,70.6
200208,71.0
200209,63.9
200210,55.6
200211,41.0
200212,36.3
200301,33.7
200302,37.3
200303,44.5
200304,52.9
200305,63.3
200306,66.9
200307,70.5
200308,70.6
200309,62.9
200310,55.0
200311,46.7
200312,34.8
200401,37.7
200402,36.3
200403,50.8
200404,53.0
200405,62.0
200406,67.7
200407,69.6
200408,67.8
200409,63.5
200410,59.0
200411,45.7
200412,34.8
200501,39.6
200502,42.6
200503,43.7
200504,50.3
200505,60.1
200506,68.1
200507,70.3
200508,69.7
200509,66.6
200510,53.7
200511,44.0
200512,33.1
200601,37.5
200602,36.2
200603,48.7
200604,57.0
200605,62.2
200606,67.6
200607,71.4
200608,71.7
200609,61.9
200610,54.2
200611,44.1
200612,36.3
200701,33.0
200702,36.5
200703,50.0
200704,49.4
200705,61.2
200706,67.2
200707,69.1
200708,71.0
200709,66.1
200710,54.6
200711,44.8
200712,35.6
200801,33.2
200802,38.0
200803,44.2
200804,50.9
200805,61.4
200806,70.3
200807,70.1
200808,69.8
200809,61.4
200810,51.5
200811,42.6
200812,34.3
200901,32.7
200902,40.6
200903,46.3
200904,51.1
200905,61.5
200906,69.1
200907,71.8
200908,70.6
200909,63.2
200910,52.7
200911,43.6
200912,32.3
201001,32.4
201002,33.9
201003,41.4
201004,52.7
201005,61.5
201006,71.1
201007,71.8
201008,71.7
201009,66.2
201010,52.3
201011,42.3
201012,35.4
201101,31.7
201102,34.5
201103,47.5
201104,54.9
201105,60.3
201106,71.4
201107,74.2
201108,74.7
201109,63.1
201110,52.8
201111,43.5
201112,36.5
201201,36.5
201202,40.6
201203,50.8
201204,56.6
201205,63.3
201206,69.6
201207,71.6
201208,71.0
201209,64.1
201210,53.2
201211,44.6
201212,37.4
201301,36.4
201302,38.4
201303,42.6
201304,48.9
201305,59.8
201306,69.7
201307,69.9
201308,70.8
201309,66.2
201310,54.2
201311,41.5
201312,32.9
201401,30.0
201402,35.7
201403,40.7
201404,51.7
201405,59.0
201406,69.8
201407,70.3
201408,70.6
201409,66.2
201410,56.4
201411,39.4
201412,40.9
201501,33.3
201502,36.1
201503,45.0
201504,55.0
201505,61.3
201506,68.6
201507,71.9
201508,70.5
201509,66.9
201510,56.8
201511,46.3
201512,38.8
201601,34.0
201602,39.7
201603,48.2
201604,53.5
201605,60.4
201606,68.9
201607,73.4
201608,70.9
201609,66.7
201610,57.7
201611,49.6
201612,38.9
