#  Washington Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,31.2
199402,25.4
199403,31.4
199404,38.1
199405,42.5
199406,45.1
199407,52.9
199408,51.3
199409,48.0
199410,36.4
199411,27.3
199412,26.1
199501,27.0
199502,29.8
199503,30.2
199504,34.2
199505,42.5
199506,46.7
199507,52.2
199508,47.7
199509,48.4
199510,36.6
199511,33.6
199512,26.9
199601,23.6
199602,23.9
199603,30.1
199604,36.4
199605,38.4
199606,44.7
199607,52.2
199608,50.7
199609,43.5
199610,37.0
199611,29.1
199612,22.7
199701,24.6
199702,26.7
199703,30.8
199704,33.5
199705,43.0
199706,46.1
199707,50.6
199708,53.4
199709,47.8
199710,37.7
199711,32.7
199712,26.7
199801,26.6
199802,31.3
199803,32.4
199804,34.8
199805,43.0
199806,47.7
199807,56.1
199808,52.5
199809,48.4
199810,37.0
199811,34.2
199812,24.6
199901,29.0
199902,28.8
199903,29.8
199904,31.8
199905,37.1
199906,45.2
199907,48.7
199908,53.3
199909,43.0
199910,36.0
199911,34.9
199912,29.7
200001,25.0
200002,28.3
200003,30.4
200004,36.2
200005,40.6
200006,46.4
200007,50.3
200008,49.5
200009,44.8
200010,37.0
200011,26.0
200012,24.3
200101,26.4
200102,24.3
200103,30.6
200104,33.6
200105,40.2
200106,44.3
200107,50.6
200108,52.6
200109,46.9
200110,36.5
200111,33.5
200112,26.6
200201,27.6
200202,26.3
200203,27.5
200204,34.2
200205,38.9
200206,47.1
200207,52.3
200208,49.7
200209,44.3
200210,33.8
200211,31.6
200212,30.3
200301,31.1
200302,27.2
200303,32.9
200304,35.3
200305,40.2
200306,47.8
200307,52.2
200308,51.6
200309,47.1
200310,40.7
200311,25.9
200312,26.6
200401,25.1
200402,28.2
200403,32.7
200404,35.9
200405,41.8
200406,47.9
200407,53.6
200408,54.8
200409,45.5
200410,39.1
200411,30.9
200412,29.2
200501,25.8
200502,25.2
200503,32.6
200504,35.8
200505,44.2
200506,46.2
200507,51.4
200508,51.2
200509,43.3
200510,39.9
200511,29.9
200512,24.0
200601,31.1
200602,24.4
200603,30.1
200604,35.2
200605,40.8
200606,48.1
200607,53.4
200608,49.8
200609,45.5
200610,36.3
200611,30.0
200612,25.0
200701,22.0
200702,29.5
200703,32.6
200704,34.5
200705,40.2
200706,46.0
200707,54.6
200708,50.2
200709,44.5
200710,36.4
200711,29.2
200712,25.2
200801,21.0
200802,27.9
200803,28.4
200804,30.3
200805,41.9
200806,44.4
200807,50.8
200808,51.3
200809,44.7
200810,36.4
200811,33.8
200812,20.2
200901,24.0
200902,25.7
200903,27.2
200904,33.1
200905,39.8
200906,47.8
200907,53.3
200908,52.5
200909,46.6
200910,35.5
200911,31.4
200912,20.4
201001,31.5
201002,31.4
201003,31.1
201004,34.9
201005,38.4
201006,45.6
201007,50.7
201008,50.6
201009,47.0
201010,39.1
201011,28.4
201012,26.9
201101,26.4
201102,23.6
201103,30.8
201104,31.0
201105,38.3
201106,44.9
201107,48.5
201108,51.1
201109,47.6
201110,39.0
201111,27.5
201112,24.3
201201,23.9
201202,27.7
201203,29.5
201204,35.6
201205,39.4
201206,44.8
201207,52.5
201208,51.9
201209,45.5
201210,37.8
201211,33.3
201212,27.9
201301,23.6
201302,28.4
201303,30.8
201304,34.7
201305,41.9
201306,47.6
201307,52.9
201308,53.7
201309,49.4
201310,35.6
201311,29.8
201312,21.8
201401,28.3
201402,23.4
201403,31.2
201404,35.4
201405,42.4
201406,46.9
201407,54.8
201408,54.6
201409,47.7
201410,43.0
201411,28.9
201412,28.7
201501,29.6
201502,33.1
201503,34.6
201504,34.2
201505,44.5
201506,51.8
201507,55.0
201508,53.2
201509,44.5
201510,42.6
201511,28.9
201512,27.2
201601,28.1
201602,31.8
201603,33.2
201604,39.8
201605,43.8
201606,47.6
201607,51.8
201608,52.0
201609,44.8
201610,40.4
201611,36.9
201612,20.2
