#  Wisconsin Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-6.2
199402,1.3
199403,21.6
199404,31.2
199405,41.8
199406,54.3
199407,56.6
199408,53.4
199409,51.1
199410,39.5
199411,28.0
199412,17.3
199501,9.2
199502,8.2
199503,22.3
199504,28.3
199505,42.0
199506,56.2
199507,58.9
199508,62.4
199509,44.6
199510,37.8
199511,16.7
199512,8.1
199601,-1.2
199602,5.7
199603,12.6
199604,27.5
199605,40.6
199606,54.1
199607,54.8
199608,55.4
199609,48.4
199610,35.5
199611,18.5
199612,10.9
199701,2.9
199702,11.4
199703,19.5
199704,29.2
199705,37.7
199706,53.8
199707,57.1
199708,53.4
199709,48.7
199710,36.9
199711,22.7
199712,19.8
199801,13.8
199802,24.5
199803,23.0
199804,35.0
199805,47.8
199806,52.9
199807,57.6
199808,57.9
199809,50.1
199810,38.9
199811,29.5
199812,15.8
199901,3.2
199902,17.9
199903,20.8
199904,35.3
199905,46.4
199906,54.2
199907,61.5
199908,55.3
199909,45.7
199910,33.9
199911,28.6
199912,14.3
200001,5.3
200002,15.1
200003,27.4
200004,31.1
200005,45.4
200006,52.1
200007,57.1
200008,56.9
200009,46.8
200010,39.2
200011,25.7
200012,-0.3
200101,10.0
200102,4.9
200103,18.2
200104,35.5
200105,45.6
200106,53.7
200107,57.8
200108,58.3
200109,46.6
200110,35.8
200111,33.8
200112,20.0
200201,15.9
200202,17.4
200203,14.9
200204,32.6
200205,39.1
200206,55.6
200207,61.4
200208,56.4
200209,50.4
200210,33.4
200211,23.1
200212,16.3
200301,4.9
200302,2.6
200303,18.3
200304,30.4
200305,41.6
200306,51.1
200307,56.7
200308,57.9
200309,47.8
200310,35.3
200311,25.1
200312,16.7
200401,2.3
200402,11.0
200403,24.8
200404,31.9
200405,41.6
200406,50.7
200407,55.9
200408,51.2
200409,50.9
200410,38.0
200411,28.4
200412,11.9
200501,5.8
200502,16.1
200503,16.1
200504,34.7
200505,41.9
200506,57.8
200507,58.7
200508,56.5
200509,51.2
200510,38.7
200511,25.6
200512,11.8
200601,21.1
200602,8.6
200603,22.1
200604,36.4
200605,45.7
200606,52.6
200607,60.3
200608,57.1
200609,45.7
200610,32.7
200611,28.4
200612,20.2
200701,12.3
200702,2.8
200703,24.2
200704,31.5
200705,46.3
200706,54.4
200707,57.3
200708,57.7
200709,49.4
200710,43.0
200711,24.6
200712,9.0
200801,6.1
200802,2.8
200803,14.6
200804,32.6
200805,39.2
200806,53.6
200807,57.4
200808,53.8
200809,49.7
200810,36.3
200811,25.3
200812,2.2
200901,-4.6
200902,10.1
200903,19.4
200904,31.6
200905,43.0
200906,52.4
200907,52.5
200908,54.0
200909,49.1
200910,34.7
200911,31.0
200912,11.0
201001,7.4
201002,10.2
201003,25.5
201004,36.9
201005,45.5
201006,55.1
201007,61.3
201008,60.3
201009,46.4
201010,36.9
201011,26.2
201012,9.5
201101,4.4
201102,9.2
201103,18.0
201104,32.0
201105,43.2
201106,53.4
201107,62.3
201108,56.8
201109,46.7
201110,38.4
201111,28.5
201112,18.1
201201,11.8
201202,18.0
201203,35.1
201204,33.3
201205,46.9
201206,54.6
201207,62.5
201208,54.6
201209,44.1
201210,34.4
201211,25.5
201212,17.9
201301,7.5
201302,7.8
201303,14.1
201304,28.8
201305,43.3
201306,53.5
201307,58.0
201308,55.5
201309,48.5
201310,36.8
201311,22.6
201312,3.2
201401,-4.2
201402,-3.8
201403,10.6
201404,29.2
201405,43.8
201406,55.7
201407,55.1
201408,56.6
201409,47.1
201410,36.5
201411,17.8
201412,18.2
201501,7.6
201502,-2.7
201503,19.2
201504,32.6
201505,44.8
201506,52.6
201507,57.1
201508,55.9
201509,54.1
201510,37.9
201511,30.5
201512,26.4
201601,8.6
201602,14.3
201603,27.6
201604,32.6
201605,43.3
201606,54.4
201607,59.3
201608,59.3
201609,53.1
201610,40.5
201611,32.1
201612,13.6
