#  Wyoming Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,13.6
199402,8.6
199403,21.6
199404,27.4
199405,39.3
199406,45.3
199407,49.0
199408,50.0
199409,41.0
199410,30.2
199411,15.7
199412,15.2
199501,12.0
199502,17.2
199503,20.0
199504,25.3
199505,33.8
199506,42.2
199507,48.3
199508,49.6
199509,39.9
199510,27.4
199511,22.4
199512,13.6
199601,6.4
199602,12.2
199603,16.1
199604,26.9
199605,35.5
199606,45.0
199607,50.1
199608,47.8
199609,37.9
199610,28.3
199611,18.8
199612,12.2
199701,8.8
199702,11.4
199703,19.8
199704,22.0
199705,35.6
199706,46.3
199707,49.4
199708,49.8
199709,43.0
199710,29.5
199711,17.3
199712,10.8
199801,12.6
199802,16.4
199803,16.9
199804,26.8
199805,36.5
199806,40.2
199807,53.2
199808,50.0
199809,45.5
199810,31.4
199811,23.8
199812,10.4
199901,14.6
199902,17.1
199903,20.7
199904,25.5
199905,34.1
199906,43.0
199907,50.2
199908,49.8
199909,36.1
199910,29.2
199911,24.8
199912,14.4
200001,13.8
200002,18.6
200003,21.0
200004,28.7
200005,38.0
200006,42.7
200007,51.6
200008,51.2
200009,38.9
200010,30.4
200011,9.1
200012,8.0
200101,9.7
200102,9.0
200103,21.2
200104,28.9
200105,36.9
200106,44.7
200107,53.1
200108,51.3
200109,42.3
200110,29.5
200111,22.0
200112,10.8
200201,9.4
200202,10.0
200203,13.0
200204,26.5
200205,33.5
200206,45.1
200207,53.4
200208,46.5
200209,41.2
200210,25.0
200211,18.7
200212,14.8
200301,17.4
200302,9.0
200303,21.4
200304,29.8
200305,36.5
200306,42.5
200307,53.3
200308,52.7
200309,38.1
200310,31.6
200311,14.7
200312,15.0
200401,10.0
200402,12.4
200403,23.6
200404,29.3
200405,36.0
200406,42.6
200407,49.6
200408,45.8
200409,40.2
200410,31.9
200411,19.7
200412,15.7
200501,14.2
200502,13.9
200503,20.5
200504,27.1
200505,35.1
200506,43.1
200507,51.4
200508,47.2
200509,40.0
200510,32.0
200511,21.6
200512,10.3
200601,16.5
200602,9.8
200603,18.2
200604,29.6
200605,36.3
200606,46.2
200607,54.2
200608,48.9
200609,38.0
200610,28.6
200611,20.2
200612,12.7
200701,4.9
200702,14.3
200703,24.9
200704,27.8
200705,36.9
200706,45.1
200707,55.0
200708,51.2
200709,41.0
200710,31.2
200711,20.4
200712,8.4
200801,5.3
200802,12.6
200803,16.8
200804,21.7
200805,34.6
200806,42.1
200807,50.7
200808,48.4
200809,38.0
200810,29.6
200811,24.4
200812,7.5
200901,12.4
200902,15.6
200903,17.9
200904,26.6
200905,36.4
200906,43.0
200907,48.4
200908,46.1
200909,41.4
200910,24.5
200911,21.0
200912,4.0
201001,11.0
201002,10.3
201003,21.8
201004,27.0
201005,31.9
201006,44.1
201007,49.7
201008,48.3
201009,39.1
201010,33.4
201011,17.7
201012,14.0
201101,10.6
201102,6.5
201103,20.9
201104,25.6
201105,33.4
201106,41.8
201107,52.0
201108,50.0
201109,40.3
201110,32.3
201111,17.4
201112,9.5
201201,13.8
201202,11.9
201203,25.7
201204,30.6
201205,35.6
201206,46.0
201207,54.4
201208,50.0
201209,41.2
201210,28.8
201211,23.4
201212,11.7
201301,8.7
201302,11.6
201303,18.6
201304,22.2
201305,37.3
201306,45.0
201307,52.4
201308,51.3
201309,44.7
201310,28.1
201311,19.5
201312,7.4
201401,12.3
201402,9.3
201403,20.5
201404,26.8
201405,37.1
201406,42.1
201407,50.9
201408,48.9
201409,41.4
201410,32.8
201411,15.8
201412,14.9
201501,14.9
201502,17.0
201503,24.0
201504,28.1
201505,36.3
201506,48.5
201507,49.4
201508,48.6
201509,43.5
201510,35.9
201511,17.8
201512,11.1
201601,12.7
201602,19.2
201603,22.5
201604,30.2
201605,35.2
201606,47.3
201607,50.6
201608,47.4
201609,41.5
201610,33.4
201611,24.8
201612,5.6
