#  Arkansas Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.82
199402,1.60
199403,1.49
199404,1.10
199405,0.77
199406,0.64
199407,1.69
199408,1.90
199409,1.49
199410,1.49
199411,2.01
199412,1.94
199501,2.06
199502,-0.62
199503,-1.07
199504,-0.58
199505,-0.59
199506,-0.51
199507,-0.19
199508,-0.90
199509,-1.08
199510,-1.39
199511,-1.83
199512,-1.83
199601,-1.90
199602,-2.46
199603,-2.45
199604,-2.18
199605,-2.49
199606,0.13
199607,0.80
199608,0.92
199609,1.76
199610,1.97
199611,3.24
199612,2.69
199701,2.18
199702,2.54
199703,2.53
199704,3.28
199705,2.72
199706,2.90
199707,2.22
199708,2.01
199709,1.54
199710,1.66
199711,1.30
199712,1.15
199801,1.64
199802,1.65
199803,1.79
199804,-0.41
199805,-1.03
199806,-1.73
199807,-2.26
199808,-2.36
199809,-2.24
199810,-1.72
199811,-2.03
199812,-1.86
199901,-0.88
199902,-1.75
199903,-1.38
199904,-1.12
199905,-1.14
199906,-0.57
199907,-0.97
199908,-1.75
199909,-2.20
199910,-2.20
199911,-2.95
199912,-2.79
200001,-3.00
200002,-3.24
200003,-3.22
200004,-3.17
200005,-2.55
200006,-1.27
200007,-1.63
200008,-2.66
200009,-2.75
200010,-3.16
200011,1.04
200012,0.88
200101,0.72
200102,1.87
200103,-0.25
200104,-1.12
200105,-1.05
200106,-1.12
200107,-1.49
200108,-1.70
200109,0.02
200110,0.69
200111,0.94
200112,1.97
200201,1.78
200202,1.22
200203,2.57
200204,-0.54
200205,-0.15
200206,-0.55
200207,-0.49
200208,-0.44
200209,-0.71
200210,-0.40
200211,-0.93
200212,0.00
200301,-0.83
200302,-0.05
200303,-0.92
200304,-1.49
200305,0.40
200306,1.09
200307,1.16
200308,1.07
200309,1.07
200310,-0.34
200311,-0.31
200312,-0.63
200401,-0.74
200402,-0.58
200403,-0.81
200404,0.42
200405,0.22
200406,0.83
200407,1.41
200408,1.62
200409,0.57
200410,1.69
200411,2.86
200412,-0.29
200501,0.33
200502,-0.44
200503,-0.80
200504,-0.91
200505,-1.64
200506,-2.20
200507,-2.25
200508,-2.40
200509,-2.05
200510,-2.86
200511,-3.19
200512,-4.08
200601,-4.01
200602,-4.01
200603,-3.64
200604,-3.58
200605,-3.61
200606,-3.64
200607,-3.79
200608,-3.52
200609,0.29
200610,0.61
200611,0.67
200612,1.06
200701,1.78
200702,-0.44
200703,-1.67
200704,-1.62
200705,-1.97
200706,-1.88
200707,-0.93
200708,-1.62
200709,-1.30
200710,-0.86
200711,-1.48
200712,-1.08
200801,-1.53
200802,0.20
200803,1.40
200804,2.28
200805,1.89
200806,1.70
200807,1.29
200808,2.52
200809,3.73
200810,3.81
200811,3.11
200812,2.90
200901,2.32
200902,1.61
200903,1.52
200904,1.53
200905,2.97
200906,2.16
200907,3.21
200908,3.36
200909,4.77
200910,7.82
200911,6.43
200912,6.64
201001,6.01
201002,-0.11
201003,-0.66
201004,-1.19
201005,-0.93
201006,-1.48
201007,-1.44
201008,-2.11
201009,-2.17
201010,-2.71
201011,-2.71
201012,-3.33
201101,-3.75
201102,-3.35
201103,-3.68
201104,-1.77
201105,-0.70
201106,-1.58
201107,-2.60
201108,-2.47
201109,-2.55
201110,-2.64
201111,-1.57
201112,-0.62
201201,-0.87
201202,-1.16
201203,-0.91
201204,-1.60
201205,-2.70
201206,-3.36
201207,-4.01
201208,-3.57
201209,-2.88
201210,-2.59
201211,-3.11
201212,-3.16
201301,0.56
201302,0.53
201303,0.18
201304,0.37
201305,0.68
201306,0.41
201307,0.60
201308,0.86
201309,0.66
201310,0.98
201311,0.85
201312,1.25
201401,-0.46
201402,-0.75
201403,0.06
201404,0.30
201405,0.52
201406,1.19
201407,1.69
201408,1.86
201409,1.40
201410,1.78
201411,-0.24
201412,-0.56
201501,-0.58
201502,-0.67
201503,0.98
201504,1.07
201505,2.36
201506,2.08
201507,2.20
201508,2.05
201509,1.11
201510,0.96
201511,2.35
201512,3.18
201601,2.37
201602,1.56
201603,2.75
201604,2.68
201605,2.29
201606,1.70
201607,1.69
201608,2.89
201609,-0.54
201610,-1.21
201611,-1.66
201612,-1.82
