#  Florida Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.09
199402,-0.45
199403,-0.52
199404,-0.52
199405,-0.92
199406,0.55
199407,0.85
199408,1.41
199409,1.92
199410,2.65
199411,2.88
199412,2.93
199501,2.89
199502,2.24
199503,1.77
199504,1.76
199505,1.20
199506,1.67
199507,1.59
199508,2.39
199509,1.84
199510,2.97
199511,3.00
199512,2.52
199601,2.55
199602,1.89
199603,2.95
199604,2.74
199605,-0.10
199606,0.17
199607,-0.78
199608,-0.85
199609,-1.28
199610,0.82
199611,-0.39
199612,-0.17
199701,-0.08
199702,-0.55
199703,-1.21
199704,1.11
199705,0.94
199706,1.07
199707,0.02
199708,-0.27
199709,-0.63
199710,0.05
199711,1.39
199712,3.25
199801,3.48
199802,4.98
199803,5.28
199804,-0.69
199805,-1.67
199806,-3.52
199807,-3.75
199808,-4.17
199809,-2.26
199810,-2.79
199811,-2.52
199812,-3.01
199901,-2.42
199902,-2.94
199903,-3.25
199904,-3.67
199905,-3.46
199906,-2.32
199907,-2.75
199908,-2.73
199909,-2.40
199910,-1.69
199911,-1.52
199912,-1.51
200001,-1.56
200002,-2.19
200003,-2.55
200004,-2.59
200005,-3.61
200006,-3.96
200007,-4.40
200008,-5.18
200009,-4.25
200010,-4.45
200011,-4.30
200012,-4.44
200101,-4.47
200102,-5.22
200103,-4.11
200104,-4.48
200105,-4.69
200106,-4.00
200107,-2.98
200108,-2.71
200109,-0.99
200110,-1.11
200111,-1.41
200112,-2.03
200201,-1.85
200202,-1.83
200203,-2.10
200204,-2.40
200205,-2.90
200206,0.91
200207,0.99
200208,1.11
200209,0.92
200210,0.66
200211,1.27
200212,2.77
200301,2.21
200302,2.14
200303,2.48
200304,2.15
200305,1.87
200306,2.90
200307,2.66
200308,3.07
200309,-0.15
200310,-0.49
200311,-0.59
200312,-0.56
200401,-0.63
200402,0.73
200403,-0.95
200404,-1.10
200405,-1.95
200406,-1.73
200407,-1.97
200408,0.79
200409,2.66
200410,-0.47
200411,-0.52
200412,-0.51
200501,-0.89
200502,-1.09
200503,0.68
200504,1.45
200505,1.43
200506,2.75
200507,-0.07
200508,-0.10
200509,-0.93
200510,0.35
200511,0.49
200512,0.93
200601,-0.56
200602,-0.14
200603,-1.21
200604,-1.96
200605,-2.54
200606,-3.01
200607,-3.55
200608,-3.89
200609,-4.12
200610,-4.56
200611,-4.65
200612,-4.70
200701,-4.57
200702,-4.45
200703,-5.02
200704,-4.92
200705,-5.54
200706,-5.52
200707,-5.40
200708,-6.22
200709,-6.01
200710,-5.19
200711,-5.37
200712,-5.53
200801,-5.08
200802,-4.47
200803,-4.16
200804,-3.61
200805,-4.12
200806,-3.99
200807,-3.55
200808,-1.15
200809,-2.17
200810,-1.95
200811,-2.06
200812,-2.31
200901,-2.43
200902,-2.79
200903,-2.90
200904,0.23
200905,1.98
200906,-0.23
200907,-0.46
200908,-0.70
200909,-0.96
200910,-1.56
200911,-1.65
200912,1.00
201001,1.59
201002,1.82
201003,2.52
201004,-0.13
201005,-0.23
201006,-0.96
201007,-1.72
201008,-1.62
201009,-2.40
201010,-3.48
201011,-3.63
201012,-4.05
201101,-3.15
201102,-3.39
201103,-3.08
201104,-3.32
201105,-3.98
201106,-4.65
201107,-4.83
201108,-5.14
201109,-5.20
201110,-4.04
201111,-4.21
201112,-4.55
201201,-4.84
201202,-4.96
201203,-5.49
201204,-5.41
201205,-0.04
201206,1.70
201207,1.02
201208,2.12
201209,-0.32
201210,-0.27
201211,-0.80
201212,-0.81
201301,-1.67
201302,-1.19
201303,-1.44
201304,0.20
201305,0.58
201306,1.18
201307,2.71
201308,2.66
201309,2.17
201310,1.15
201311,1.13
201312,0.70
201401,1.12
201402,1.00
201403,1.39
201404,1.99
201405,2.08
201406,-0.23
201407,-0.30
201408,-1.05
201409,0.67
201410,0.22
201411,1.09
201412,1.09
201501,0.99
201502,1.01
201503,-0.84
201504,-0.74
201505,-1.43
201506,-1.86
201507,-1.95
201508,-1.60
201509,-1.51
201510,-2.11
201511,-1.86
201512,-1.94
201601,1.19
201602,1.09
201603,-0.35
201604,-0.47
201605,-0.22
201606,-0.19
201607,-1.21
201608,-1.04
201609,-0.81
201610,-1.17
201611,-2.04
201612,-2.36
