#  Georgia Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,0.78
199402,0.32
199403,0.65
199404,-0.46
199405,-0.87
199406,1.18
199407,2.55
199408,2.97
199409,3.14
199410,5.04
199411,4.71
199412,3.99
199501,3.68
199502,3.90
199503,-0.73
199504,-1.36
199505,-1.87
199506,-1.02
199507,-1.71
199508,0.42
199509,0.24
199510,0.95
199511,1.44
199512,1.06
199601,1.39
199602,0.80
199603,1.56
199604,-0.09
199605,-0.63
199606,-1.02
199607,-1.60
199608,0.04
199609,0.18
199610,0.36
199611,0.19
199612,0.05
199701,0.47
199702,0.77
199703,-0.99
199704,0.38
199705,0.38
199706,0.84
199707,0.65
199708,0.07
199709,0.40
199710,1.46
199711,2.60
199712,3.22
199801,3.41
199802,4.12
199803,4.07
199804,4.45
199805,-0.59
199806,-1.53
199807,-2.14
199808,-2.52
199809,-1.39
199810,-1.75
199811,-2.27
199812,-2.84
199901,-2.46
199902,-2.78
199903,-3.24
199904,-3.78
199905,-3.75
199906,-2.73
199907,-2.69
199908,-3.30
199909,-3.02
199910,-2.79
199911,-2.94
199912,-3.39
200001,-3.04
200002,-3.72
200003,-3.60
200004,-3.54
200005,-4.38
200006,-4.39
200007,-4.96
200008,-4.98
200009,-3.53
200010,-3.85
200011,-3.00
200012,-2.73
200101,-2.85
200102,-3.52
200103,-1.95
200104,-2.51
200105,-2.70
200106,-1.35
200107,-1.12
200108,-1.58
200109,-1.30
200110,-1.75
200111,-2.39
200112,-3.21
200201,-3.22
200202,-3.62
200203,-3.16
200204,-3.68
200205,-3.58
200206,-3.59
200207,-3.85
200208,-4.10
200209,0.52
200210,0.92
200211,1.65
200212,2.04
200301,1.09
200302,1.29
200303,1.69
200304,1.78
200305,2.47
200306,3.45
200307,4.07
200308,4.27
200309,3.85
200310,3.74
200311,-0.04
200312,-0.34
200401,-0.73
200402,-0.28
200403,-1.66
200404,-2.29
200405,-2.61
200406,0.88
200407,0.38
200408,0.39
200409,3.38
200410,2.90
200411,3.26
200412,2.74
200501,1.72
200502,1.45
200503,1.90
200504,2.14
200505,1.79
200506,2.93
200507,3.66
200508,3.91
200509,-0.87
200510,-0.64
200511,-0.65
200512,-0.47
200601,-0.59
200602,-0.52
200603,-1.58
200604,-2.11
200605,-2.32
200606,-2.45
200607,-3.31
200608,-3.62
200609,-3.55
200610,-3.17
200611,-2.90
200612,-2.98
200701,-2.75
200702,-3.00
200703,-3.76
200704,-4.00
200705,-4.76
200706,-4.51
200707,-4.26
200708,-4.60
200709,-4.67
200710,-4.50
200711,-4.75
200712,-4.18
200801,-4.03
200802,-3.25
200803,-3.37
200804,-3.25
200805,-3.31
200806,-3.79
200807,-3.86
200808,-2.67
200809,-3.35
200810,0.58
200811,0.90
200812,0.95
200901,-0.52
200902,-1.18
200903,0.42
200904,1.34
200905,2.12
200906,-0.62
200907,-1.22
200908,0.17
200909,0.82
200910,1.91
200911,2.28
200912,3.81
201001,4.13
201002,-0.16
201003,-0.47
201004,-1.03
201005,-0.63
201006,-0.74
201007,-1.51
201008,-1.65
201009,-1.96
201010,-2.36
201011,-2.57
201012,-2.94
201101,-3.01
201102,-3.01
201103,-2.53
201104,-2.78
201105,-3.50
201106,-3.92
201107,-4.29
201108,-5.27
201109,-4.91
201110,-4.52
201111,-4.29
201112,-4.35
201201,-4.49
201202,-4.67
201203,-4.84
201204,-5.26
201205,-4.91
201206,-4.22
201207,-4.39
201208,-3.45
201209,-3.42
201210,-3.43
201211,-3.77
201212,-3.40
201301,-3.53
201302,1.80
201303,1.44
201304,1.66
201305,1.63
201306,2.72
201307,4.14
201308,5.09
201309,4.34
201310,3.39
201311,3.21
201312,3.61
201401,3.06
201402,2.60
201403,2.19
201404,3.08
201405,0.01
201406,-0.24
201407,-0.73
201408,-1.33
201409,0.21
201410,0.09
201411,0.66
201412,0.98
201501,0.72
201502,0.79
201503,-0.83
201504,-0.20
201505,-0.86
201506,-1.04
201507,-1.53
201508,0.15
201509,0.02
201510,0.09
201511,1.04
201512,2.16
201601,-0.10
201602,0.11
201603,-0.85
201604,-0.74
201605,-1.03
201606,-1.22
201607,-2.38
201608,-2.94
201609,-3.19
201610,-3.68
201611,-4.31
201612,-3.75
