#  Idaho Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-2.43
199402,-2.12
199403,-3.15
199404,-2.99
199405,-2.91
199406,-3.09
199407,-3.38
199408,-3.79
199409,-4.03
199410,0.40
199411,0.80
199412,0.76
199501,1.20
199502,0.62
199503,1.63
199504,1.83
199505,2.28
199506,3.04
199507,3.73
199508,4.07
199509,3.51
199510,3.48
199511,3.96
199512,4.44
199601,4.77
199602,4.77
199603,4.00
199604,4.27
199605,5.06
199606,3.90
199607,3.10
199608,2.14
199609,1.77
199610,1.73
199611,2.01
199612,4.14
199701,4.69
199702,3.73
199703,3.45
199704,3.73
199705,2.93
199706,2.75
199707,3.11
199708,3.22
199709,3.19
199710,3.29
199711,2.60
199712,1.61
199801,1.82
199802,1.40
199803,1.11
199804,0.89
199805,2.41
199806,2.93
199807,3.48
199808,3.02
199809,2.96
199810,2.18
199811,2.42
199812,2.43
199901,2.59
199902,3.62
199903,-0.49
199904,-0.49
199905,0.28
199906,0.37
199907,0.31
199908,0.39
199909,-0.65
199910,-1.04
199911,-1.66
199912,-2.00
200001,-1.86
200002,-1.26
200003,-1.48
200004,-1.88
200005,-1.77
200006,-2.23
200007,-2.77
200008,-3.30
200009,-2.73
200010,-1.86
200011,-2.23
200012,-2.77
200101,-3.62
200102,-4.15
200103,-4.45
200104,-3.69
200105,-4.14
200106,-4.15
200107,-3.97
200108,-4.36
200109,-4.47
200110,-3.79
200111,-3.71
200112,-3.25
200201,-2.75
200202,-3.10
200203,-2.62
200204,-2.35
200205,-2.39
200206,-2.46
200207,-2.76
200208,-2.99
200209,-2.91
200210,-3.14
200211,-3.61
200212,-3.63
200301,-3.40
200302,-3.27
200303,-2.54
200304,-1.89
200305,-1.74
200306,-2.34
200307,-3.02
200308,-3.19
200309,-3.36
200310,-3.85
200311,-3.80
200312,-3.39
200401,-3.03
200402,-2.82
200403,-3.77
200404,-3.96
200405,0.89
200406,0.56
200407,0.63
200408,1.33
200409,1.49
200410,1.74
200411,-0.50
200412,-0.77
200501,-1.32
200502,-2.20
200503,-2.10
200504,0.13
200505,1.35
200506,1.76
200507,1.83
200508,1.34
200509,1.01
200510,0.89
200511,0.87
200512,1.40
200601,2.37
200602,1.78
200603,1.91
200604,2.28
200605,-0.41
200606,-0.62
200607,-1.23
200608,-1.82
200609,-1.70
200610,-1.60
200611,-0.73
200612,-0.57
200701,-1.12
200702,-0.95
200703,-1.84
200704,-1.99
200705,-2.54
200706,-2.89
200707,-3.65
200708,-4.07
200709,-3.74
200710,-2.84
200711,-2.87
200712,-2.39
200801,-1.64
200802,-1.55
200803,-1.30
200804,-1.28
200805,-1.25
200806,-1.32
200807,-1.60
200808,-1.71
200809,-1.90
200810,-2.17
200811,-2.31
200812,-1.98
200901,-1.80
200902,-2.17
200903,0.65
200904,0.56
200905,0.40
200906,1.41
200907,1.77
200908,2.22
200909,-0.66
200910,0.69
200911,-0.46
200912,-0.99
201001,-1.24
201002,-1.91
201003,-2.16
201004,0.50
201005,1.23
201006,2.08
201007,2.28
201008,2.41
201009,2.02
201010,2.12
201011,2.26
201012,2.81
201101,2.65
201102,2.11
201103,2.88
201104,3.66
201105,4.19
201106,4.02
201107,3.89
201108,-0.20
201109,-0.89
201110,-0.23
201111,-0.40
201112,-1.04
201201,-0.91
201202,-1.17
201203,-0.06
201204,-0.17
201205,-0.22
201206,-0.30
201207,-0.25
201208,-0.86
201209,-1.55
201210,0.34
201211,0.18
201212,0.63
201301,-0.33
201302,-1.09
201303,-1.66
201304,-1.49
201305,-1.77
201306,-2.02
201307,-2.51
201308,-2.84
201309,-1.56
201310,-1.85
201311,-2.44
201312,-3.17
201401,-3.91
201402,-3.00
201403,-1.90
201404,-1.61
201405,-2.07
201406,-2.25
201407,-2.76
201408,-1.77
201409,-1.51
201410,-1.87
201411,-1.49
201412,-1.22
201501,-1.34
201502,-1.71
201503,-2.62
201504,-2.86
201505,-2.21
201506,-2.88
201507,-2.70
201508,-2.68
201509,-2.46
201510,-2.59
201511,-2.56
201512,-1.77
201601,-1.53
201602,-1.80
201603,-1.10
201604,-1.57
201605,-1.42
201606,-2.06
201607,-2.44
201608,-3.01
201609,0.33
201610,1.86
201611,1.21
201612,1.46
