#  Kentucky Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.51
199402,1.75
199403,2.45
199404,2.68
199405,-0.17
199406,-0.44
199407,-0.49
199408,-0.41
199409,-0.60
199410,-0.70
199411,-1.01
199412,-1.26
199501,-0.90
199502,-1.01
199503,-1.61
199504,-1.59
199505,1.62
199506,1.62
199507,-0.51
199508,-0.78
199509,-0.93
199510,0.69
199511,0.74
199512,0.33
199601,0.57
199602,0.09
199603,0.35
199604,0.94
199605,1.66
199606,1.81
199607,2.29
199608,1.79
199609,2.97
199610,3.12
199611,3.72
199612,3.71
199701,3.17
199702,2.61
199703,4.45
199704,3.59
199705,3.84
199706,4.74
199707,-0.78
199708,-0.81
199709,-1.06
199710,-1.34
199711,-1.50
199712,-1.74
199801,-1.72
199802,-1.81
199803,-2.19
199804,1.36
199805,1.30
199806,2.95
199807,2.91
199808,-0.50
199809,-1.53
199810,-1.63
199811,-2.37
199812,-2.27
199901,-1.24
199902,-1.47
199903,-1.67
199904,-1.88
199905,-2.19
199906,-1.80
199907,-2.77
199908,-3.47
199909,-4.01
199910,-3.75
199911,-4.38
199912,-4.58
200001,-4.28
200002,-3.63
200003,-3.84
200004,-3.21
200005,-2.90
200006,-2.48
200007,-1.98
200008,-1.58
200009,-1.23
200010,-1.87
200011,-2.02
200012,-1.83
200101,-2.18
200102,-1.86
200103,-2.21
200104,-3.05
200105,-2.92
200106,0.07
200107,0.88
200108,0.89
200109,0.69
200110,1.46
200111,1.71
200112,1.77
200201,1.52
200202,0.62
200203,1.48
200204,1.50
200205,2.08
200206,-0.19
200207,-0.74
200208,-1.51
200209,0.85
200210,1.93
200211,2.07
200212,2.33
200301,1.51
200302,2.48
200303,1.20
200304,1.51
200305,2.18
200306,2.94
200307,2.84
200308,3.15
200309,4.00
200310,3.85
200311,4.32
200312,3.83
200401,3.43
200402,2.72
200403,2.13
200404,2.10
200405,2.95
200406,2.67
200407,2.86
200408,2.98
200409,3.02
200410,3.64
200411,4.18
200412,4.15
200501,3.94
200502,-0.45
200503,-0.66
200504,-0.38
200505,-0.84
200506,-1.34
200507,-1.53
200508,-0.57
200509,-1.44
200510,-2.14
200511,-2.57
200512,-3.08
200601,-2.56
200602,-2.78
200603,-2.94
200604,-2.75
200605,0.07
200606,0.12
200607,0.15
200608,0.43
200609,2.50
200610,3.64
200611,3.46
200612,-0.26
200701,-0.21
200702,-0.58
200703,-1.50
200704,-1.35
200705,-2.13
200706,-2.45
200707,-2.38
200708,-3.54
200709,-3.98
200710,0.64
200711,0.29
200712,1.06
200801,0.75
200802,0.96
200803,1.64
200804,1.95
200805,2.08
200806,-0.36
200807,-0.24
200808,-1.04
200809,-2.07
200810,-2.24
200811,-2.70
200812,-2.05
200901,-1.62
200902,-1.90
200903,-2.32
200904,0.26
200905,0.97
200906,1.43
200907,2.48
200908,2.25
200909,2.96
200910,4.67
200911,-0.56
200912,-0.25
201001,-0.33
201002,-0.72
201003,-1.40
201004,-1.83
201005,-0.50
201006,-0.60
201007,-0.63
201008,-0.89
201009,-1.50
201010,-1.97
201011,-1.77
201012,-1.89
201101,-2.22
201102,0.37
201103,0.52
201104,3.35
201105,3.81
201106,3.85
201107,3.11
201108,2.19
201109,3.00
201110,3.01
201111,4.09
201112,4.09
201201,-0.10
201202,-0.64
201203,-1.15
201204,-1.80
201205,-1.90
201206,-2.66
201207,-2.47
201208,-2.59
201209,0.98
201210,1.19
201211,0.51
201212,0.90
201301,1.28
201302,0.65
201303,0.83
201304,1.08
201305,0.98
201306,1.70
201307,2.51
201308,2.69
201309,2.68
201310,3.05
201311,3.10
201312,3.66
201401,2.82
201402,2.85
201403,2.22
201404,2.79
201405,2.19
201406,1.86
201407,1.53
201408,2.05
201409,1.46
201410,2.54
201411,2.36
201412,2.03
201501,1.24
201502,1.03
201503,1.51
201504,2.86
201505,1.87
201506,2.09
201507,3.85
201508,3.54
201509,3.06
201510,3.37
201511,3.40
201512,3.80
201601,2.81
201602,2.92
201603,2.21
201604,1.71
201605,2.17
201606,1.72
201607,3.02
201608,3.31
201609,-0.46
201610,-1.24
201611,-1.88
201612,-1.19
