#  Louisiana Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-0.57
199402,-0.79
199403,-0.93
199404,-0.88
199405,0.48
199406,0.62
199407,1.15
199408,1.11
199409,0.86
199410,1.81
199411,-0.51
199412,-0.64
199501,-0.31
199502,-0.86
199503,1.08
199504,1.93
199505,2.01
199506,-0.43
199507,-0.27
199508,-0.57
199509,-1.14
199510,-1.11
199511,-0.96
199512,-0.68
199601,-0.94
199602,-1.80
199603,-2.01
199604,-1.62
199605,-2.44
199606,0.29
199607,0.14
199608,0.74
199609,1.27
199610,1.75
199611,1.49
199612,1.03
199701,1.03
199702,2.05
199703,1.54
199704,2.33
199705,2.48
199706,2.58
199707,2.10
199708,1.60
199709,0.80
199710,0.90
199711,1.09
199712,1.16
199801,2.92
199802,3.01
199803,2.79
199804,-0.14
199805,-1.63
199806,-2.58
199807,-3.40
199808,-3.43
199809,1.68
199810,1.46
199811,1.50
199812,1.35
199901,2.06
199902,-1.17
199903,-0.89
199904,-1.47
199905,-1.64
199906,-0.90
199907,-1.06
199908,-2.08
199909,-2.19
199910,-1.99
199911,-2.85
199912,-3.09
200001,-3.78
200002,-4.71
200003,-4.46
200004,-3.92
200005,-3.91
200006,-3.38
200007,-3.94
200008,-4.70
200009,-4.60
200010,-4.80
200011,1.74
200012,1.32
200101,1.38
200102,0.76
200103,2.08
200104,-0.83
200105,-1.86
200106,1.92
200107,1.51
200108,1.98
200109,2.65
200110,3.11
200111,3.22
200112,0.00
200201,-0.34
200202,-0.79
200203,-0.51
200204,-0.82
200205,-1.52
200206,-1.37
200207,-1.37
200208,0.01
200209,0.49
200210,2.45
200211,2.68
200212,3.19
200301,-1.04
200302,-0.18
200303,-0.64
200304,-0.88
200305,-1.73
200306,0.86
200307,1.03
200308,0.90
200309,1.10
200310,-0.23
200311,-0.09
200312,-0.62
200401,-0.56
200402,1.26
200403,-0.91
200404,-0.84
200405,1.34
200406,3.18
200407,2.68
200408,2.22
200409,1.17
200410,1.78
200411,2.79
200412,-0.33
200501,-0.81
200502,-0.22
200503,-0.64
200504,-0.87
200505,-1.25
200506,-1.62
200507,-1.64
200508,-1.83
200509,-1.46
200510,-2.24
200511,-2.70
200512,-3.13
200601,-3.32
200602,-2.77
200603,-3.29
200604,-3.25
200605,-3.68
200606,-4.05
200607,-3.85
200608,-3.77
200609,-3.79
200610,1.72
200611,1.21
200612,1.85
200701,2.24
200702,-0.81
200703,-1.90
200704,-1.75
200705,-1.77
200706,0.14
200707,1.23
200708,-0.36
200709,-0.10
200710,-0.02
200711,-0.40
200712,-0.89
200801,-0.83
200802,-0.65
200803,-1.04
200804,-1.28
200805,-0.98
200806,-1.15
200807,-2.07
200808,0.77
200809,2.26
200810,-0.24
200811,-0.27
200812,-0.29
200901,-1.01
200902,-1.77
200903,-1.07
200904,-0.94
200905,-1.01
200906,-1.78
200907,-1.52
200908,-1.85
200909,0.44
200910,3.05
200911,2.16
200912,3.53
201001,-0.38
201002,0.00
201003,-0.63
201004,-1.44
201005,-2.24
201006,-2.56
201007,-2.62
201008,-2.23
201009,-3.20
201010,-3.57
201011,-3.17
201012,-3.84
201101,-3.52
201102,-3.96
201103,-4.01
201104,-4.29
201105,-4.99
201106,-5.35
201107,-5.00
201108,-5.91
201109,-4.56
201110,-4.64
201111,-4.53
201112,-4.15
201201,-3.96
201202,-2.88
201203,-2.07
201204,-1.94
201205,-2.73
201206,-2.82
201207,0.47
201208,1.76
201209,2.24
201210,1.79
201211,0.98
201212,0.94
201301,2.39
201302,2.54
201303,-0.91
201304,-0.23
201305,-0.02
201306,-0.02
201307,-0.29
201308,-0.88
201309,-0.59
201310,-0.40
201311,-0.18
201312,-0.57
201401,-1.26
201402,0.28
201403,0.23
201404,0.20
201405,0.93
201406,1.33
201407,1.58
201408,2.06
201409,-0.19
201410,-0.18
201411,-0.30
201412,-0.67
201501,-0.35
201502,-0.74
201503,0.19
201504,0.91
201505,1.61
201506,1.69
201507,-0.81
201508,-1.59
201509,-2.13
201510,0.93
201511,1.99
201512,1.69
201601,1.30
201602,0.62
201603,2.00
201604,2.19
201605,2.14
201606,2.30
201607,1.89
201608,4.46
201609,-0.17
201610,-0.98
201611,-1.48
201612,-1.30
