#  Maine Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.60
199402,0.69
199403,1.09
199404,1.35
199405,1.66
199406,-0.05
199407,-0.17
199408,-0.56
199409,-0.24
199410,-1.12
199411,-1.24
199412,-1.51
199501,-0.77
199502,-0.80
199503,-1.03
199504,-1.32
199505,-0.95
199506,-1.59
199507,-1.59
199508,-2.43
199509,-2.80
199510,0.70
199511,1.76
199512,1.36
199601,1.97
199602,2.25
199603,1.53
199604,2.14
199605,2.63
199606,2.64
199607,4.42
199608,3.19
199609,3.44
199610,3.52
199611,2.36
199612,3.11
199701,3.24
199702,2.80
199703,2.56
199704,2.14
199705,2.41
199706,-0.20
199707,-0.31
199708,0.45
199709,-0.21
199710,-1.04
199711,-1.09
199712,-1.36
199801,1.02
199802,1.32
199803,1.60
199804,1.11
199805,0.56
199806,1.96
199807,1.91
199808,-0.34
199809,-0.78
199810,-0.29
199811,-0.86
199812,-1.51
199901,1.04
199902,0.62
199903,1.68
199904,-1.38
199905,-1.72
199906,-2.07
199907,-2.41
199908,-2.56
199909,1.91
199910,2.34
199911,1.71
199912,1.25
200001,1.32
200002,1.35
200003,1.38
200004,2.40
200005,2.70
200006,-0.43
200007,-0.07
200008,-0.45
200009,-1.09
200010,-1.31
200011,-1.87
200012,-1.36
200101,-2.08
200102,-1.93
200103,-1.47
200104,-2.48
200105,-3.01
200106,-3.02
200107,-2.73
200108,-3.62
200109,-3.64
200110,-4.37
200111,-5.39
200112,-5.78
200201,-5.43
200202,-4.63
200203,-3.99
200204,-3.13
200205,-2.73
200206,-2.09
200207,-1.69
200208,-2.77
200209,-2.66
200210,-2.72
200211,-2.46
200212,-2.45
200301,-3.06
200302,-2.83
200303,-2.37
200304,-2.67
200305,-2.33
200306,-2.32
200307,-2.22
200308,-2.16
200309,-0.01
200310,1.70
200311,1.61
200312,2.59
200401,-1.02
200402,-1.64
200403,-2.27
200404,-2.08
200405,-1.79
200406,-1.87
200407,0.53
200408,1.83
200409,-0.21
200410,-0.52
200411,-0.38
200412,-0.04
200501,-0.43
200502,-0.53
200503,0.55
200504,2.32
200505,3.27
200506,2.68
200507,2.42
200508,2.47
200509,2.52
200510,5.40
200511,5.75
200512,5.86
200601,5.77
200602,5.01
200603,3.49
200604,2.38
200605,3.03
200606,4.33
200607,4.65
200608,4.52
200609,3.93
200610,5.43
200611,5.07
200612,4.23
200701,3.54
200702,2.77
200703,2.97
200704,4.34
200705,3.76
200706,3.04
200707,2.67
200708,2.64
200709,1.67
200710,1.62
200711,2.77
200712,2.74
200801,2.34
200802,3.45
200803,3.82
200804,3.68
200805,2.58
200806,3.28
200807,3.50
200808,4.14
200809,5.00
200810,4.89
200811,4.90
200812,5.11
200901,4.30
200902,3.77
200903,3.01
200904,2.79
200905,2.74
200906,4.00
200907,5.29
200908,4.96
200909,3.78
200910,4.30
200911,3.98
200912,3.85
201001,3.40
201002,2.98
201003,3.48
201004,-0.68
201005,-1.39
201006,-0.59
201007,-1.08
201008,-1.66
201009,0.44
201010,1.32
201011,1.65
201012,2.62
201101,1.75
201102,1.65
201103,2.36
201104,2.79
201105,3.29
201106,3.15
201107,2.77
201108,4.27
201109,4.01
201110,4.23
201111,-0.89
201112,-0.87
201201,-0.82
201202,-1.29
201203,-1.93
201204,0.16
201205,0.49
201206,2.32
201207,1.13
201208,1.05
201209,1.35
201210,2.36
201211,-1.16
201212,-0.42
201301,-1.19
201302,-0.94
201303,-1.21
201304,-1.82
201305,0.84
201306,2.11
201307,2.41
201308,2.75
201309,3.44
201310,2.39
201311,2.23
201312,2.04
201401,1.94
201402,1.76
201403,1.89
201404,1.72
201405,1.72
201406,1.91
201407,3.16
201408,2.83
201409,1.68
201410,2.30
201411,1.90
201412,2.74
201501,0.00
201502,-0.57
201503,-1.22
201504,-1.19
201505,-1.61
201506,1.06
201507,1.00
201508,0.96
201509,1.10
201510,1.63
201511,0.62
201512,1.26
201601,0.82
201602,1.76
201603,1.86
201604,-0.34
201605,-0.79
201606,-0.92
201607,-0.90
201608,-0.72
201609,-1.85
201610,-1.91
201611,-2.14
201612,0.39
