#  Maryland Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.13
199402,1.74
199403,3.39
199404,-0.58
199405,-0.64
199406,-1.18
199407,-0.83
199408,-0.42
199409,-0.40
199410,-1.10
199411,-1.38
199412,-1.91
199501,-1.54
199502,-1.77
199503,-2.40
199504,-2.62
199505,-2.13
199506,-1.90
199507,-2.07
199508,-2.93
199509,-2.96
199510,0.88
199511,1.49
199512,1.18
199601,2.11
199602,1.75
199603,1.77
199604,1.65
199605,2.21
199606,2.65
199607,3.86
199608,3.60
199609,4.42
199610,4.70
199611,4.64
199612,5.40
199701,-0.34
199702,-0.56
199703,-0.06
199704,-0.30
199705,-0.67
199706,-0.80
199707,-1.25
199708,-1.38
199709,-1.68
199710,-1.85
199711,0.89
199712,0.59
199801,1.61
199802,2.64
199803,3.01
199804,2.76
199805,2.61
199806,2.89
199807,-0.60
199808,-1.34
199809,-2.17
199810,-2.74
199811,-3.85
199812,-4.72
199901,-3.83
199902,-3.64
199903,-2.97
199904,-2.89
199905,-3.52
199906,-3.91
199907,-4.56
199908,-4.40
199909,2.18
199910,2.19
199911,1.67
199912,1.33
200001,1.19
200002,0.71
200003,0.89
200004,1.13
200005,0.63
200006,1.00
200007,1.99
200008,1.97
200009,2.61
200010,-0.95
200011,-1.19
200012,-1.09
200101,-1.14
200102,-1.40
200103,-0.70
200104,-1.29
200105,0.16
200106,0.47
200107,0.79
200108,0.75
200109,-0.30
200110,-1.20
200111,-2.34
200112,-3.26
200201,-3.71
200202,-4.58
200203,-4.04
200204,-3.72
200205,-3.56
200206,-3.63
200207,-4.03
200208,-4.46
200209,-4.16
200210,0.98
200211,1.52
200212,1.91
200301,1.34
200302,2.61
200303,2.41
200304,2.01
200305,2.87
200306,3.93
200307,4.11
200308,4.04
200309,5.29
200310,5.41
200311,5.54
200312,5.72
200401,4.76
200402,4.09
200403,3.07
200404,3.45
200405,2.71
200406,2.70
200407,3.17
200408,3.38
200409,3.75
200410,3.00
200411,3.35
200412,2.96
200501,2.94
200502,-0.45
200503,0.40
200504,0.31
200505,0.37
200506,0.03
200507,0.43
200508,-0.55
200509,-1.80
200510,1.48
200511,1.46
200512,1.48
200601,0.00
200602,-0.56
200603,-1.90
200604,-2.04
200605,-2.43
200606,2.15
200607,-0.17
200608,-1.29
200609,1.12
200610,1.88
200611,2.65
200612,-0.53
200701,-0.65
200702,-0.75
200703,-0.80
200704,-0.24
200705,-1.27
200706,-1.71
200707,-2.40
200708,-2.68
200709,-3.52
200710,-3.17
200711,-3.71
200712,-3.34
200801,-3.68
200802,-3.05
200803,-3.12
200804,-2.44
200805,-1.04
200806,-0.72
200807,-0.55
200808,-1.22
200809,-0.81
200810,-1.40
200811,-1.45
200812,-0.81
200901,-1.00
200902,-2.02
200903,-2.38
200904,0.39
200905,1.01
200906,1.61
200907,1.25
200908,1.62
200909,1.63
200910,2.57
200911,2.96
200912,4.21
201001,3.62
201002,3.55
201003,3.50
201004,-0.90
201005,-1.38
201006,-2.22
201007,-2.67
201008,-2.78
201009,-2.24
201010,-1.55
201011,-1.75
201012,-1.80
201101,-1.94
201102,-2.07
201103,-1.38
201104,-0.91
201105,-1.27
201106,-1.76
201107,-2.36
201108,1.25
201109,2.75
201110,2.87
201111,2.83
201112,2.68
201201,-0.46
201202,-0.91
201203,-1.85
201204,-2.14
201205,-2.29
201206,-2.38
201207,-2.67
201208,-2.48
201209,-2.36
201210,1.65
201211,-0.55
201212,-0.28
201301,-0.19
201302,-0.46
201303,-0.50
201304,-0.70
201305,-0.93
201306,1.41
201307,1.52
201308,1.50
201309,0.76
201310,1.27
201311,1.25
201312,1.90
201401,1.49
201402,1.97
201403,1.92
201404,2.31
201405,2.43
201406,-0.07
201407,-0.09
201408,-0.16
201409,-0.53
201410,-0.59
201411,-0.62
201412,-0.44
201501,-0.13
201502,-0.45
201503,-0.09
201504,-0.08
201505,-0.88
201506,2.02
201507,0.02
201508,-0.51
201509,-0.56
201510,-0.37
201511,-0.73
201512,0.20
201601,0.11
201602,0.58
201603,-1.04
201604,-1.50
201605,0.79
201606,0.85
201607,0.94
201608,0.17
201609,0.92
201610,-0.46
201611,-1.36
201612,-1.49
