#  Minnesota Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,4.63
199402,4.26
199403,3.50
199404,3.88
199405,2.65
199406,2.64
199407,3.03
199408,3.01
199409,2.96
199410,3.14
199411,3.19
199412,2.81
199501,2.70
199502,2.48
199503,3.01
199504,2.96
199505,2.68
199506,1.21
199507,2.14
199508,2.41
199509,2.40
199510,3.33
199511,3.34
199512,3.42
199601,4.02
199602,3.84
199603,3.35
199604,2.71
199605,2.61
199606,2.13
199607,2.11
199608,1.38
199609,1.16
199610,1.78
199611,3.03
199612,3.38
199701,3.94
199702,3.42
199703,3.26
199704,2.74
199705,2.28
199706,1.95
199707,2.79
199708,2.46
199709,1.99
199710,2.07
199711,1.83
199712,1.37
199801,1.49
199802,1.86
199803,2.10
199804,1.21
199805,1.08
199806,1.81
199807,-0.03
199808,-0.33
199809,-1.18
199810,1.07
199811,1.42
199812,1.40
199901,1.81
199902,1.63
199903,1.58
199904,1.66
199905,2.42
199906,2.33
199907,3.30
199908,3.53
199909,3.78
199910,3.36
199911,2.52
199912,2.09
200001,1.97
200002,2.26
200003,1.81
200004,1.19
200005,1.25
200006,1.84
200007,1.99
200008,1.85
200009,1.09
200010,0.86
200011,2.14
200012,2.30
200101,2.37
200102,2.84
200103,2.16
200104,3.81
200105,3.85
200106,-0.11
200107,-0.13
200108,-0.58
200109,-0.87
200110,-0.80
200111,-0.79
200112,-0.98
200201,-1.38
200202,-1.44
200203,-1.43
200204,0.18
200205,0.04
200206,1.01
200207,1.70
200208,2.75
200209,2.38
200210,3.15
200211,-0.19
200212,-0.18
200301,-0.32
200302,-0.29
200303,-0.39
200304,-0.48
200305,0.31
200306,0.72
200307,-0.01
200308,-1.35
200309,-1.35
200310,-1.91
200311,-2.33
200312,-2.60
200401,-2.81
200402,-2.83
200403,-2.83
200404,-3.12
200405,1.73
200406,1.13
200407,1.58
200408,1.47
200409,2.62
200410,3.17
200411,2.81
200412,2.86
200501,3.31
200502,3.23
200503,2.68
200504,1.89
200505,2.42
200506,2.84
200507,2.11
200508,1.84
200509,2.31
200510,2.67
200511,3.57
200512,3.72
200601,3.39
200602,3.12
200603,3.27
200604,-0.15
200605,-0.54
200606,-1.36
200607,-2.49
200608,-2.54
200609,-2.28
200610,-2.50
200611,-2.95
200612,-2.72
200701,-3.07
200702,-2.83
200703,-2.22
200704,-1.77
200705,-1.90
200706,-2.17
200707,-2.84
200708,0.14
200709,0.54
200710,1.81
200711,1.32
200712,1.72
200801,1.37
200802,1.20
200803,0.85
200804,1.66
200805,1.56
200806,1.97
200807,1.67
200808,0.74
200809,0.83
200810,1.54
200811,1.79
200812,2.41
200901,2.30
200902,2.55
200903,3.44
200904,-0.31
200905,-0.97
200906,-1.18
200907,-1.26
200908,-0.85
200909,-1.84
200910,1.85
200911,1.45
200912,2.21
201001,2.34
201002,2.21
201003,-0.37
201004,-1.36
201005,-1.31
201006,0.61
201007,1.43
201008,1.89
201009,3.97
201010,3.98
201011,4.13
201012,4.73
201101,4.73
201102,4.44
201103,4.08
201104,4.05
201105,4.32
201106,4.04
201107,4.23
201108,-0.40
201109,-1.22
201110,-1.95
201111,-2.76
201112,-3.21
201201,-3.64
201202,-3.47
201203,-4.26
201204,-4.00
201205,-2.18
201206,-1.92
201207,-2.00
201208,-2.71
201209,-3.77
201210,-3.57
201211,-3.86
201212,-3.69
201301,-3.49
201302,0.14
201303,0.37
201304,1.43
201305,2.15
201306,2.61
201307,-0.20
201308,-1.18
201309,-1.59
201310,0.63
201311,0.14
201312,0.48
201401,0.59
201402,0.87
201403,0.64
201404,1.79
201405,1.88
201406,3.83
201407,-0.29
201408,-0.12
201409,-0.38
201410,-0.80
201411,-1.18
201412,-1.31
201501,-1.57
201502,-1.75
201503,-2.30
201504,-2.77
201505,1.31
201506,1.04
201507,1.34
201508,1.54
201509,1.08
201510,1.00
201511,1.63
201512,2.57
201601,2.39
201602,2.39
201603,2.54
201604,2.27
201605,1.57
201606,1.33
201607,2.65
201608,3.52
201609,4.28
201610,4.26
201611,4.18
201612,4.63
