#  Mississippi Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.20
199402,1.06
199403,1.07
199404,0.70
199405,0.60
199406,1.25
199407,2.24
199408,1.97
199409,1.77
199410,2.40
199411,-0.28
199412,-0.50
199501,-0.52
199502,-0.87
199503,0.30
199504,0.83
199505,0.86
199506,-0.19
199507,-0.27
199508,-0.33
199509,-0.88
199510,0.26
199511,0.40
199512,0.58
199601,0.73
199602,-0.67
199603,-0.53
199604,-0.23
199605,-1.04
199606,0.11
199607,-0.13
199608,0.34
199609,0.67
199610,0.75
199611,0.64
199612,0.42
199701,0.71
199702,1.21
199703,0.71
199704,1.28
199705,1.97
199706,2.98
199707,2.57
199708,2.44
199709,1.87
199710,2.18
199711,1.99
199712,1.75
199801,2.60
199802,2.55
199803,-0.07
199804,0.10
199805,-0.81
199806,-1.65
199807,-1.46
199808,-1.89
199809,-1.64
199810,-2.09
199811,-2.20
199812,-1.89
199901,-0.58
199902,-1.50
199903,-1.14
199904,-1.62
199905,-1.68
199906,-1.15
199907,-1.37
199908,-2.09
199909,-2.25
199910,-2.02
199911,-2.56
199912,-2.86
200001,-3.23
200002,-3.96
200003,-3.96
200004,-3.08
200005,-3.57
200006,-3.18
200007,-3.99
200008,-4.71
200009,-4.70
200010,-4.93
200011,1.23
200012,0.89
200101,1.04
200102,1.00
200103,1.47
200104,0.78
200105,0.30
200106,1.17
200107,1.06
200108,1.92
200109,2.46
200110,3.27
200111,3.41
200112,3.12
200201,2.98
200202,2.22
200203,2.36
200204,1.42
200205,1.26
200206,0.95
200207,0.91
200208,0.92
200209,2.67
200210,4.10
200211,3.73
200212,3.79
200301,2.51
200302,3.36
200303,2.26
200304,1.99
200305,2.03
200306,3.22
200307,3.45
200308,3.87
200309,3.88
200310,3.50
200311,3.24
200312,2.40
200401,1.88
200402,2.69
200403,1.38
200404,1.02
200405,1.62
200406,3.33
200407,3.05
200408,3.25
200409,2.43
200410,2.62
200411,3.23
200412,3.00
200501,-0.54
200502,-0.47
200503,-0.90
200504,-0.33
200505,-0.61
200506,-0.67
200507,0.28
200508,1.31
200509,-0.10
200510,-0.91
200511,-1.31
200512,-1.49
200601,-1.22
200602,-0.76
200603,-1.38
200604,-1.84
200605,-1.93
200606,-2.42
200607,-3.03
200608,-3.18
200609,-2.81
200610,-1.34
200611,-1.41
200612,-1.12
200701,-1.12
200702,-1.74
200703,-3.22
200704,-3.35
200705,-3.69
200706,-3.73
200707,-2.69
200708,-3.11
200709,-2.88
200710,-2.19
200711,-2.59
200712,-2.85
200801,-2.83
200802,-2.46
200803,-2.75
200804,-2.34
200805,-1.67
200806,-1.97
200807,-2.56
200808,1.57
200809,2.37
200810,2.28
200811,1.81
200812,2.31
200901,1.66
200902,0.91
200903,1.38
200904,0.86
200905,1.91
200906,0.87
200907,1.25
200908,1.14
200909,2.32
200910,4.38
200911,3.30
200912,3.89
201001,0.03
201002,-0.12
201003,-0.62
201004,-1.20
201005,-0.89
201006,-1.23
201007,-1.60
201008,-1.41
201009,-2.33
201010,-2.56
201011,-2.09
201012,-2.84
201101,-2.73
201102,-3.18
201103,-2.73
201104,-2.28
201105,-2.77
201106,-3.11
201107,-2.95
201108,-3.53
201109,-1.76
201110,-1.87
201111,-1.83
201112,-1.49
201201,-1.72
201202,-1.46
201203,-1.50
201204,-1.87
201205,-2.25
201206,-2.26
201207,0.39
201208,2.16
201209,2.43
201210,2.51
201211,1.73
201212,1.92
201301,2.69
201302,2.97
201303,2.24
201304,2.43
201305,2.72
201306,2.50
201307,2.23
201308,1.94
201309,2.18
201310,1.75
201311,1.81
201312,1.62
201401,0.68
201402,0.90
201403,0.79
201404,1.66
201405,1.67
201406,2.47
201407,2.31
201408,2.36
201409,-0.32
201410,0.32
201411,-0.23
201412,-0.21
201501,-0.31
201502,-0.47
201503,0.02
201504,0.12
201505,0.50
201506,0.47
201507,-0.28
201508,-0.54
201509,-1.26
201510,0.54
201511,1.13
201512,1.26
201601,0.71
201602,0.65
201603,1.75
201604,1.65
201605,-0.56
201606,-0.82
201607,-1.02
201608,0.45
201609,-0.81
201610,-1.70
201611,-1.99
201612,-2.03
