#  New Mexico Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-1.24
199402,-1.35
199403,-1.17
199404,-1.12
199405,0.70
199406,-0.96
199407,-1.69
199408,-2.02
199409,-2.17
199410,0.21
199411,1.03
199412,1.10
199501,1.27
199502,-0.45
199503,-0.55
199504,-0.46
199505,-0.22
199506,-0.09
199507,-0.86
199508,-1.32
199509,-0.69
199510,-1.52
199511,-1.97
199512,-2.18
199601,-2.40
199602,-2.79
199603,-3.23
199604,-3.86
199605,-4.93
199606,0.59
199607,0.85
199608,1.07
199609,1.43
199610,1.55
199611,1.26
199612,0.48
199701,0.84
199702,1.06
199703,0.28
199704,1.09
199705,1.24
199706,1.57
199707,1.65
199708,1.44
199709,1.81
199710,1.50
199711,1.52
199712,2.46
199801,1.70
199802,1.73
199803,2.34
199804,2.45
199805,-0.59
199806,-1.22
199807,-0.09
199808,-0.40
199809,-1.34
199810,1.66
199811,1.66
199812,-0.31
199901,-0.66
199902,-1.45
199903,-1.56
199904,0.39
199905,0.57
199906,0.67
199907,1.35
199908,1.92
199909,-0.15
199910,-0.79
199911,-1.60
199912,-1.76
200001,-2.32
200002,-3.11
200003,-2.42
200004,-2.85
200005,-4.04
200006,-3.11
200007,-3.58
200008,-4.09
200009,-5.10
200010,1.69
200011,2.45
200012,2.15
200101,2.68
200102,2.55
200103,2.70
200104,2.49
200105,2.59
200106,2.38
200107,-0.45
200108,-0.52
200109,-1.24
200110,-1.97
200111,-1.68
200112,-1.80
200201,-1.88
200202,-2.00
200203,-2.04
200204,-2.81
200205,-3.78
200206,-4.31
200207,-4.12
200208,-4.53
200209,-3.47
200210,-2.74
200211,-2.56
200212,-1.90
200301,-2.61
200302,-2.03
200303,-1.89
200304,-2.23
200305,-3.00
200306,-2.88
200307,-4.31
200308,-4.81
200309,-5.07
200310,-4.87
200311,-4.31
200312,-4.42
200401,-4.35
200402,0.46
200403,0.11
200404,1.53
200405,0.77
200406,0.48
200407,0.40
200408,0.22
200409,0.58
200410,0.89
200411,1.82
200412,1.69
200501,2.27
200502,3.19
200503,3.40
200504,3.60
200505,3.98
200506,3.66
200507,-1.04
200508,-0.48
200509,-0.52
200510,-0.43
200511,-1.09
200512,-1.67
200601,-2.32
200602,-2.89
200603,-3.17
200604,-3.93
200605,-4.71
200606,-4.83
200607,0.54
200608,2.30
200609,2.76
200610,3.09
200611,2.17
200612,2.21
200701,2.44
200702,2.03
200703,1.89
200704,1.88
200705,2.43
200706,-0.03
200707,0.00
200708,-0.61
200709,-0.66
200710,-1.42
200711,-1.70
200712,-0.87
200801,-0.72
200802,-0.80
200803,-1.20
200804,-1.69
200805,-1.68
200806,-2.22
200807,1.55
200808,1.59
200809,-0.34
200810,-0.20
200811,-0.56
200812,-0.47
200901,-1.08
200902,-1.70
200903,-2.26
200904,-2.67
200905,-3.06
200906,-2.80
200907,-2.46
200908,-3.37
200909,-3.02
200910,-2.62
200911,-2.75
200912,0.28
201001,1.07
201002,1.67
201003,1.89
201004,2.14
201005,1.76
201006,1.54
201007,2.68
201008,-0.23
201009,-0.66
201010,-0.97
201011,-1.37
201012,-1.56
201101,-2.02
201102,-2.05
201103,-2.97
201104,-3.74
201105,-4.36
201106,-5.26
201107,-5.65
201108,-6.03
201109,-5.61
201110,-5.15
201111,-4.86
201112,-3.29
201201,-3.47
201202,-3.40
201203,-3.72
201204,-4.22
201205,-4.35
201206,-5.03
201207,-5.04
201208,-5.50
201209,-5.40
201210,-5.63
201211,-5.73
201212,-5.31
201301,-4.89
201302,-4.59
201303,-4.74
201304,-5.14
201305,-5.72
201306,-6.12
201307,-4.60
201308,-4.56
201309,-2.30
201310,-2.39
201311,-1.98
201312,-2.06
201401,-2.62
201402,-3.16
201403,-3.56
201404,-3.96
201405,-3.89
201406,-4.50
201407,0.54
201408,0.17
201409,1.11
201410,0.45
201411,0.37
201412,0.21
201501,0.83
201502,0.63
201503,0.34
201504,0.22
201505,1.44
201506,1.51
201507,2.58
201508,1.79
201509,0.84
201510,2.01
201511,2.11
201512,2.20
201601,-0.06
201602,-0.63
201603,-1.53
201604,-1.45
201605,-1.44
201606,-1.62
201607,-2.69
201608,-1.84
201609,-1.68
201610,-2.44
201611,0.40
201612,0.60
