#  North Dakota Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,5.33
199402,5.23
199403,4.95
199404,4.63
199405,4.07
199406,4.17
199407,4.66
199408,4.23
199409,4.12
199410,6.22
199411,6.37
199412,5.92
199501,5.71
199502,5.42
199503,6.15
199504,5.95
199505,6.49
199506,5.38
199507,6.80
199508,6.76
199509,5.97
199510,6.04
199511,5.82
199512,5.50
199601,5.53
199602,5.23
199603,5.28
199604,4.77
199605,4.92
199606,4.30
199607,4.86
199608,4.01
199609,4.41
199610,4.20
199611,4.71
199612,4.85
199701,5.03
199702,4.59
199703,4.55
199704,5.15
199705,4.15
199706,3.18
199707,4.32
199708,3.69
199709,2.87
199710,3.06
199711,2.55
199712,1.91
199801,1.59
199802,2.72
199803,-0.19
199804,-0.84
199805,-1.14
199806,-0.39
199807,-0.66
199808,-0.16
199809,-0.90
199810,2.26
199811,2.90
199812,2.67
199901,3.17
199902,3.10
199903,3.06
199904,2.86
199905,4.83
199906,4.64
199907,5.22
199908,6.14
199909,6.52
199910,5.50
199911,4.17
199912,3.57
200001,3.00
200002,3.42
200003,2.95
200004,2.63
200005,2.46
200006,2.94
200007,3.34
200008,3.45
200009,3.00
200010,3.09
200011,4.63
200012,4.35
200101,3.84
200102,3.57
200103,2.93
200104,2.93
200105,2.45
200106,2.88
200107,4.38
200108,-0.51
200109,-0.85
200110,-0.73
200111,-1.37
200112,-1.44
200201,-1.59
200202,-1.88
200203,-2.07
200204,-1.96
200205,-2.09
200206,-2.27
200207,-2.20
200208,-1.46
200209,-1.92
200210,-1.40
200211,-1.70
200212,-1.38
200301,-1.48
200302,-1.65
200303,-1.53
200304,-1.98
200305,1.13
200306,1.05
200307,-0.56
200308,-1.58
200309,-1.38
200310,-1.85
200311,-1.84
200312,0.10
200401,0.30
200402,0.10
200403,0.73
200404,0.01
200405,1.32
200406,0.90
200407,1.06
200408,1.22
200409,1.74
200410,2.20
200411,-0.46
200412,-0.37
200501,-0.17
200502,-0.47
200503,-0.60
200504,-1.57
200505,0.84
200506,2.99
200507,3.17
200508,3.38
200509,2.48
200510,2.60
200511,2.99
200512,2.98
200601,2.55
200602,2.28
200603,2.35
200604,-0.25
200605,-0.61
200606,-1.85
200607,-3.16
200608,-2.98
200609,-2.41
200610,-2.02
200611,-2.28
200612,-1.90
200701,-2.21
200702,0.09
200703,0.65
200704,0.32
200705,2.25
200706,2.38
200707,-0.12
200708,-0.13
200709,-0.43
200710,-0.60
200711,-0.97
200712,-1.05
200801,-1.49
200802,-1.50
200803,-1.95
200804,-2.41
200805,-2.58
200806,-2.04
200807,-2.41
200808,-2.47
200809,0.65
200810,1.70
200811,2.47
200812,3.30
200901,3.36
200902,3.95
200903,4.87
200904,4.73
200905,4.41
200906,4.28
200907,4.49
200908,4.43
200909,4.02
200910,5.36
200911,4.24
200912,4.74
201001,4.87
201002,4.82
201003,4.85
201004,4.47
201005,5.66
201006,5.75
201007,6.28
201008,6.41
201009,7.82
201010,7.33
201011,6.88
201012,7.34
201101,7.49
201102,7.00
201103,7.22
201104,7.39
201105,8.42
201106,8.44
201107,9.38
201108,9.49
201109,8.70
201110,-0.02
201111,-0.31
201112,-0.36
201201,-0.43
201202,-0.24
201203,-1.17
201204,-1.05
201205,-1.15
201206,-1.83
201207,-2.43
201208,-2.90
201209,-3.85
201210,0.85
201211,0.89
201212,0.80
201301,0.55
201302,0.59
201303,0.77
201304,1.02
201305,3.33
201306,3.70
201307,4.07
201308,3.76
201309,4.14
201310,5.97
201311,5.30
201312,5.53
201401,5.24
201402,4.76
201403,4.48
201404,5.05
201405,5.01
201406,5.90
201407,5.67
201408,7.38
201409,0.04
201410,-0.35
201411,-0.29
201412,-0.48
201501,-0.35
201502,-0.25
201503,-0.48
201504,-1.18
201505,1.22
201506,1.28
201507,1.39
201508,-0.34
201509,-0.59
201510,-0.52
201511,-0.61
201512,-0.47
201601,-0.78
201602,-0.83
201603,-1.49
201604,-0.78
201605,-0.83
201606,-1.57
201607,0.96
201608,1.02
201609,1.87
201610,1.74
201611,1.36
201612,2.17
